resource,name,description,subpopulations,start year,start month,end year,end month,age groups,number of participants,areas of information,data categories,sample categories,standardized tools,standardized tools other,core variables,supplementary information,start date,end day,end date
testCohort,birth,data collected at time fo birth,"newborns,infants",2005,04,2007,05,Infant (0-23 months),1000,"Laboratory measures,Nutrition,Hematology,Biochemistry,Microbiology,Virology,Immunology,Toxicology,Histology,Genomics,Other laboratory measures","Biological samples,National registries,Genomics,Transcriptomics","Amniotic fluid,Follicular Fluid",Quality of Life scale,other,,,2005-04-01,31,2007-05-31
testCohort,baseline,baseline measurements,"newborns,infants,mothers,pregnant women",,01,,12,Infant (0-23 months),,,,,,,,,,31,
testCohort,second trimester,mother's data collected during second trimester,pregnant women,,01,,12,Adult (18+ years),,,,,,,,,,31,
testCohort,5 months,child's data collected between 5-6 months of age,infants,,01,,12,Infant (0-23 months),,,,,,,,,,31,
testCohort,first trimester,mother's data collected during first trimester,pregnant women,,01,,12,Adult (18+ years),,,,,,,,,,31,
testCohort,1 months,child's data collected between 1-2 months of age,infants,,01,,12,Infant (0-23 months),,,,,,,,,,31,
testCohort,third trimester,mother's data collected during third trimester,pregnant women,,01,,12,Adult (18+ years),,,,,,,,,,31,
testCohort,0 months,child's data collected between 0-1 months of age,newborns,,01,,12,Infant (0-23 months),,,,,,,,,,31,
testCohort,baseline mother,mother's baseline data,mothers,,01,,12,Adult (18+ years),,,,,,,,,,31,
testCohort,3 months,child's data collected between 3-4 months of age,infants,,01,,12,Infant (0-23 months),,,,,,,,,,31,
testCohort,2 months,child's data collected between 2-3 months of age,infants,,01,,12,Infant (0-23 months),,,,,,,,,,31,
testCohort,4 months,child's data collected between 4-5 months of age,infants,,01,,12,Infant (0-23 months),,,,,,,,,,31,
