collection,id,pid,name,acronym,logo,logo_filename,country,website
SWS,Soton,,University of Southampton,Soton,,,United Kingdom of Great Britain and Northern Ireland (the),https://www.southampton.ac.uk/
LSC,UIBK,,Universität Innsbruck,UIBK,,,Austria,https://www.uibk.ac.at/
PSYCONN,GGZ Friesland,,GGZ Friesland,,,,,
PSYCONN,Lentis Research,,Lentis Research,,,,,
G21,ISPUP,,Institute of Public Health of the University of Porto,,,,,
GenR Next,EMC,,Erasmus MC,EMC,,,Netherlands (the),
RS3,EMC,,Erasmus MC,EMC,,,Netherlands (the),
RS1,EMC,,Erasmus MC,EMC,,,Netherlands (the),
GenR,EMC,,Erasmus MC,EMC,,,Netherlands (the),
ALSPAC,UOB,,University of Bristol,UOB,,,United Kingdom of Great Britain and Northern Ireland (the),
CELSPAC-TNG,RECETOX,,Research Centre for Toxic Compounds in the Environment,RECETOX,,,Czechia,https://www.recetox.muni.cz/en
mCRC-VHIO,VHIO,,FUNDACIO PRIVADA INSTITUT D'INVESTIGACIO ONCOLOGICA DE VALL-HEBRON,,,,Spain,https://www.vhio.net/
NFBC1986,UOULU,,University of Oulu,UOULU,,,Finland,
FORCE-NEN,UMCU,,UMC Utrecht,UMCU,,,Netherlands (the),https://www.umcutrecht.nl/nl
FORCE-NEN collections,UMCU,,UMC Utrecht,UMCU,,,Netherlands (the),https://www.umcutrecht.nl/nl
FORCE-NEN,UMCG,,University Medical Center Groningen,UMCG,,,Netherlands (the),
FORCE-NEN collections,UMCG,,University Medical Center Groningen,UMCG,,,Netherlands (the),
PSYCONN,UMCG,,University Medical Center Groningen,UMCG,,,Netherlands (the),
testCohort1,Test lead organisation 1,https://pid-leadorganisation1.org,Name for lead organisation 1,ACRONYM FOR LEADORG1,,,Botswana,
testCohort2,test lead organisation 2,https://pid-testleadorganisation2.org,name for test lead organisation 2,acronym for test lead organisation 2,,,"""Bonaire, Sint Eustatius and Saba""",
ADVANCE Coverage POC,SSI,,Statens Serum Institut,SSI,,,Denmark,
ACCESS,UMCU,,UMC Utrecht,UMCU,,,Netherlands (the),https://www.umcutrecht.nl/nl
ABCD,AMC,,Amsterdam Medical Center ,AMC,,,Netherlands (the),
HPV,TUNI,,Tampere University,,,,Finland,https://www.tuni.fi/en
CONSTANCES,INSERM,,National Institute of Medical Research ,INSERM,,,France,
EDEN,INSERM,,National Institute of Medical Research ,INSERM,,,France,
ELFE,INSERM,,National Institute of Medical Research ,INSERM,,,France,
FEF,UEF,,University of Eastern Finland,UEF,,,Finland,
PANIC,UEF,,University of Eastern Finland,UEF,,,Finland,
SYSDIMET,UEF,,University of Eastern Finland,UEF,,,Finland,
MoBa,NIPH,,Norwegian Institute of Public Health,NIPH,,,Norway,https://www.fhi.no/en/
ENVIRONAGE,UHASSELT,,Hasselt University (Universiteit Hasselt),UHASSELT,,,Belgium,http://www.uhasselt.be/en
mtFIT study,NKI,,Netherlands Cancer Institute,NKI,,,,
RS2,EMC,,Erasmus MC,EMC,,,Netherlands (the),
PELAGIE,INSERM,,National Institute of Medical Research ,INSERM,,,France,
Sepages,INSERM,,National Institute of Medical Research ,INSERM,,,France,
