resource,doi,title,is design publication,reference
SWS,https://doi.org/10.1093/ije/dyi202,Cohort profile: the Southampton women's survey.,true,
RS2,https://doi.org/10.1007/s10654-020-00640-5,"Objectives, design and main findings until 2020 from the Rotterdam Study.",true,
RS1,https://doi.org/10.1007/s10654-020-00640-5,"Objectives, design and main findings until 2020 from the Rotterdam Study.",true,
MoBa,https://doi.org/10.1093/ije/dyl170,Cohort profile: the Norwegian Mother and Child Cohort Study (MoBa).,true,
ALSPAC,https://doi.org/10.1093/ije/dys064,Cohort Profile: the 'children of the 90s'--the index offspring of the Avon Longitudinal Study of Parents and Children.,true,
NOMA,https://doi.org/10.1017/S0007114516003445,"Exchanging a few commercial, regularly consumed food items with improved fat quality reduces total cholesterol and LDL-cholesterol: a double-blind, randomised controlled trial.",true,
ABCD,https://doi.org/10.1093/ije/dyq128,Cohort profile: the Amsterdam born children and their development (ABCD) study.,true,
DFBC,https://doi.org/10.1136/bmjopen-2020-042078,Cohort profile: the Dutch famine birth cohort (DFBC)—a prospective birth cohort study in the,true,
PANIC,https://doi.org/10.1007/s00125-020-05250-0,A 2 year physical activity and dietary intervention attenuates the increase in insulin resistance in a general population of children: the PANIC study.,true,
SYSDIMET,https://doi.org/10.1007/s00125-011-2285-3,"A diet high in fatty fish, bilberries and wholegrain products improves markers of endothelial function and inflammation in individuals with impaired glucose metabolism in a randomised controlled trial: The Sysdimet study.",true,
DNBC,https://doi.org/10.1177/14034948010290040201,"The Danish National Birth Cohort - its background, structure and aim. Scandinavian Journal of Public Health.",true,
ENVIRONAGE,https://doi.org/10.1093/ije/dyw269,Cohort Profile: The ENVIRonmental influence ON early AGEing (ENVIRONAGE): a birth cohort study.,true,
Sepages,https://doi.org/10.3390/ijerph16203888,Deciphering the Impact of Early-Life Exposures to Highly Variable Environmental Factors on Foetal and Child Health: Design of SEPAGES Couple-Child Cohort,true,
WDC,https://doi.org/10.1097/EE9.0000000000000182,Human exposome assessment platform,true,
GenR,https://doi.org/10.1007/s10654-006-9022-0,The Generation R Study: Design and cohort profile,true,
FEF,https://doi.org/10.1093/ajcn/nqy394,Decreased plasma serotonin and other metabolite changes in healthy adults after consumption of wholegrain rye: an untargeted metabolomics study,false,
ALSPAC,https://doi.org/10.1093/ije/dys066,Cohort Profile: the Avon Longitudinal Study of Parents and Children: ALSPAC mothers cohort,false,
DFBC,https://doi.org/10.1136/bmjopen-2013-003167,The developmental origins of ageing: study protocol for the Dutch famine birth cohort study on ageing,false,
PANIC,https://doi.org/10.1016/j.numecd.2016.05.005,Dietary quality indices in relation to cardiometabolic risk among Finnish children aged 6-8 years - The PANIC study,false,
NFBC1966,https://doi.org/10.1093/ije/dyab109,Cohort Profile: 46 years of follow-up of the Northern Finland Birth Cohort 1966 (NFBC1966),false,
testNetwork2,https://doi.org/10.1016/S1473-3099(20)30873-2,"Sustainability of neutralising antibodies induced by bivalent or quadrivalent HPV vaccines and correlation with efficacy: a combined follow-up analysis of data from two randomised, double-blind, multicentre, phase 3 trials.",false,
testNetworkofNetworks,https://doi.org/10.1016/S1473-3099(20)30873-2,"Sustainability of neutralising antibodies induced by bivalent or quadrivalent HPV vaccines and correlation with efficacy: a combined follow-up analysis of data from two randomised, double-blind, multicentre, phase 3 trials.",false,
testNetwork1,https://doi.org/10.1016/S1473-3099(20)30873-2,"Sustainability of neutralising antibodies induced by bivalent or quadrivalent HPV vaccines and correlation with efficacy: a combined follow-up analysis of data from two randomised, double-blind, multicentre, phase 3 trials.",false,
