tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,refLabel,validation,semantics,description,profiles,,,,
Pedigree,,,,,,,,,,,,obo:NCIT_C27957,Pedigree studies in which the individual is part of.,"Patient registry, FAIR Genomes",,,,
Pedigree,,id,string,1,,,,,,,,obo:NCIT_C204540,An identifier that is used to identify related pedigree members,"Patient registry, FAIR Genomes",,,,
Pedigree,,alternate ids,string_array,,,,,,,,,obo:NCIT_C90353,Additional identifiers that identify a pedigree,"Patient registry, FAIR Genomes",,,,
Pedigree,,disease,ontology_array,,,CatalogueOntologies,Diseases,,,,,obo:NCIT_C25209,,"Patient registry, FAIR Genomes",,,,
Pedigree,,members,refback,,,,Pedigree members,,pedigree,${individual.id},,obo:NCIT_C41256,"List of the family members in the pedigree","Patient registry, FAIR Genomes",,,,
Pedigree,,others affected,bool,,,,,,,,,obo:NCIT_C64917,"Are there family members, other than the proband, affected by the disease?",Patient registry,,,,
Pedigree,,included in resources,multiselect,,,,Resources,,,,,obo:HSO_0000370,"A reference to one or more resources that organises processes in a meaningful way (e.g., data releases, subpopulations, cohorts, etc.)",Patient registry,,,,
Pedigree members,,,,,,,,,,,,obo:NCIT_C41256,"Any of the individuals who are descended from a common progenitor, related by marriage or other legal tie, or by a feeling of closeness.","Patient registry, FAIR Genomes",,,,
Pedigree members,,pedigree,select,1,TRUE,,Pedigree,,,,,obo:NCIT_C25364,Identifier of the family,"Patient registry, FAIR Genomes",,,,
Pedigree members,,individual,select,1,TRUE,,Individuals,,,,,obo:NCIT_C25364,The individual used as a starting point to define a relationship,"Patient registry, FAIR Genomes",,,,
Pedigree members,,relative,select,1,TRUE,,Individuals,,,,,obo:NCIT_C25364,The individual from which a relationship can be determined,"Patient registry, FAIR Genomes",,,,
Pedigree members,,relation,ontology,,,CatalogueOntologies,Family relations,,,,,obo:NCIT_C198996,"The relationship between two individuals (e.g., proband, mother, father, siblings, etc.)","Patient registry, FAIR Genomes",,,,
Pedigree members,,affected,bool,,,,,,,,,obo:NCIT_C64917,Is the individual affected by the disease in the pedigree?,"Patient registry, FAIR Genomes",,,,
