tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible,defaultValue
Mapped variables,,,,,,,,,,,,"Mappings from collected or source variables to target or harmonised variables, optionally including ETL syntax","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging",,
Mapped variables,,source,ref,1,TRUE,,Resources,,,,,Id of the resource that contains the source variable(s),"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging",,
Mapped variables,,source dataset,ref,1,TRUE,,Resource datasets,source,,,,Name of the dataset that contains the source variable(s),"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging",,
Mapped variables,,source variables,ref_array,,,,Variables,source dataset,,,,"Optional, source variable that was mapped from. You may also indicate that a mapping to a target variable was not done and leave this field empty (match = not available)","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging",,
Mapped variables,,source variables other datasets,ref_array,,,,Variables,source,,,,"Optional, variables from other source datasets. Initially one may only define mapping between releases","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging",,
Mapped variables,,target,ref,1,TRUE,,Resources,,,,,Id of the resource that contains the target variable,"DataCatalogueFlat,RWEStaging,StudiesStaging",,
Mapped variables,,target dataset,ref,1,TRUE,,Resource datasets,target,,,,Name of the dataset that contains the target variable,"DataCatalogueFlat,RWEStaging,StudiesStaging",,
Mapped variables,,target variable,ref,1,TRUE,,Variables,target dataset,,,,Target variable that was mapped to,"DataCatalogueFlat,RWEStaging,StudiesStaging",,
Mapped variables,,target,ref,1,TRUE,catalogue,Resources,,,,,Id of the resource that contains the target variable,"CohortsStaging",,
Mapped variables,,target dataset,ref,1,TRUE,catalogue,Resource datasets,target,,,,Name of the dataset that contains the target variable,"CohortsStaging",,
Mapped variables,,target variable,ref,1,TRUE,catalogue,Variables,target dataset,,,,Target variable that was mapped to,"CohortsStaging",,
Mapped variables,,repeats,text,1,TRUE,,,,,,,"In case of mapping to a repeated variable, specify which repeats were mapped to","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging",,NA
Mapped variables,,match,ontology,,TRUE,CatalogueOntologies,Status details,,,,,"Harmonisation match, i.e., complete, partial, na","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging",,
Mapped variables,,description,text,,,,,,,,,Human readible description of the mapping,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging",,
Mapped variables,,syntax,text,,,,,,,,,"Formal definition of the mapping, ideally in executable code","DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging",,
Mapped variables,,comments,text,,,,,,,,,Additional notes or comments,"DataCatalogueFlat,RWEStaging,CohortsStaging,StudiesStaging",,
