tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,defaultValue,semantics,description,profiles
Analyses,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25391,,"Patient registry"
Analyses,,id,auto_id,1,,,,,,,,http://semanticscience.org/resource/SIO_000115,A unique value that identifies this analysis,"Patient registry"
Analyses,,date completed,date,,,,,,,,,http://semanticscience.org/resource/SIO_000032,The date on which the analysis was completed,"Patient registry"
Analyses,,persons involved,ref_array,,,,Contacts,,,,,http://purl.obolibrary.org/obo/NCIT_C25461,Reference to one or more individuals involved in the analysis,"Patient registry"
Analyses,,files used,ref_array,,,,Files,,,,,http://semanticscience.org/resource/SIO_000396,Reference to one or more files involved in the analysis,"Patient registry"
Analyses,,input biosamples,ref_array,,,,Biosamples,,,,,http://purl.obolibrary.org/obo/NCIT_C93400,Reference to one or more biosamples involved in the analysis,Patient registry
Individual analyses,Analyses,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25391,Patient level analysis,"Patient registry"
Individual analyses,,individual,ref,,,,Individuals,,,,,http://purl.obolibrary.org/obo/IAO_0000136,A reference to the individual whom this analysis is about,"Patient registry"
Individual analyses,,solved,bool,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25587,An indication that diagnosis is given and the case is no longer considered unsolved.,"Patient registry"
Individual analyses,,pedigree used,ref,,,,Pedigree,,,,,http://purl.obolibrary.org/obo/NCIT_C27957,"A record of descent or ancestry, particularly of a specific condition or trait, indicating individual family members, their relationships, and their status with respect to the trait or condition.","Patient registry"
Individual variant analysis,,analysis,ref,1,,,Individual analyses,,,,,http://purl.obolibrary.org/obo/NCIT_C25391,Reference to the specific analysis,"Patient registry"
Individual variant analysis,,individual,ref,1,,,Individuals,,,,,http://purl.obolibrary.org/obo/IAO_0000136,Reference to the individual whom this analysis is about,"Patient registry"
Individual variant analysis,,variant id,ref,,,,Genomic variants,,,,,http://purl.obolibrary.org/obo/NCIT_C164813,"A unique identifier that represents this variant (e.g., ""20:2447955..2447958c>g"")","Patient registry"
Individual variant analysis,,allele origin,ontology,,,CatalogueOntologies,Variant origin,,,,,http://purl.obolibrary.org/obo/GENO_0000877,"A quality inhering in an allele that describes its genetic origin (how it came to be part of a cell's genome), i.e. whether it occurred de novo through some spontaneous mutation event, or was inherited from a parent (e.g., ""maternal"")","Patient registry"
Individual variant analysis,,zygosity,ontology,,,CatalogueOntologies,Zygosity,,,,,http://purl.obolibrary.org/obo/GENO_0000133,"An allelic state that describes the degree of similarity between features in a 'single locus complement', within the genome of a cell or organism (i.e., whether the alleles or haplotypes that reside at the same location on paired chromosomes are the same or different).",Patient registry
Individual variant analysis,,classification,ontology,,,CatalogueOntologies,Variation clinical relevance,,,,,http://edamontology.org/operation_3225,"Classification of the clinical relevance of the variant (e.g., ""Pathogenic"")","Patient registry"
Individual variant analysis,,classification summary,text,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C86073,Context or an explanation on how the variant classification was derived,"Patient registry"
Individual variant analysis,,effect,ontology,,,CatalogueOntologies,Diseases,,,,,http://purl.obolibrary.org/obo/NCIT_C15607,E.g. Spinocerebellar ataxia type 34,"Patient registry"
Individual variant analysis,,category,ontology,,,CatalogueOntologies,Variation category,,,,,http://semanticscience.org/resource/SIO_001331,"The diagnosis assigned for this particular observation (e.g., ""Spinocerebellar ataxia type 34"")","Patient registry"
Individual analysis consensus,,analysis,ref,1,,,Individual analyses,,,,,http://purl.obolibrary.org/obo/NCIT_C25391,Reference to the specific analysis,"Patient registry"
Individual analysis consensus,,variant,ref,,,,Individual variant analysis,,,,,http://purl.obolibrary.org/obo/NCIT_C164813,"If applicable, a reference to one or more variants involved in the consensus process","Patient registry"
Individual analysis consensus,,name of commenter,ref_array,,,,Contacts,,,,,http://purl.obolibrary.org/obo/NCIT_C25461,The name of the person making the comment,"Patient registry"
Individual analysis consensus,,comment,text,,TRUE,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25393,Context or an explanation for a specific analysis,"Patient registry"
Individual analysis consensus,,timestamp,datetime,1,,,,,,,timestamp === null ? new Date().toISOString() : timestamp,http://purl.obolibrary.org/obo/NCIT_C54086,The date and time a comment was made,"Patient registry"
