tableName,tableExtends,tableType,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,refLabel,defaultValue,validation,visible,computed,semantics,profiles,label,description
Sample collections,,,,,,,,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Collection of samples"
Sample collections,,,resource,ref,1,TRUE,,Resources,,,,,,,,dcterms:isPartOf,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Resource that the sample collection is part of"
Sample collections,,,name,,1,TRUE,,,,,,,,,,dcterms:title,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Collection name - MIABIS-COLLECTION-03 (v3.0)"
Sample collections,,,acronym,,,,,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Collection acronym - MIABIS-COLLECTION-02 (v3.0)"
Sample collections,,,description,text,,,,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Collection description - MIABIS-COLLECTION-06 (v3.0)"
Sample collections,,,url,hyperlink,,,,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Collection URL - MIABIS-COLLECTION-04 (v3.0)"
Sample collections,,,parent sample collection,ref,,,,Sample collections,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Sample collection that this sample collection is part of"
Sample collections,,,child sample collections,refback,,,,Sample collections,,parent sample collection,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Sample collections that are part of this sample collection"
Sample collections,,,design,ontology_array,,,CatalogueOntologies,Sample collection designs,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"The overall design of the collection that explains how the collection was/is built up - MIABIS-COLLECTION-18 (v3.0)"
Sample collections,,,setting,ontology_array,,,CatalogueOntologies,Sample collection settings,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"The context in which the sample collection was/is conducted - MIABIS-COLLECTION-17 (v3.0)"
Sample collections,,,dataset type,ontology_array,,,CatalogueOntologies,Dataset types,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Types of datasets (groups of related data) obtained or otherwise derived from donors or their specimens - MIABIS-COLLECTION-13 (v3.0)"
Sample collections,,,number of donors,int,,,,,,,,,,,,,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,"Total number of donors included in the collection - MIABIS-COLLECTION-21 (v3.0)"
