tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Collection counts,,,,,,,,,,,,Dimensioned aggregate breakdown of sample and donor counts for a collection,DataCatalogueFlat
Collection counts,,id,string,1,TRUE,,,,,,,Internal identifier,DataCatalogueFlat
Collection counts,,collection,ref,1,TRUE,,Collections,,,,,Collection these counts describe,DataCatalogueFlat
Collection counts,,sex,ontology,,,CatalogueOntologies,Sex,,,,,Sex dimension of this aggregate (empty means aggregated over sex),DataCatalogueFlat
Collection counts,,age group,ontology,,,CatalogueOntologies,Age groups,,,,,Age group dimension of this aggregate (empty means aggregated over age group),DataCatalogueFlat
Collection counts,,disease,ontology,,,CatalogueOntologies,Diseases,,,,,Disease dimension of this aggregate (empty means aggregated over disease),DataCatalogueFlat
Collection counts,,sample type,ontology,,,CatalogueOntologies,Sample types,,,,,Sample type dimension of this aggregate (empty means aggregated over sample type),DataCatalogueFlat
Collection counts,,anatomy,ontology,,,CatalogueOntologies,Anatomical location,,,,,Anatomical location dimension of this aggregate (empty means aggregated over anatomy),DataCatalogueFlat
Collection counts,,number of samples,int,,,,,,,,,Number of samples for this dimension combination,DataCatalogueFlat
Collection counts,,number of donors,int,,,,,,,,,Number of donors for this dimension combination,DataCatalogueFlat
Collection counts,,last update,date,,,,,,,,,Date these counts were last updated,DataCatalogueFlat
Collection counts,,source,ref,,,,OrgUnits or Biobanks,,,,,Owning catalogue or national node these counts originate from,DataCatalogueFlat
