tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Variables,All variables,,,,,,,,,,,"Definition of a non-repeated variable, or of the first variable from a repeated range","DataCatalogueFlat,",
Variables,,format,ontology,,,CatalogueOntologies,Formats,,,,,"Data type, e.g. string,int,decimal,date,datetime etc","DataCatalogueFlat,",
Variables,,unit,ontology,,,CatalogueOntologies,Units,,,,,,"DataCatalogueFlat,",
Variables,,references,ref,,,,All variables,resource,,,,to define foreign key relationships between variables within or across tables,"DataCatalogueFlat,",
Variables,,mandatory,bool,,,,,,,,,whether this variable is required within this collection,"DataCatalogueFlat,",
Variables,,description,text,,,,,,,,,,"DataCatalogueFlat,",
Variables,,order,int,,,,,,,,,to sort variables you can optionally add an order value,"DataCatalogueFlat,",
Variables,,example values,string_array,,,,,,,,,,"DataCatalogueFlat,",
Variables,,permitted values,refback,,,,Variable values,,variable,,,,"DataCatalogueFlat,",
Variables,,keywords,ontology_array,,,CatalogueOntologies,Keywords,,,,,,"DataCatalogueFlat,",
Variables,,repeats,refback,,,,Repeated variables,,is repeat of,,,listing of all repeated variables defined for this variable,"DataCatalogueFlat,",
Variables,,vocabularies,ontology_array,,,CatalogueOntologies,Vocabularies,,,,,,"DataCatalogueFlat,",
Variables,,notes,text,,,,,,,,,Any other information on this variable,"DataCatalogueFlat,",
