tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible,defaultValue
Variable mappings,,,,,,,,,,,,"Mappings from collected or source variables to target or harmonised variables, optionally including ETL syntax","DataCatalogueFlat,Mappings",,
Variable mappings,,source,ref,1,TRUE,,Resources,,,,,Id of the resource that contains the source variable(s),"DataCatalogueFlat,Mappings",,
Variable mappings,,source table,ref,1,TRUE,,Tables,source,,,,Name of the table that contains the source variable(s),"DataCatalogueFlat,Mappings",,
Variable mappings,,source variables,ref_array,,,,Variables,source table,,,,"Optional, source variable that was mapped from. You may also indicate that a mapping to a target variable was not done and leave this field empty (match = not available)","DataCatalogueFlat,Mappings",,
Variable mappings,,source variables other tables,ref_array,,,,Variables,source,,,,"Optional, variables from other source tables. Initially one may only define mapping between releases","DataCatalogueFlat,Mappings",,
Variable mappings,,target,ref,1,TRUE,,Resources,,,,,Id of the resource that contains the target variable,DataCatalogueFlat,,
Variable mappings,,target table,ref,1,TRUE,,Tables,target,,,,Name of the table that contains the target variable,DataCatalogueFlat,,
Variable mappings,,target variable,ref,1,TRUE,,Variables,target table,,,,Target variable that was mapped to,DataCatalogueFlat,,
Variable mappings,,target,ref,1,TRUE,catalogue,Resources,,,,,Id of the resource that contains the target variable,Mappings,,
Variable mappings,,target table,ref,1,TRUE,catalogue,Tables,target,,,,Name of the table that contains the target variable,Mappings,,
Variable mappings,,target variable,ref,1,TRUE,catalogue,Variables,target table,,,,Target variable that was mapped to,Mappings,,
Variable mappings,,repeats,text,1,TRUE,,,,,"if(!/^(([0-9]+)((, ?[0-9]+)*)|(NA))$/.test(repeats))'Repeats take the format 1,2,3 or 1, 2, 3 or NA'",,"In case of mapping to a repeated variable, specify which repeats were mapped to","DataCatalogueFlat,Mappings",,
Variable mappings,,match,ontology,,TRUE,CatalogueOntologies,Status details,,,,,"Harmonisation match, i.e., complete, partial, na","DataCatalogueFlat,Mappings",,
Variable mappings,,description,text,,,,,,,,,Human readible description of the mapping,"DataCatalogueFlat,Mappings",,
Variable mappings,,syntax,text,,,,,,,,,"Formal definition of the mapping, ideally in executable code","DataCatalogueFlat,Mappings",,
Variable mappings,,comments,text,,,,,,,,,Additional notes or comments,"DataCatalogueFlat,Mappings",,
