tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,label
Version,,,,,,,,,,,,4.0,"DataCatalogue,EMA,SharedStaging,CohortStaging",
Catalogues,,,,,,,,,,,,A collection of resources within a network or consortium or about a common topic,DataCatalogue,
Catalogues,,network,ref,1,true,,Networks,,,,,Network or consortium that leads this catalogue,DataCatalogue,
Catalogues,,type,ontology,,true,CatalogueOntologies,CatalogueTypes,,,,,Type of catalogue,DataCatalogue,
Resources,,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies","DataCatalogue,EMA,RWEStaging",
Resources,,,,,,,,,,,,Group of individuals sharing a defining demographic characteristic,CohortStaging,Cohorts
Organisations,,,,,,,,,,,,Research departments and research groups,"DataCatalogue,EMA,SharedStaging",
Models,,,,,,,,,,,,Data models,"DataCatalogue,EMA",
Databanks,,,,,,,,,,,,"Data collection from real world databases such as health records, registries",DataCatalogue,
Data sources,,,,,,,,,,,,Collections of multiple data banks covering the same population,"DataCatalogue,EMA",
Networks,,,,,,,,,,,,Collaborations of multiple institutions,"DataCatalogue,EMA",
Studies,,,,,,,,,,,,"Collaborations of multiple institutions, addressing research questions using data sources and/or data banks","DataCatalogue,EMA",
Resources,,overview,heading,,,,,,,,,General information,"DataCatalogue,CohortStaging,RWEStaging",
Databanks,,overview,heading,,,,,,,,,General information,DataCatalogue,
Data sources,,overview,heading,,,,,,,,,General information,DataCatalogue,
Networks,,overview,heading,,,,,,,,,General information,DataCatalogue,
Models,,overview,heading,,,,,,,,,General information,DataCatalogue,
Studies,,overview,heading,,,,,,,,,General information,DataCatalogue,
Organisations,,overview,heading,,,,,,,,,General information,DataCatalogue,
Resources,,id,,1,true,,,,,,,Internal identifier,"DataCatalogue,EMA,CohortStaging,RWEStaging",
Databanks,,id,,1,true,,,,,,,Internal identifier,DataCatalogue,
Data sources,,id,,1,true,,,,,,,Internal identifier,"DataCatalogue,EMA",
Networks,,id,,1,true,,,,,,,Internal identifier,"DataCatalogue,EMA",
Models,,id,,1,true,,,,,,,Internal identifier,"DataCatalogue,EMA",
Studies,,id,,1,true,,,,,,,Internal identifier,"DataCatalogue,EMA",
