tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Collection populations,,,,,,,,,,,dcat:Dataset,Subcohorts defined for this resource,DataCatalogueFlat,
Collection populations,,collection,ref,1,true,,Collections,,,,dcterms:isPartOf,Resource this subcohort is part of,DataCatalogueFlat,
Collection populations,,name,,1,true,,,,,,dcterms:title,"Subcohort name, e.g. 'mothers in first trimester','newborns'",DataCatalogueFlat,
Collection populations,,description,text,,,,,,,,dcterms:description,Subcohort description,DataCatalogueFlat,
Collection populations,,number of participants,int,,,,,,,,,Number of participants in this subcohort,DataCatalogueFlat,
Collection populations,,counts,refback,,,,Collection population counts,,population,,,"Total number of unique individuals per age(group), gender and year",DataCatalogueFlat,
Collection populations,,inclusion start,int,,,,,,,,dcat:startDate,Year of first included participant,DataCatalogueFlat,
Collection populations,,inclusion end,int,,,,,,,,dcat:endDate,Year of last included participant. Leave empty if collection is ongoing,DataCatalogueFlat,
Collection populations,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups within this subcohort,DataCatalogueFlat,
Collection populations,,main medical condition,ontology_array,,,CatalogueOntologies,Diseases,,,,dcat:theme,"Disease groups within this subcohort, based on ICD-10 and ORPHA code classifications",DataCatalogueFlat,
Collection populations,,comorbidity,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Comorbidity within this subcohort, based on ICD-10 classification",DataCatalogueFlat,
Collection populations,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,dcterms:coverage,Countries where data from this subcohort largely originate from,DataCatalogueFlat,
Collection populations,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,dcterms:coverage,Geographical regions where data from this subcohort largely originate from,DataCatalogueFlat,
Collection populations,,inclusion criteria,text,,,,,,,,,Inclusion criteria applied to this subcohort,DataCatalogueFlat,
Collection populations,,supplementary information,text,,,,,,,,,Any other information that needs to be disclosed for this subcohort,DataCatalogueFlat,
