tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Genomic variants,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C17248,Beacon v2 GenomicVariation see also https://www.ga4gh.org/product/categorical-variation-catvar/,Patient registry
Genomic variants,,id,string,1,TRUE,,,,,,"http://purl.obolibrary.org/obo/NCIT_C164813,bc2:variantInternalId",A unique identifier maintained by an authoritative database that represents a genetic variation. E.g. 20:2447955..2447958c>g,Patient registry
Genomic variants,,variant type,string,,,,,,,,http://purl.obolibrary.org/obo/GENO_0000773,E.g. SNP,Patient registry
Genomic variants,,genomic HGVS id,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C172243,E.g. NC_000017.11:g.43057063G>A,Patient registry
Genomic variants,,transcript HGVS ids,string_array,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C172244,E.g. NC_000023.10(NM004006.2):c.357+1G,Patient registry
Genomic variants,,protein HGVS ids,string_array,,,,,,,,http://ensembl.org/glossary/ENSGLOSSARY_0000274,E.g. NP_009225.1:p.Glu1817Ter,Patient registry
Genomic variants,,genomic assembly id,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C164388,E.g. GRCh37,Patient registry
Genomic variants,,refseq assembly id,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C45335,E.g. 11,Patient registry
Genomic variants,,geneId,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C20826,E.g. TTN,Patient registry
Genomic variants,,alternative ids,string_array,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C90353,A backup sequence of characters used to identify an entity,Patient registry
Genomic variants,,chrom,string,,,,,,,,, An identifier from the reference genome or pointing to a contig in the assembly,Patient registry
Genomic variants,,start position,long,,,,,,,,http://purl.obolibrary.org/obo/GENO_0000894,The starting position of a sequence feature or interval. E.g. 2447955,Patient registry
Genomic variants,,stop position,long,,,,,,,,http://purl.obolibrary.org/obo/GENO_0000895,The ending position of a sequence feature or interval. E.g. 2447955,Patient registry
Genomic variants,,ref,string,,,,,,,,http://purl.obolibrary.org/obo/GENO_0000036,Reference allele. E.g. c,Patient registry
Genomic variants,,alt,string,,,,,,,,http://purl.obolibrary.org/obo/GENO_0000002,Alternate allele. E.g. g,Patient registry
Genomic variants,,cases,refback,,,,Individual variant analysis,,variant id,,http://purl.obolibrary.org/obo/NCIT_C25391,Cases where the variant was observed in,Patient registry
Genomic variants observed,,,,,,,,,,,,Ability to store complete VCF,Patient registry
Genomic variants observed,,biosample,ref,1,,,Biosamples,,,,http://purl.obolibrary.org/obo/NCIT_C93400,A reference to the biosample where this variant is detected,Patient registry
Genomic variants observed,,variant,ref,1,,,Genomic variants,,,,"http://purl.obolibrary.org/obo/NCIT_C164813,bc2:variantInternalId",A unique identifier maintained by an authoritative database that represents a genetic variation.,Patient registry
Genomic variants observed,,VCF file,ref,,,,Files,,,,http://semanticscience.org/resource/SIO_000396,"A reference to one or more files that contain information about this biosample, variant, individual, etc.",Patient registry
Genomic variants observed,,cohort,ref,,,,Subpopulations,,,,,,Patient registry
Genomic variants observed,,count,int,,,,,,,,,,Patient registry
