tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,defaultValue,semantics,description,profiles
Processes,,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C29862,"An event (e.g., an experiment, a clinical observation) that belongs to an individual","Patient registry, FAIR Genomes"
Processes,,General Information,heading,,,,,,,,,,,"Patient registry, FAIR Genomes"
Processes,,id,auto_id,1,TRUE,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing","Patient registry, FAIR Genomes"
Processes,,individuals,multiselect,,,,Individuals,,,,,http://purl.obolibrary.org/obo/NCIT_C164337,A reference to one or more individuals associated to the process,"Patient registry, FAIR Genomes"
Processes,,alternate ids,string_array,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C90353,Additional identifiers that identify a process,"Patient registry, FAIR Genomes"
Processes,,affiliated organisations,multiselect,,,CatalogueOntologies,Organisations,,,,,http://purl.obolibrary.org/obo/NCIT_C25412,One or more associations between the individual and an organisation.,"Patient registry, FAIR Genomes"
Experiments,Processes,,,,,,,,,,,http://semanticscience.org/resource/SIO_000994,"An experiment is an investigation that has the goal of verifying, falsifying, or establishing the validity of a hypothesis.","Patient registry, FAIR Genomes"
Experiments,,sample id,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a sample","Patient registry, FAIR Genomes"
Experiments,,local sample id,string_array,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25364,"An identifier associated with a particular source, used by the data provider or owner","Patient registry, FAIR Genomes"
Experiments,,sample type,ontology,,,CatalogueOntologies,Sample type,,,,,http://purl.obolibrary.org/obo/FBcv_0003044,"The type of sample as characterized by its biological source material collected for testing, diagnostic, propagation, treatment or research purposes","Patient registry,FAIR Genomes"
Experiments,,sample type other,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C126072,"If the sample type is other, provide a description of the sample.","Patient registry,FAIR Genomes"
Experiments,,tissue type,ontology,,,CatalogueOntologies,Tissue type,,,,,http://purl.uniprot.org/core/Tissue,"The tissue type of origin (e.g., lung or heart) for the sample","Patient registry,FAIR Genomes"
Experiments,,aliquot id,string_array,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C173074,A unique identifier assigned to an aliquot containing a portion of a biospecimen,"Patient registry, FAIR Genomes"
Experiments,,sample availability,ontology,,,CatalogueOntologies,Sample availability,,,,,http://purl.obolibrary.org/obo/NCIT_C19065,"An indication if the sample is available (i.e., retained, available for use, etc.)","Patient registry,FAIR Genomes"
Experiments,,pathological state,ontology,,,CatalogueOntologies,Pathological state,,,,,http://purl.obolibrary.org/obo/NCIT_C28257,"An examination that is performed to determine the extent of the spread of cancer based on histopathologic examination of one or more pathology specimens. Pathologic staging uses evidence acquired during the process of clinical staging, supplemented by histopathologic examination of surgical specimens.","Patient registry, FAIR Genomes"
Experiments,,volume,int,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C74720,The determination of the volume of a sample.,"Patient registry, FAIR Genomes"
Experiments,,volume unit,ontology,,,CatalogueOntologies,Units,,,,,http://purl.obolibrary.org/obo/NCIT_C44279,An indication of the type of unit of measure being used to express a volume.,"Patient registry, FAIR Genomes"
Experiments,,percentage tumor cells,decimal,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C127771,"The percentage of tumor cells compared to total cells present in this sample.","Patient registry, FAIR Genomes"
Analyses,Processes,,,,,,,,,,,"http://purl.obolibrary.org/obo/NCIT_C25391,http://edamontology.org/operation_2945",An analysis (examination and interpretation) relating to an individual,"Patient registry, FAIR Genomes"
Analyses,,Analyses Information,heading,,,,,,,,,,,"Patient registry, FAIR Genomes"
Analyses,,date started,date,,,,,,,,,http://semanticscience.org/resource/SIO_000031,A start date is a time instant pertaining to the date of the beginning of a analysis.,"Patient registry, FAIR Genomes"
Analyses,,date completed,date,,,,,,,,,http://semanticscience.org/resource/SIO_000032,An end date is a time instant pertaining to date of the end of an analysis,"Patient registry, FAIR Genomes"
Analyses,,persons involved,multiselect,,,,Contacts,,,,,http://purl.obolibrary.org/obo/NCIT_C25461,Reference to one or more individuals involved in the analysis,"Patient registry, FAIR Genomes"
Variant interpretation analyses,Analyses,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25391,Analyses relating to specific individuals,Patient registry
Variant interpretation analyses,,Variant Interpretation Analyses,heading,,,,,,,,,,,Patient registry
Variant interpretation analyses,,experiment,multiselect,,,,Experiments,,,,,http://purl.obolibrary.org/obo/NCIT_C43376,Links to experiment,Patient registry
Variant interpretation analyses,,status,select,,,CatalogueOntologies,Status,,,,,http://semanticscience.org/resource/SIO_000033,"An characterisation of the analysis that indicates the current state or progress (e.g., confirmed, to be verified, etc.)",Patient registry
Variant interpretation analyses,,solved,bool,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000136,A reference to the individual whom this analysis is about,Patient registry
Variant interpretation analyses,,date solved,date,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25587,An indication that diagnosis is given and the case is no longer considered unsolved.,Patient registry
Variant interpretation analyses,,variant interpretation,refback,,,,Variant interpretations,,interpretation analysis,,,http://purl.obolibrary.org/obo/NGBO_6000125,Links to variant interpretation(s),Patient registry
Observations,Processes,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25398,Findings and circumstances relating to the examination and treatment of an individual,"Patient registry, FAIR Genomes"
Observations,,Observations Information,heading,,,,,,,,,,,"Patient registry, FAIR Genomes"
Observations,,date of observation,date,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C119798,The date on which an observation took place,"Patient registry, FAIR Genomes"
Observations,,age at observation,period,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C192236,"The age of the individual at the time of observation (e.g., ""P55Y8M12D"")","Patient registry, FAIR Genomes"
Observations,,type of visit,ontology,,,CatalogueOntologies,Visit type,,,,,http://purl.obolibrary.org/obo/NCIT_C103165,"The kind of visit undertaken by the individual within a study such as inpatient, outpatient, telephone, baseline, follow up, etc.","Patient registry, FAIR Genomes"
Observations,,location of observation,select,,,CatalogueOntologies,Organisations,,,,,http://purl.obolibrary.org/obo/NCIT_C119804,The site in or on the body at which the observation is made.,"Patient registry, FAIR Genomes"
Experiments,,Sample Collection,heading,,,,,,,,,,,"Patient registry, FAIR Genomes"
Experiments,,age group of individual at collection,ontology,,,CatalogueOntologies,Age groups,,,,,http://purl.obolibrary.org/obo/NCIT_C20587,"A categorical value that groups this individual by age at the time of collection (e.g., ""Adult"", ""18-24 years"", etc.)","Patient registry, FAIR Genomes"
Experiments,,age of individual at collection,period,,,,,,,,,http://purl.obolibrary.org/obo/GENEPIO_0001775,The age of the individual at the time of collection,"Patient registry,FAIR Genomes"
Experiments,,anatomical location,ontology,,,CatalogueOntologies,Anatomical location,,,,,http://purl.obolibrary.org/obo/NCIT_C170983,The specific anatomical or biological region associated with a tissue or organ specimen.,"Patient registry, FAIR Genomes"
Experiments,,anatomical location other,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C170983,Additional description on the anatomical or biological region associated with a tissue or organ specimen,"Patient registry, FAIR Genomes"
Experiments,,failed quality control,bool,,,,,,,,,http://purl.obolibrary.org/obo/GENEPIO_0100564,An indication confirming that quality control processes were carried out and that the sequence did not meet the assessment criteria.,"Patient registry, FAIR Genomes"
Experiments,,registration timestamp,datetime,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25646,"Date and time at which this sample was listed or recorded officially, i.e. officially qualified or enrolled.","Patient registry,FAIR Genomes"
Experiments,,input amount,int,,,,,,,,,http://purl.allotrope.org/ontologies/role#AFRL_0000010,Amount of input material in nanogram (ng).,"Patient registry, FAIR Genomes"
Experiments,,collected at organisation,select,,,CatalogueOntologies,Organisations,,,,,http://purl.obolibrary.org/obo/OBIB_0000085,The geographic location where sample collection took place,"Patient registry,FAIR Genomes"
Experiments,,collected by,multiselect,,,,Contacts,,,,,http://purl.obolibrary.org/obo/OBI_0001769,The person or persons responsible for sample collection,"Patient registry,FAIR Genomes"
Experiments,,date of collection,date,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C82515,Date on which the sample was collected,"Patient registry, FAIR Genomes"
Experiments OGM,,number of cells per million,decimal,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C202259,"The number of cells (million) in a sample, sample volume, field, or other delimiter.",Patient registry
Experiments OGM,,number of aliquots,int,,,,,,,,,"http://purl.obolibrary.org/obo/NCIT_C25414, http://purl.obolibrary.org/obo/NCIT_C25463","The number of aliquots (= pertaining to a portion of the whole; any one of two or more samples of something, of the same volume or weight)",Patient registry
Experiments RNA,NGS sequencing,,,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0001177,An RNA sequencing experiment,Patient registry
Experiments RNA,,number of aliquots,int,,,,,,,,,"http://purl.obolibrary.org/obo/NCIT_C25414, http://purl.obolibrary.org/obo/NCIT_C25463","The number of aliquots (= pertaining to a portion of the whole; any one of two or more samples of something, of the same volume or weight)",Patient registry
Experiments lrGS,NGS sequencing,,,,,,,,,,,,A long-read Genome Sequencing (lrGS) experiment,Patient registry
Experiments lrGS,,number of aliquots,int,,,,,,,,,"http://purl.obolibrary.org/obo/NCIT_C25414, http://purl.obolibrary.org/obo/NCIT_C25463","The number of aliquots (= pertaining to a portion of the whole; any one of two or more samples of something, of the same volume or weight)",Patient registry
NGS sequencing,Experiments,,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C101293,Technologies that facilitate the rapid determination of the nucleotide sequence of large numbers of strands or segments of DNA or RNA,"Patient registry, FAIR Genomes"
Experiments RNA,,RNA Extraction,heading,,,,,,,,,,,Patient registry
Experiments lrGS,,DNA Extraction,heading,,,,,,,,,,,Patient registry
Experiments srDNA,,DNA Extraction,heading,,,,,,,,,,,Patient registry
NGS sequencing,,extraction kit,,,,,,,,,,,An assay kit used for the technique of extracting nucleic acids from a biological sample,"Patient registry,FAIR Genomes"
NGS sequencing,,extraction date,date,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0003081,A time measurement datum that specifies when some material was extracted from an input material,"Patient registry,FAIR Genomes"
Experiments OGM,,storage buffer,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C70815,An ionic compound that resists changes in its pH. The buffer containing the DNA/RNA.,Patient registry
Experiments lrGS,,storage buffer,string,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C70815,An ionic compound that resists changes in its pH. The buffer containing the DNA/RNA.,Patient registry
Experiments,,storage conditions,ontology,,,CatalogueOntologies,Storage conditions,,,,,http://purl.obolibrary.org/obo/NCIT_C96145,The conditions under which this sample was stored.,"Patient registry,FAIR Genomes"
Experiments,,storage location,ontology,,,CatalogueOntologies,Storage locations,,,,,http://purl.obolibrary.org/obo/GENEPIO_0100594,"A place on the Earth where this sample is located, by its name or by its geographical location. This definition is intentionally vague to allow reuse locally (e.g. which freezer), for contacting (e.g. which institute), broadly for logistical or legal reasons (e.g. city, country or continent).","Patient registry,FAIR Genomes"
Experiments,,date of expiration,date,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C164516,The date this sample is no longer regarded as fit for use.,"Patient registry,FAIR Genomes"
Experiments lrGS,,concentration,decimal,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C41185,"The quantity of a substance per unit volume or weight; a measure of the amount of substance present in a unit amount of mixture, particularly, the amount of solute dissolved in a solvent. The amounts can be expressed as moles, masses, volumes, or parts.",Patient registry
Experiments lrGS,,concentration unit,ontology,,,CatalogueOntologies,Units,,,,,http://purl.obolibrary.org/obo/NCIT_C48207,An indication of the type of unit of measure being used to express a concentration.,Patient registry
Experiments lrGS,,DIN QC value,decimal,,,,,,,"if(parseFloat(dINQCValue) < 1 || parseFloat(dINQCValue) > 10) ""Only values between 1 and 10 are allowed.""",,http://purl.obolibrary.org/obo/GENEPIO_0100661,A data field which describes quality control information,Patient registry
Experiments RNA,,RIN QC value,decimal,,,,,,,"if(parseFloat(rINQCValue) < 1 || parseFloat(rINQCValue) > 10) ""Only values between 1 and 10 are allowed.""",,http://purl.obolibrary.org/obo/GENEPIO_0100661,A data field which describes quality control information,Patient registry
NGS sequencing,,Library Preparation,heading,,,,,,,,,,,"Patient registry,FAIR Genomes"
NGS sequencing,,library source,ontology,,,CatalogueOntologies,Library source,,,,,http://purl.obolibrary.org/obo/GENEPIO_0001965,E.g. genomic source,"Patient registry, FAIR Genomes"
