tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible
Collection subcohorts,,,,,,,,,,,dcat:Dataset,Subcohorts defined for this resource,DataCatalogueFlat,
Collection subcohorts,,collection,ref,1,true,,Collections,,,,dcterms:isPartOf,Resource this subcohort is part of,DataCatalogueFlat,
Collection subcohorts,,name,,1,true,,,,,,dcterms:title,"Subcohort name, e.g. 'mothers in first trimester','newborns'",DataCatalogueFlat,
Collection subcohorts,,description,text,,,,,,,,dcterms:description,Subcohort description,DataCatalogueFlat,
Collection subcohorts,,number of participants,int,,,,,,,,,Number of participants in this subcohort,DataCatalogueFlat,
Collection subcohorts,,counts,refback,,,,Collection subcohort counts,,population,,,"Total number of unique individuals per age(group), gender and year",DataCatalogueFlat,
Collection subcohorts,,inclusion start,int,,,,,,,,dcat:startDate,Year of first included participant,DataCatalogueFlat,
Collection subcohorts,,inclusion end,int,,,,,,,,dcat:endDate,Year of last included participant. Leave empty if collection is ongoing,DataCatalogueFlat,
Collection subcohorts,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups within this subcohort,DataCatalogueFlat,
Collection subcohorts,,main medical condition,ontology_array,,,CatalogueOntologies,Diseases,,,,dcat:theme,"Disease groups within this subcohort, based on ICD-10 and ORPHA code classifications",DataCatalogueFlat,
Collection subcohorts,,comorbidity,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Comorbidity within this subcohort, based on ICD-10 classification",DataCatalogueFlat,
Collection subcohorts,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,dcterms:coverage,Countries where data from this subcohort largely originate from,DataCatalogueFlat,
Collection subcohorts,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,dcterms:coverage,Geographical regions where data from this subcohort largely originate from,DataCatalogueFlat,
Collection subcohorts,,inclusion criteria,text,,,,,,,,,Inclusion criteria applied to this subcohort,DataCatalogueFlat,
Collection subcohorts,,supplementary information,text,,,,,,,,,Any other information that needs to be disclosed for this subcohort,DataCatalogueFlat,
