tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Files,,,,,,,,,,,"http://purl.obolibrary.org/obo/STATO_0000002,http://purl.obolibrary.org/obo/NCIT_C42883","An electronic file is an information content entity which conforms to a specification or format and which is meant to hold data and information in digital form, accessible to software agents. In RD3: Individuals files stored in the sandbox environments. Files are linked to subjects, samples, and experiments, as well as with EGA accession number.","RD3, DCAT files add-on"
Files,,identifier,string,1,TRUE,,,,,,http://purl.org/dc/elements/1.1/identifier,Recommended practice is to identify the resource by means of a string conforming to an identification system. An unambiguous reference to the resource within a given context.,"Beacon v2 EMX2 add-on,RD3, DCAT files add-on"
Files,,path,string,1,TRUE,,,,,,http://purl.allotrope.org/ontologies/result#AFR_0001927,A file path is an identifier for a file in a file system or network.,"RD3, DCAT files add-on"
//change identifiers to a nested table having type,id
Files,,Alternative identifiers,string_array,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C90353,A backup sequence of characters used to identify an entity.,RD3
Files,,md5 checksum,string,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C171276,A 32-character hexadecimal number that is computed on a file.,"RD3, DCAT files add-on"
//how can we keep track where copies of the data file exist?
Files,,name,string,,TRUE,,,,,,"http://edamontology.org/data_1050,http://purl.obolibrary.org/obo/NCIT_C171191","The name (or part of a name) of a file (of any type), i.e. the literal identifier for an electronic file.","RD3, DCAT files add-on"
//can we encode server in path? Files,,server,string,,TRUE,,,,,,http://purl.obolibrary.org/obo/NCIT_C48297,A computer which provides some service for other computers connected to it via a network.,"RD3, DCAT files add-on"
Files,,format,ontology,,TRUE,,FileFormats,,,,"http://purl.org/dc/terms/FileFormat,http://purl.obolibrary.org/obo/NCIT_C171252","A digital resource format (e.g. BAM, FastQ, gVCF, phenopacket, BED)","Beacon v2 EMX2 add-on, RD3, DCAT files add-on"
//this we then use to explain the processing that produced this file?
//can we use the ISA or other standard as backbone to explain how dry/wet steps lead to a file?
Files,,analyses,ref_array,,,,Analyses,,,,http://edamontology.org/operation_2945,Beacon v2 Analyses,"Beacon v2 EMX2 add-on, RD3"
Files,,biosamples,ref_array,,,,Biosamples,,,,http://purl.obolibrary.org/obo/NCIT_C43376,Beacon v2 Biosamples,"Beacon v2 EMX2 add-on, RD3"
//don't need Files,,cohorts,ref_array,,,,Cohorts,,,,http://purl.obolibrary.org/obo/NCIT_C61512,Beacon v2 Cohorts,Beacon v2 EMX2 add-on
Files,,individuals,ref_array,,,,Individuals,,,,http://purl.obolibrary.org/obo/NCIT_C90492,One or more subject identifier associated with a file,"Beacon v2 EMX2 add-on, RD3"
//can we somehow generalize this?
//https://globalgenomics.org/ga4gh-developing-new-standard-for-representation-of-pedigree-and-family-health-history-information/
Files,,Pedigree,ref,,,,Pedigree,,,,http://purl.obolibrary.org/obo/NCIT_C27957,Pedigree studies in which the individual is part of.,RD3
//this is for batch effects, we could generalize it to be the instance of the lab protocol that was applied
//try merge with analysis such that we can simply describe what activity lead to production of the file (like provenance path)
Files,,sequencing run,ref,,,,Runs,,,,http://edamontology.org/topic_3168,Beacon v2 Runs,"Beacon v2 EMX2 add-on, RD3"
Files,,Included in datasets,ref_array,,,,datasets,,,,http://purl.obolibrary.org/obo/RO_0000056,Reference to the dataset or datasets in which this person was assigned to.,RD3
Files,,Included in data releases,ref_array,,,,Data releases,,,,http://purl.obolibrary.org/obo/NCIT_C172217,One or more links to a structured data releases to indicate when the record was first introduced or updated.,RD3
Files,,Comments,text,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25393,"A written explanation, observation or criticism added to textual material.",RD3
