tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,defaultValue,visible
Collection events,,,,,,,,,,,,Definition of a collection event for a resource,"DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,resource,ref,1,TRUE,,Resources,,,,dcterms:source,Resource this collection event is part of,"DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,name,,1,TRUE,,,,,,dcterms:title,Name of the collection event,"DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,pid,,,,,,,,,dcterms:identifier,Persistent identifier for this collection event,"DataCatalogueFlat,CohortsBasis",,FALSE
Collection events,,description,text,,,,,,,,dcterms:description,Description of the collection event,"DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,subpopulations,ref_array,,,,Subpopulations,resource,,,dcterms:source,Subpopulations that are targetted by this collection event,"DataCatalogueFlat,CohortsBasis",,
Collection events,,keywords,string_array,,,,,,,,dcat:keyword,Keywords to increase findability of this collection event. Try to use words that are not used in the description. Keywords are not displayed on the collection event page,"DataCatalogueFlat,CohortsBasis",,
Collection events,,start date,date,,,,,,,,dcat:startDate,Start date of data collection,"DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,end date,date,,,,,,,,dcat:endDate,End date of data collection. Leave empty if collection is ongoing,"DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Age groups included in this data collection event,"DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,number of participants,int,,,,,,,,,Number of participants sampled in this data collection event,"DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information cohorts,,,,,Areas of information that were extracted in this data collection event,"DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,data categories,ontology_array,,,CatalogueOntologies,Data categories,,,,,Methods of data collection used in this collection event,"DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,sample categories,ontology_array,,,CatalogueOntologies,Sample categories,,,,,Samples that were collected in this collection event,"DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,standardized tools,ontology_array,,,CatalogueOntologies,Standardized tools,,,,,"Standardized tools, e.g. surveys, questionnaires, instruments used to collect data for this collection event","DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,standardized tools other,text,,,,,,,,,"If 'other', please specify","DataCatalogueFlat,CohortsBasis,StudiesStaging",,
Collection events,,core variables,string_array,,,,,,,,,Name 10-20 relevant variables that were collected in this collection event,"DataCatalogueFlat,CohortsExtended,StudiesStaging",,
Collection events,,contact point,ref,,,,Contacts,resource,,,dcat:contactPoint,Contact point for this collection event. Value copied from Collections table,DataCatalogueFlat,,
Collection events,,publisher,ref,,,,Organisations,resource,,,dcterms:publisher,Organisation that published this collection event. Value copied from Collections table,DataCatalogueFlat,,
Collection events,,creator,ref_array,,,,Organisations,resource,,,dcterms:creator,Organisation(s) that created this collection event. Value copied from Collections table,DataCatalogueFlat,,
Collection events,,issued,datetime,,,,,,,,dcterms:issued, When the data for this collection event was first published,"DataCatalogueFlat,CohortsExtended,StudiesStaging",,
Collection events,,modified,datetime,,,,,,,,dcterms:modified, When the data for this collection event was last modified,"DataCatalogueFlat,CohortsExtended,StudiesStaging",,
Collection events,,theme,ontology_array,,,CatalogueOntologies,Themes,,,,dcat:theme,"A main category of the collection event. A collection event can have multiple themes, for health data theme must at least take the value 'Health', which is set as a default","DataCatalogueFlat,CohortsBasis",= [{name: 'Health'}],
Collection events,,access rights,ontology,,,CatalogueOntologies,Access rights,,,,dcterms:accessRights,"Information that indicates whether the resource is publicly accessible, has access restrictions or is not public. A default is set for non-public access, because most health datasets contain sensitive information and rules and licenses apply to get access","DataCatalogueFlat,CohortsBasis",= {name: 'Non public'},
Collection events,,applicable legislation,ontology_array,,,CatalogueOntologies,Legislations,,,,dcatap:applicableLegislation,"The legislation that mandates the creation or management of the collection event. For health datasets, the value must include the data governance act, which is set as a default. URI's to other legislations may be included","DataCatalogueFlat,CohortsBasis",= [{name: 'Data Governance Act'}],
Collection events,,provenance statement,text,,,,,,,,dct:provenance,"A statement of any changes in ownership and custody of a resource since its creation that are significant for its authenticity, integrity, and interpretation",DataCatalogueFlat,,
