tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles
Collections,,,,,,,,,,,"dcat:DatasetSeries,dcat:Dataset",Collection of data and/or samples. Use 'collection type' to specify,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging"
Collections,,overview,heading,,,,,,,,,General information,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging"
Collections,,id,,1,TRUE,,,,,,dct:identifier,Internal identifier,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging"
Collections,,pid,,2,,,,,,,dct:identifier,Persistent identifier,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging"
Collections,,name,text,3,TRUE,,,,,,dct:title,Name used in international projects,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging"
Collections,,local name,,,,,,,,,rdfs:label,"If different from above, name in the national language","DataCatalogueFlat,CohortsStaging,RWEStaging"
Collections,,acronym,,,,,,,,,dct:alternative,"Acronym, if applicable","DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging"
Collections,,type,ontology_array,,,CatalogueOntologies,Collection types FLAT,,,,,"Type of collection, e.g. registry, cohort, biobank","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging"
Collections,,type other,,,,,,,,,,"If other, describe the type of collection","DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,StudiesStaging"
Collections,,cohort type,ontology_array,,,CatalogueOntologies,Cohort study types,,,,,Type of cohort,"DataCatalogueFlat,CohortsStaging"
Collections,,clinical study type,ontology_array,,,CatalogueOntologies,Clinical study types,,,,,Type of clinical study,"DataCatalogueFlat,EMA"
Collections,,RWD type,ontology_array,,,CatalogueOntologies,Datasource types,,,,,Type of registry or health record,"DataCatalogueFlat,EMA,RWEStaging"
Collections,,network type,ontology_array,,,CatalogueOntologies,Network types,,,,,Type of network,"DataCatalogueFlat,NetworksStaging"
Collections,,website,hyperlink,,,,,,,,dcat:landingPage,Link to the website or homepage,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging"
Collections,,description,text,,,,,,,,dct:description,Short description,"DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging"
Collections,,keywords,text,,,,,,,,dcat:keyword,Keywords to increase findability of this collection. Try to use words that are not used in the description,"DataCatalogueFlat,CohortsStaging,UMCGCohortsStaging,RWEStaging"
Collections,,external identifiers,refback,,,,Collection external identifiers,,collection,,,"External identifier(s) for this collection (e.g. EUPASS number, UMCG register number)","DataCatalogueFlat,EMA,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging,UMCGCohortsStaging"
