tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,profiles,visible,default
Datasets,,,,,,,,,,,,Definition of a dataset,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,
Datasets,,resource,ref,1,TRUE,,Resources,,,,,Resource of which the dataset is part,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,
Datasets,,name,,1,TRUE,,,,,,dcterms:title,Unique dataset name in the model,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,
Datasets,,label,text,,,,,,,,rdfs:label,Short human readable description,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,
Datasets,,dataset type,ontology_array,,,CatalogueOntologies,Dataset types,,,,,"Defines the type of dataset, e.g. genomic","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,
Datasets,,unit of observation,ontology,,,CatalogueOntologies,Observation targets,,,,,Defines what each record in this table describes,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,
Datasets,,keywords,ontology_array,,,CatalogueOntologies,Keywords,,,,dcat:keyword,Enables grouping of table list by topic and to display tables in a tree,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,
Datasets,,description,text,,,,,,,,dct:description,Description of the role/function of this table,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,
Datasets,,number of rows,int,,,,,,,,,Count of the number of records in this table,"DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,
Datasets,,mapped to,refback,,,,Dataset mappings,,source dataset,,,Common dataset models this dataset has been mapped into,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,
Datasets,,mapped from,refback,,,,Dataset mappings,,target dataset,,,Source datasets that have been mapped to this harmonised dataset,"DataCatalogueFlat,CohortsStaging,RWEStaging,StudiesStaging",,
Datasets,,since version,,,,,,,,,,"When this dataset was introduced, if applicable","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,
Datasets,,until version,,,,,,,,,,"When this dataset was removed, if applicable","DataCatalogueFlat,CohortsStaging,RWEStaging,NetworksStaging,StudiesStaging",,
Datasets,,accessUrl,hyperlink_array,,TRUE,,,,,,dcat:accessURL,"A URL of a resource that gives access to a distribution of the dataset. E.g. landing page, feed, SPARQL endpoint. Use for all cases except a simple download link, in which case downloadURL is preferred.",DCAT,,
Datasets,,applicable legislation,hyperlink_array,,TRUE,,,,,,dcatap:applicableLegislation,"Legislation applicable to the catalogue",DCAT,,http://data.europa.eu/eli/reg/2022/868/oj
Datasets,,format,ontology,,TRUE,,,http://publications.europa.eu/resource/authority/file-type,,,dct:format,"Recommended practice is to use a controlled vocabulary where available. For example, for file formats one could use the list of Internet Media Types [[MIME](https://www.iana.org/assignments/media-types/media-types.xhtml)].  Examples of dimensions include size and duration.",DCAT,,
Datasets,,byteSize,int,,TRUE,,,,,,dcat:byteSize,The size of a distribution in bytes.,DCAT,,
Datasets,,rights,hyperlink,,TRUE,,,,,,dct:rights,Information about rights held in and over the resource.,DCAT,,
,,,,,,,,,,,,,,,
