id,collected from individual,included in datasets.resource,included in datasets.name
SAMEA10450711,Case1F,EGAS00001005702,EGAD00001008392
SAMEA10450712,Case1C,EGAS00001005702,EGAD00001008392
SAMEA10450713,Case1M,EGAS00001005702,EGAD00001008392
SAMEA10450714,Case2C,EGAS00001005702,EGAD00001008392
SAMEA10450715,Case2F,EGAS00001005702,EGAD00001008392
SAMEA10450716,Case2M,EGAS00001005702,EGAD00001008392
SAMEA10450723,Case3C,EGAS00001005702,EGAD00001008392
SAMEA10450724,Case3F,EGAS00001005702,EGAD00001008392
SAMEA10450725,Case3M,EGAS00001005702,EGAD00001008392
SAMEA10450726,Case4C,EGAS00001005702,EGAD00001008392
SAMEA10450728,Case4F,EGAS00001005702,EGAD00001008392
SAMEA10450729,Case4M,EGAS00001005702,EGAD00001008392
SAMEA10450730,Case5C,EGAS00001005702,EGAD00001008392
SAMEA10450731,Case5M,EGAS00001005702,EGAD00001008392
SAMEA10450732,Case5F,EGAS00001005702,EGAD00001008392
SAMEA10450733,Case6C,EGAS00001005702,EGAD00001008392
SAMEA10450734,Case6F,EGAS00001005702,EGAD00001008392
SAMEA10450735,Case6M,EGAS00001005702,EGAD00001008392
