tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description
Publications,,,,,,,,,,,,Publications following bibtex format
Version,,,,,,,,,,,,2.7
Resources,,,,,,,,,,,,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies"
Subcohorts,,,,,,,,,,,,"List of subcohorts or subpopulations for this resource (fill in at least one subcohort, consider a single cohort without subcohorts as one subcohort)"
Cohorts,Resources,,,,,,,,,,,Group of individuals sharing a defining demographic characteristic
Contributions,,,,,,,,,,,,Persons that contributed to the creation of a resource
Partners,,,,,,,,,,,,Institutions that partnered in the creation of a resource
CollectionEvents,,,,,,,,,,,,List of collection events defined for this resource (fill in at least one collection event)
SubcohortCounts,,,,,,,,,,,,
Documentation,,,,,,,,,,,,Documentation attached to a resource
Resources,,overview,heading,,,,,,,,,General information about this resource
Resources,,pid,,1,true,,,,,,,Persistent identifier for this resource
Resources,,name,,2,true,,,,,,,Name of the resource
Resources,,acronym,,,,,,,,,,Resource acronym
Resources,,website,,,,,,,,,,Link to the website of this resource
Resources,,description,text,,,,,,,,,Short description of this resource
Resources,,keywords,text,,,,,,,,,Keywords to increase findability of this resource. Try to use words that are not used in the description.
Resources,,externalIdentifiers,,,,,,,,,,"External identifier for this resource (e.g. EU PAS number, UMCG register number)"
Cohorts,,type,ref_array,,,CatalogueOntologies,ResourceTypes,,,,,"Type of resource, e.g. registry, cohort, biobank"
Cohorts,,design,ref,,,CatalogueOntologies,CohortDesigns,,,,,"The study design of this cohort, i.e. cross-sectional or longitudinal"
Cohorts,,designDescription,,,,,,,,,,Short description of the study design of this cohort
Cohorts,,designSchematic,file,,,,,,,,,A schematic depiction of the study design of this cohort
Cohorts,,collectionType,ref_array,,,CatalogueOntologies,CollectionTypes,,,,,"The data collection type of this cohort, i.e. retrospective or prospective; if both, select both"
Resources,,institution,ref_array,,,SharedStaging,Institutions,,,,,Institution providing and/or coordinating access to this resource
Resources,,partners,refback,,,,Partners,,resource,,,Institutions that partnered in the creation of this resource
Cohorts,,networks,ref_array,,,UMCG,Networks,,cohorts,,,The consortia or networks that this cohort is involved in
Resources,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc."
Cohorts,,contactEmail,,,,,,,,,,Contact e-mail address for this cohort
Resources,,contributors,refback,,,,Contributions,,resource,,,Listing who is/has been involved in the creation and maintenance of this resource
Resources,,population,heading,,,,,,,,,Description of the population that can potentially be captured in the resource
Resources,,numberOfParticipants,int,,,,,,,,,Total number of individuals for which data is collected
Resources,,numberOfParticipantsWithSamples,int,,,,,,,,,Number of individuals for which samples are collected
Resources,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this resource largely originate from
Resources,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,Geographical regions where data from this resource largely originate from
Resources,,populationAgeGroups,ontology_array,,,CatalogueOntologies,AgeGroups,,,,,Age groups of the participants of this resource
Cohorts,,inclusionCriteria,text,,,,,,,,,Inclusion criteria applied to the participants of this resource
Resources,,startYear,int,,,,,,,,,Year when first data was collected (retrospectively)
Resources,,endYear,int,,,,,,,,,Year when last data was collected. Leave empty if collection is ongoing
Cohorts,,subcohorts,refback,,,,Subcohorts,,resource,,,List of subcohorts or subpopulations for this resource
Resources,,contents,heading,,,,,,,,,Data model and contents
Cohorts,,collectionEvents,refback,,,,CollectionEvents,,resource,,,List of collection events defined for this resource
Cohorts,,access,heading,,,,,,,,,
Cohorts,,dataAccessConditions,ontology_array,,,CatalogueOntologies,DataAccessConditions,,,,,Codes defining data access terms and conditions
Cohorts,,dataUseConditions,ontology_array,,,CatalogueOntologies,DataUseConditions,,,,,Codes defining data use terms and conditions
Cohorts,,dataAccessConditionsDescription,text,,,,,,,,,Description of data access terms and use conditions
Cohorts,,dataAccessFee,bool,,,,,,,,,Does a fee apply to gain access to data of this cohort?
Cohorts,,releaseType,ontology,,,CatalogueOntologies,ReleaseTypes,,,,,Select whether this resource is a closed dataset or whether new data is released continuously or at a termly basis
Cohorts,,releaseDescription,text,,,,,,,,,Description of the release cycle of this resource
Cohorts,,linkageOptions,text,,,,,,,,,Linkage options with additional data sources that are available for this resource
Resources,,otherInformation,heading,,,,,,,,,Other information
Resources,,designPaper,ref_array,,,,Publications,,,,,Publication(s) that describe(s) the design of this resource
Resources,,documentation,refback,,,,Documentation,,resource,,,List of documentation available for this resource
Resources,,fundingStatement,text,,,,,,,,,Statement listing funding that was obtained for this resource
Resources,,acknowledgements,text,,,,,,,,,Acknowledgement statement and citation regulation for this resource
Publications,,doi,,1,true,,,,,,,Digital object identifier
Publications,,title,,,true,,,,,,,Publication title
Partners,,resource,ref,1,true,,Resources,,,,,Resource that is contributed to
Partners,,institution,ref,1,true,SharedStaging,Institutions,,,,,institution that contributed
Partners,,department,text,,,,,,,,,"Optionally, the institutational unit(s) that play a role in this resource"
Partners,,role,ontology,,,CatalogueOntologies,PartnerRoles,,,,,Role in this resource
Partners,,roleDescription,text,,,,,,,,,Description of the role in this resource
Contributions,,resource,ref,1,true,,Resources,,,,,Resource person has contributed to
Contributions,,contact,ref,1,true,SharedStaging,Contacts,,,,,Person who contributed to a resource
Contributions,,contributionType,ontology_array,,,CatalogueOntologies,ContributionTypes,,,,,Type of the contribution
Contributions,,contributionDescription,text,,,,,,,,,Contribution description
Documentation,,resource,ref,1,true,,Resources,,,,,The resource this documentation is for
Documentation,,name,,1,true,,,,,,,Document name
Documentation,,description,text,,,,,,,,,Description of the document
Documentation,,url,,,,,,,,,,Hyperlink to the source of the documentation
Documentation,,file,file,,,,,,,,,Optional file attachment containing the documentation
CollectionEvents,,resource,ref,1,true,,Resources,,,,,Resource this collection event is part of
CollectionEvents,,name,,1,true,,,,,,,Name of the collection event
CollectionEvents,,description,,,,,,,,,,Description of the collection event
CollectionEvents,,subcohorts,ref_array,,,,Subcohorts,resource,,,,Subcohorts that are targetted by this collection event
CollectionEvents,,startYear,ref,,,CatalogueOntologies,Years,,,,,Start year of data collection
CollectionEvents,,startMonth,ref,,,CatalogueOntologies,Months,,,,,Start month of data collection
CollectionEvents,,endYear,ref,,,CatalogueOntologies,Years,,,,,End year of data collection. Leave empty if collection is ongoing
CollectionEvents,,endMonth,ref,,,CatalogueOntologies,Months,,,,,End month of data collection. Leave empty if collection is ongoing
CollectionEvents,,ageGroups,ontology_array,,,CatalogueOntologies,AgeGroups,,,,,Age groups included in this data collection event
CollectionEvents,,numberOfParticipants,int,,,,,,,,,Number of participants sampled in this data collection event
CollectionEvents,,areasOfInformation,ontology_array,,,CatalogueOntologies,AreasOfInformation,,,,,Areas of information that were extracted in this data collection event
CollectionEvents,,dataCategories,ontology_array,,,CatalogueOntologies,DataCategories,,,,,Methods of data collection used in this collection event
CollectionEvents,,sampleCategories,ontology_array,,,CatalogueOntologies,SampleCategories,,,,,Samples that were collected in this collection even
CollectionEvents,,standardizedTools,ontology_array,,,CatalogueOntologies,StandardizedTools,,,,,"Standardized tools, e.g. surveys, questionnaires, instruments used to collect data for this collection event"
CollectionEvents,,standardizedToolsOther,,,,,,,,,,"If 'other', please specify"
CollectionEvents,,coreVariables,ref_array,,,SharedStaging,CoreVariables,,,,,Enter or select 10-20 relevant variables that were collected in this collection event
Subcohorts,,resource,ref,1,true,,Resources,,,,,Resource this subcohort is part of
Subcohorts,,name,,1,true,,,,,,,"Subcohort name, e.g. 'mothers in first trimester','newborns'"
Subcohorts,,description,text,,,,,,,,,Subcohort description
Subcohorts,,counts,refback,,,,SubcohortCounts,,subcohort,,,"Total number of unique individuals per age(group), gender and year"
Subcohorts,,numberOfParticipants,int,,,,,,,,,Number of participants in this subcohort
Subcohorts,,inclusionStart,int,,,,,,,,,Year of first included participant
Subcohorts,,inclusionEnd,int,,,,,,,,,Year of last included participant. Leave empty if collection is ongoing
Subcohorts,,ageGroups,ontology_array,,,CatalogueOntologies,AgeGroups,,,,,Age groups within this subcohort
Subcohorts,,mainMedicalCondition,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Disease groups within this subcohort, based on ICD-10 classification"
Subcohorts,,comorbidity,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Comorbidity within this subcohort, based on ICD-10 classification"
Subcohorts,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,,Countries where data from this subcohort largely originate from
Subcohorts,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,,Geographical regions where data from this subcohort largely originate from
Subcohorts,,inclusionCriteria,text,,,,,,,,,Inclusion criteria applied to this subcohort
SubcohortCounts,,subcohort,ref,1,true,,Subcohorts,,,,,
SubcohortCounts,,ageGroup,ref,1,true,CatalogueOntologies,AgeGroups,,,,,
SubcohortCounts,,N total,int,,,,,,,,,
SubcohortCounts,,N female,int,,,,,,,,,
SubcohortCounts,,N male,int,,,,,,,,,
