resource,dataset,name,label,collection event.resource,collection event,since version,until version,is repeat of.dataset,is repeat of.name
PELAGIE,harmonized,int_eval_8,,,,1.0.0,,harmonized,int_eval_1
PELAGIE,harmonized,INT_EVAL_8,,,,1.0.0,,harmonized,int_eval_1
ATHLETE_CDM,outcome_ath,aggr_avg_5,,,,,,outcome_ath,aggr_avg_0
ATHLETE_CDM,outcome_ath,aggr_avg_6,,,,,,outcome_ath,aggr_avg_0
ATHLETE_CDM,outcome_ath,aggr_avg_7,,,,,,outcome_ath,aggr_avg_0
LifeCycle_CDM,outcome,int_eval_3,,,,1.0.0,,outcome,int_eval_0
PELAGIE,harmonized,int_eval_3,,,,1.0.0,,harmonized,int_eval_1
PELAGIE,harmonized,INT_EVAL_3,,,,1.0.0,,harmonized,int_eval_1
LifeCycle_CDM,outcome,int_eval_5,,,,1.0.0,,outcome,int_eval_0
PELAGIE,harmonized,int_eval_5,,,,1.0.0,,harmonized,int_eval_1
PELAGIE,harmonized,INT_EVAL_5,,,,1.0.0,,harmonized,int_eval_1
LifeCycle_CDM,outcome,int_eval_6,,,,1.0.0,,outcome,int_eval_0
PELAGIE,harmonized,int_eval_6,,,,1.0.0,,harmonized,int_eval_1
PELAGIE,harmonized,INT_EVAL_6,,,,1.0.0,,harmonized,int_eval_1
LifeCycle_CDM,outcome,int_eval_7,,,,1.0.0,,outcome,int_eval_0
PELAGIE,harmonized,int_eval_7,,,,1.0.0,,harmonized,int_eval_1
PELAGIE,harmonized,INT_EVAL_7,,,,1.0.0,,harmonized,int_eval_1
LifeCycle_CDM,outcome,int_eval_8,,,,1.0.0,,outcome,int_eval_0
LifeCycle_CDM,outcome,int_instr_1,,,,1.0.0,,outcome,int_instr_0
LifeCycle_CDM,outcome,int_instr_11,,,,1.0.0,,outcome,int_instr_0
PELAGIE,harmonized,INT_INSTR_11,,,,1.0.0,,harmonized,int_instr_1
LifeCycle_CDM,outcome,int_instr_12,,,,1.0.0,,outcome,int_instr_0
PELAGIE,harmonized,int_instr_12,,,,1.0.0,,harmonized,int_instr_1
PELAGIE,harmonized,INT_INSTR_12,,,,1.0.0,,harmonized,int_instr_1
LifeCycle_CDM,outcome,int_instr_13,,,,1.0.0,,outcome,int_instr_0
PELAGIE,harmonized,int_instr_13,,,,1.0.0,,harmonized,int_instr_1
PELAGIE,harmonized,INT_INSTR_13,,,,1.0.0,,harmonized,int_instr_1
LifeCycle_CDM,outcome,int_instr_14,,,,1.0.0,,outcome,int_instr_0
PELAGIE,harmonized,int_instr_14,,,,1.0.0,,harmonized,int_instr_1
PELAGIE,harmonized,INT_INSTR_14,,,,1.0.0,,harmonized,int_instr_1
LifeCycle_CDM,outcome,int_instr_2,,,,1.0.0,,outcome,int_instr_0
PELAGIE,harmonized,int_instr_2,,,,1.0.0,,harmonized,int_instr_1
PELAGIE,harmonized,INT_INSTR_2,,,,1.0.0,,harmonized,int_instr_1
LifeCycle_CDM,outcome,int_instr_3,,,,1.0.0,,outcome,int_instr_0
PELAGIE,harmonized,int_instr_3,,,,1.0.0,,harmonized,int_instr_1
PELAGIE,harmonized,INT_INSTR_3,,,,1.0.0,,harmonized,int_instr_1
LifeCycle_CDM,outcome,int_instr_5,,,,1.0.0,,outcome,int_instr_0
PELAGIE,harmonized,int_instr_5,,,,1.0.0,,harmonized,int_instr_1
PELAGIE,harmonized,INT_INSTR_5,,,,1.0.0,,harmonized,int_instr_1
LifeCycle_CDM,outcome,int_instr_6,,,,1.0.0,,outcome,int_instr_0
PELAGIE,harmonized,int_instr_6,,,,1.0.0,,harmonized,int_instr_1
PELAGIE,harmonized,INT_INSTR_6,,,,1.0.0,,harmonized,int_instr_1
LifeCycle_CDM,outcome,int_instr_7,,,,1.0.0,,outcome,int_instr_0
PELAGIE,harmonized,int_instr_7,,,,1.0.0,,harmonized,int_instr_1
PELAGIE,harmonized,INT_INSTR_7,,,,1.0.0,,harmonized,int_instr_1
LifeCycle_CDM,outcome,int_instr_8,,,,1.0.0,,outcome,int_instr_0
PELAGIE,harmonized,int_instr_8,,,,1.0.0,,harmonized,int_instr_1
PELAGIE,harmonized,INT_INSTR_8,,,,1.0.0,,harmonized,int_instr_1
LifeCycle_CDM,outcome,int_pc_1,,,,1.0.0,,outcome,int_pc_0
LifeCycle_CDM,outcome,int_pc_12,,,,1.0.0,,outcome,int_pc_0
LifeCycle_CDM,outcome,int_pc_13,,,,1.0.0,,outcome,int_pc_0
