mg_tableclass,name,description,ontologyTermURI,code
Diseases,None,,,
PartnerRoles,Beneficiary,,,
PartnerRoles,Linked party,,,
PartnerRoles,Linked third party,,,
PartnerRoles,name,,,
Countries,Australia,,,
Countries,Denmark,,,
Countries,Finland,,,
Countries,France,,,
Countries,Germany,,,
Countries,Greece,,,
Regions,Haute-Garonne,,,
Countries,Italy,,,
Countries,Malta,,,
Countries,Netherlands,,,
Countries,Norway,,,
Countries,Spain,,,
Countries,Sweden,,,
Regions,Tuscany,,,
Countries,United Kingdom,,,
ResourceTypes,biobank,,,
ResourceTypes,birth registry,A cohort study design for which the subjects are followed from the time of birth usually including information about gestation and follow up.,,
ResourceTypes,case-control,"A study that compares two groups of people: those with the disease or condition under study (cases) and a very similar group of people who do not have the disease or condition (controls). Researchers study the medical and lifestyle histories of the people in each group to learn what factors may be associated with the disease or condition. For example, one group may have been exposed to a particular substance that the other was not. Also called retrospective study.",,
ResourceTypes,cohort,,,
ResourceTypes,congenital anomaly registry,,,
ResourceTypes,cross-sectional,"A study in which participants are examined once for a characteristic, such as disease, at a single point in time.",,
ResourceTypes,death registry,,,
ResourceTypes,diagnostic tests or procedures reimbursement,,,
ResourceTypes,EFPIA,,,
ResourceTypes,emergency care discharge records,,,
ResourceTypes,exemptions from copayment,,,
ResourceTypes,H2020 project,,,
ResourceTypes,harmonisation,,,
ResourceTypes,hospital discharge records,,,
ResourceTypes,IMI,,,
ResourceTypes,induced terminations registry,,,
ResourceTypes,inhabitant registry,,,
ResourceTypes,outpatient visit records,,,
ResourceTypes,pharmacy dispensation records,,,
ResourceTypes,primary care medical records,,,
ResourceTypes,registration with healthcare system,,,
ResourceTypes,registry,,,
StatusDetails,complete,,,
StatusDetails,nza,,,
StatusDetails,partial,,,
SampleCategories,Blood,,,
SampleCategories,Urine,,,
DataCategories,Questionnaires,,,
DataCategories,Biosamples,,,
AreasOfInformation,Age/birthdate,,,
AreasOfInformation,Family and household structure,,,
CollectionTypes,Prospective,,,
