source,source dataset,source variables,source variables other datasets.dataset,source variables other datasets.name,target,target dataset,target variable,match,status,description,syntax,comments
PELAGIE,harmonized,ADHD_EVAL_11,,,LifeCycle_CDM,outcome,adhd_eval_11,complete,final,,eval=2;,
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,cholage_153,complete,final,,cholage_153=age_exam_jour;,
PELAGIE,harmonized,ADHD_EVAL_12,,,LifeCycle_CDM,outcome,adhd_eval_12,complete,final,,eval=2;,
PELAGIE,harmonized,ADHD_EVAL_13,,,LifeCycle_CDM,outcome,adhd_eval_13,complete,final,,eval=2;,
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,cholage_156,complete,final,,cholage_156=age_exam_jour;,
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,cholage_157,complete,final,,cholage_157=age_exam_jour;,
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,femur_length_sdsWHO_t3,partial,final,,RScript standardization fetal growth ATHLETE_v2.1,
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,weight_sdsWHO_t3,partial,final,,RScript standardization fetal growth ATHLETE_v2.1,
PELAGIE,harmonized,ADHD_EVAL_14,,,LifeCycle_CDM,outcome,adhd_eval_14,complete,final,,eval=2;,
PELAGIE,pelagie_q12,SCD_Q2,,,LifeCycle_CDM,core,height_169,complete,final,,/* too long to be provided and many case by case situations */,
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,biparietal_diam_sdsWHOEUR_t3,partial,final,,RScript standardization fetal growth ATHLETE_v2.1,
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,head_circum_sdsWHOEUR_t3,partial,final,,RScript standardization fetal growth ATHLETE_v2.1,
PELAGIE,harmonized,ATT_EVAL_5,,,ATHLETE_CDM,outcome_ath,att_eval_5,complete,final,,att_eval_5=4;,
NFBC1966,core,,,,LifeCycle_CDM,core,weight_who_ga,complete,final,,Syntax  was long (available when asked),
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,abd_circum_sdsWHOEUR_t3,partial,final,,RScript standardization fetal growth ATHLETE_v2.1,
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,femur_length_sdsWHOEUR_t3,partial,final,,RScript standardization fetal growth ATHLETE_v2.1,
AP,AP,,,,OOM_CDM,VISIT_OCCURRENCE,visit_occurrence_id,complete,,As specified above,,
Sepages,Ultrasound_all_SLC_20220428_893,,,,ATHLETE_CDM,outcome_ath,weight_sdsWHOEUR_t3,partial,final,,RScript standardization fetal growth ATHLETE_v2.1,
NFBC1966,core,,,,LifeCycle_CDM,core,death_child_age,complete,final,,,
NFBC1966,core,,,,LifeCycle_CDM,core,agebirth_m_y,complete,final,,,
NFBC1966,core,,,,LifeCycle_CDM,core,apgar,partial,final,Apgar-scores at the age of 15 minutes,,
NFBC1966,core,,,,LifeCycle_CDM,core,cohort_id,complete,final,New variable conducted based on  the cohort  (NFBC1966),,
NFBC1966,core,,,,LifeCycle_CDM,core,death_p_age,complete,final,Age of the child  at the time of the father's death (continuous in days)  (value 99999 means that child had died before father),,
NFBC1966,core,,,,LifeCycle_CDM,core,mental_exp3,complete,final,Register based diagnosed and child age when diagnos was received,Syntax was extremely long (available when asked),
NFBC1966,core,,,,LifeCycle_CDM,core,mother_id,complete,final,,,
NFBC1966,core,,,,LifeCycle_CDM,core,mental_exp6,complete,final,Register based diagnosed and child age when diagnos was received,Syntax was extremely long (available when asked),
NFBC1966,core,,,,LifeCycle_CDM,core,mental_exp5,complete,final,Register based diagnosed and child age when diagnos was received,Syntax was extremely long (available when asked),
PELAGIE,harmonized,EDU_F1_12,,,LifeCycle_CDM,core,edu_f1_fath12,partial,final,Biological father by default,if edu_f1_12 ne . then edu_f1_fath12=1;,Biological father by default
PELAGIE,harmonized,EDU_F1_13,,,LifeCycle_CDM,core,edu_f1_fath13,partial,final,Biological father by default,if edu_f1_13 ne . then edu_f1_fath13=1;,Biological father by default
PELAGIE,harmonized,EDU_F1_14,,,LifeCycle_CDM,core,edu_f1_fath14,partial,final,Biological father by default,if edu_f1_14 ne . then edu_f1_fath14=1;,Biological father by default
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,cholage_158,complete,final,,cholage_158=age_exam_jour;,
PELAGIE,harmonized,OCCUP_F1_7,,,LifeCycle_CDM,core,occup_f1_fath7,partial,final,Biological father by default,if  occup_f1_7 ne . then occup_f1_fath7=1;,Biological father by default
Sepages,bdd_grossesse_v5_1,"date_inclusion,po_datedel",,,LifeCycle_CDM,core,recruit_age,complete,final,,recruit_age=date_inclusion-po_datedel;,
