name,description,ontologyTermURI,code
biobank,,,
birth registry,A cohort study design for which the subjects are followed from the time of birth usually including information about gestation and follow up.,,
case-control,"A study that compares two groups of people: those with the disease or condition under study (cases) and a very similar group of people who do not have the disease or condition (controls). Researchers study the medical and lifestyle histories of the people in each group to learn what factors may be associated with the disease or condition. For example, one group may have been exposed to a particular substance that the other was not. Also called retrospective study.",,
cohort,,,
congenital anomaly registry,,,
cross-sectional,"A study in which participants are examined once for a characteristic, such as disease, at a single point in time.",,
death registry,,,
diagnostic tests or procedures reimbursement,,,
EFPIA,,,
emergency care discharge records,,,
exemptions from copayment,,,
H2020 project,,,
harmonisation,,,
hospital discharge records,,,
IMI,,,
induced terminations registry,,,
inhabitant registry,,,
outpatient visit records,,,
pharmacy dispensation records,,,
primary care medical records,,,
registration with healthcare system,,,
registry,,,
