resource,dataset,name,collection event,topics,label,format,unit,mandatory,description,example values,notes
BIB,baseline,ageAtBaseline,,Recruitment age,,,,,,,,
BIB,baseline,smokingAtBaseline,,Passive smoking,,,,,,,,
BIB,baseline,glucose,,Maternal diabetes,,,,,,,,
BIB,baseline,pregnant,,Maternal diabetes,,,,,,,,
ALSPAC,followup1,age,,Recruitment age,,,,,,,,
ALSPAC,followup1,smoking,,Passive smoking,,,,,,,,
ALSPAC,followup1,hasDiabetes,,Maternal diabetes,,,,,,,,
ALSPAC,core,a006,,,Home ownership status,categorical,unit,,Maternal report of current housing tenure status,,,
ALSPAC,core,a008,,,Dwelling type,categorical,unit,,Maternal report of current dwelling type,,,
ALSPAC,core,a043,,,NO of living rooms EXCL kitchen,continuous,unit,,Maternal report of number of rooms in the house excluding the kitchen,,,
ALSPAC,core,a061,,,Any pets,categorical,,,Maternal report of whether she has any pets,,,
ALSPAC,core,a062,,,Number of cats in houshold,continuous,,,Number of cats in houshold,,,
ALSPAC,core,a063,,,Number of dogs in houshold,continuous,,,Number of dogs in houshold,,,
ALSPAC,core,a064,,,Number of rabits in houshold,continuous,,,Number of rabits in houshold,,,
ALSPAC,core,a065,,,Number of rodents in houshold,continuous,,,Number of rodents in houshold,,,
ALSPAC,core,a500,,,NO of O 18s in household,continuous,unit,,Maternal report of number of people over 18 living in the household,,,
ALSPAC,core,a501,,,NO of 16 to 18s in household,continuous,unit,,Maternal report of number of people aged 16 to 18 living in the household,,,
ALSPAC,core,a502,,,NO of 0 to 15s in household,continuous,unit,,Maternal report of number of people aged 0 to 15 living in the household,,,
ALSPAC,core,a522,,,PTNR lives with mum,binary,,,Maternal report of whether partner lives with mother,,,
ALSPAC,core,a525,,,PRES marital status,categorical,,,Maternal report of current marital status,,,
ALSPAC,core,a902,,,Gestation on completion of questionnaire,continuous,week,,"Gestation on completion of questionnaire, calculated using the mother’s report on enrolment of her last menstrual period",,,
ALSPAC,core,abs_wtgain_meas,,,Absolute weight gain from last minus first weight measurement,continuous,kg,,Absolute weight gain from last minus first weight measurement,,,
ALSPAC,core,abs_wtgain_pred,,,Absolute weight gain: predicted weight at delivery minus predicted weight at 0 w,continuous,kg,,Absolute weight gain from spline model predictions based on repeated measure data throughout pregnancy,,,
ALSPAC,core,adiponectin_cord,,,"Adiponectin µg/ml, cord",continuous,microgram_per_milli_liter,,Adiponectin from cord,,,
ALSPAC,core,Adiponectin_f9,,,"Adiponectinng/ml, Focus@9",continuous,ng/ml,,Adiponectin,,,
ALSPAC,core,Adiponectin_TF3,,,"Adiponectin (total) ng/ml, TF3",continuous,ng/ml,,Adiponectin,,,
ALSPAC,core,aln,,,pregnancy identifier,integer,,,Pregnancy ID,,,
ALSPAC,core,b005,,,NO of living CH,continuous,,,"How many children still living, of your own do you have?",,,
ALSPAC,core,b014,,,NO of CH born alive but died later,continuous,,,How many babies have you had who were born alive but died later?,,,
ALSPAC,core,b032,,,Parity,continuous,,,The number of previous pregnancies resulting in either a livebirth or a stillbirth.,,,
ALSPAC,core,b143,,,Taking folic acid during this PREG,binary,,,During this pregnancy have you been taking folic acid/folate?,,,
ALSPAC,core,b300,,,This PREG intentional,binary,,,Were you deliberately trying to get pregnant this time?,,,
ALSPAC,core,b669,,,NO smoked per day just PRE PREG,categorical,,,How many times per day did you smoke just before you became pregnant (per day)?,,,
ALSPAC,core,b670,,,NO smoked per day in 1ST 3MTHS of PREG,categorical,,,How many times per day did you smoke in the first 3 months of your pregnancy (per day)?,,,
ALSPAC,core,b671,,,NO smoked per day in last 2WKS,categorical,,,How many times per day did you smoke in the last 2 weeks (per day)?,,,
ALSPAC,core,b720,,,Alcohol consumption before this PREG,categorical,,,How often have you drunk alcoholic drinks before this pregnancy?,,,
ALSPAC,core,b721,,,Alcohol consumption in 1-3MTHS this PREG,categorical,,,How often have you drunk alcoholic drinks in 1st 3 months of this pregnancy?,,,
ALSPAC,core,b_soc90_m,,,B: Standard Occupation Classification 1990 (mother),categorical,unit,,Maternal occupation status using SOC90 classification based on maternal self-report,,,
ALSPAC,core,c110,,,Taken iron in last 3MTHS,categorical,,,Taken iron in last 3MTHS,,,
