id,name,homepage,country,type,description
UiO,University of Oslo,https://www.uio.no/,Norway,Academic institution,
AU,University of Aarhus,,Denmark,Academic institution,
UoD,University of Dundee,,United Kingdom of Great Britain and Northern Ireland (the),Academic institution,
ULST,University of Ulster,,United Kingdom of Great Britain and Northern Ireland (the),Academic institution,
CHUT,Centre Hospitalier Universitaire de Toulouse,,France,Academic institution,
UMCG,University Medical Center Groningen,http://www.umcg.nl,Netherlands (the),Academic institution,The University Medical Center Groningen (UMCG) is one of 8 university medical centers in the Netherlands.
PHARMO,The PHARMO institute,,Netherlands (the),Research centre,
ERASMUS,Erasmus MC,,Netherlands (the),Academic institution,
UOB,University of Bristol,,United Kingdom of Great Britain and Northern Ireland (the),Academic institution,
UMCU,UMC Utrecht,,Netherlands (the),Academic institution,
UOULU,University of Oulu,,Finland,Academic institution,
ISGLOBAL,Barcelona Institute for Global Health,,Spain,Research centre,
ICL,Imperial College London,,United Kingdom of Great Britain and Northern Ireland (the),Academic institution,
BETA,Beta Technologies,,United Kingdom of Great Britain and Northern Ireland (the),"SME,small or medium enterprise",
UEF,University of Eastern Finland,,Finland,Academic institution,
CHALMERS,Chalmers University of Technology ,,Sweden,Academic institution,
INSERM,National Institute of Medical Research ,,France,Research centre,
UCL,University College London ,,United Kingdom of Great Britain and Northern Ireland (the),Academic institution,
UU,University of Utrecht ,,Netherlands (the),Academic institution,
SURREY,University of Surrey ,,United Kingdom of Great Britain and Northern Ireland (the),Academic institution,
AMC,Amsterdam Medical Center ,,Netherlands (the),Academic institution,
UPF,University Pompeu Fabra ,,Spain,Academic institution,
ABAC,Ab-acus ,,Italy,"SME,small or medium enterprise",
CYN,Cynexo ,,Italy,"SME,small or medium enterprise",
CEIS,University of Rome ,,Italy,Academic institution,
UB,University of Bordeaux,,France,Academic institution,
LIPRE,Leibniz Institute for Prevention Research and Epidemiology,,Germany,Research centre,
FISABIO,Fundación para el Fomento de la Investigación Sanitaria y Biomédica de la Comunitat Valenciana,,Spain,Research centre,
IDIAPJGol,Institut de Recerca en Atenció Primària Jordi Gol,,Spain,Research centre,
FERR,Università degli Studi di Ferrara – University of Ferrara,,Italy,Academic institution,
CNR-IFC,"CNR Tuscany, Italy Florence research aray",,Italy,Research centre,
ARS,Agenzia regionale di sanità della Toscana,,Italy,Research centre,
UM,University of Messina,,Italy,Academic institution,
MLT,"Malta Congenital Anomalies Registry, Directorate for Health Information and Research",,Malta,Research centre,
AMF,Malformation Monitoring Centre Saxony-Anhalt Medical Faculty,,Germany,Academic institution,
THL,Finnish Institute for Health and Welfare,,Finland,Research centre,
USWAN,University of Swansea,,United Kingdom of Great Britain and Northern Ireland (the),Academic institution,
GSK,GlaxoSmithKline,,United Kingdom of Great Britain and Northern Ireland (the),Pharmaceutical industry,
BRI,Bradford Royal Infirmary,,United Kingdom of Great Britain and Northern Ireland (the),Academic institution,
UBAC,University of Barcelona,,Spain,Academic institution,
UNITOV,TOR VERGETA University of Rome,,Italy,Academic institution,
UCPH,University of Copenhagen,,Denmark,Academic institution,
NIPH,Norwegian Institute of Public Health,,Norway,Research centre,
UNITO,University of Turin,,Italy,Academic institution,
SOTON,University of Southampton,,United Kingdom of Great Britain and Northern Ireland (the),Academic institution,
UWA,University of Western Australia,,Australia,Academic institution,
UOC,University of Crete,,Greece,Academic institution,
LMU,University of Munich,,,,
