tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,visible
Version,,,,,,,,,,,,4.0,
Collections,,,,,,,,,,,dcat:Resource,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies",
Collections,,overview,heading,,,,,,,,,General information,
Collections,,id,,1,true,,,,,,dcterms:identifier,Internal identifier,
Collections,,pid,,2,,,,,,,dcterms:identifier,Persistent identifier,
Collections,,acronym,,,,,,,,,dcterms:identifier,Acronym if applicable,
Collections,,name,text,3,true,,,,,,"dcterms:title,foaf:name",Name used in European projects,
Collections,,collection type,ontology,,,CatalogueOntologies,Collection types,,,,,,
Collections,,local name,,,,,,,,,rdfs:label,"If different from above, name in the national language","['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,keywords,text,,,,,,,,dcat:keyword,Keywords to increase findability of this resource. Try to use words that are not used in the description,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,website,hyperlink,,,,,,,,dcat:landingPage,Link to the website or homepage,
Collections,,lead organisation,ref_array,,,SharedStaging,Organisations,,,,,lead organisation (e.g. research department or group) for this resource,"['Cohort', 'Databank', 'Data source', 'Model', 'Network', 'Study'].includes(collectionType?.name)"
Collections,,additional organisations,ref_array,,,SharedStaging,Organisations,,,,,List the names of any additional organisations that contributed to the resource,"['Cohort', 'Databank', 'Data source', 'Model', 'Network', 'Study'].includes(collectionType?.name)"
Collections,,description,text,,,,,,,,dcterms:description,Short description,
Collections,,contact email,,,,,,,,,dcat:contactPoint,Contact e-mail address for this cohort,['Cohort'].includes(collectionType?.name)
Collections,,cohort type,ontology_array,,,CatalogueOntologies,Resource types,,,,dcterms:type,"Type of resource, e.g. registry, cohort, biobank",['Cohort'].includes(collectionType?.name)
Collections,,cohort type other,,,,,,,,,,"If other, describe the type of resource",['Cohort'].includes(collectionType?.name)
Collections,,design,ontology,,,CatalogueOntologies,Cohort designs,,,,,"The study design of this cohort, i.e. cross-sectional or longitudinal",['Cohort'].includes(collectionType?.name)
Collections,,design description,text,,,,,,,,,Short description of the study design of this cohort,['Cohort'].includes(collectionType?.name)
Collections,,design schematic,file,,,,,,,,,A schematic depiction of the study design of this cohort,['Cohort'].includes(collectionType?.name)
Collections,,cohort collection type,ontology_array,,,CatalogueOntologies,Cohort collection types,,,,,"The data collection type of this cohort, i.e. retrospective or prospective; if both, select both",['Cohort'].includes(collectionType?.name)
Collections,,logo,file,,,,,,,,,"Logo of the resource, for use on homepages etc.","['Cohort', 'Databank', 'Data source', 'Model', 'Network', 'Study'].includes(collectionType?.name)"
Collections,,population,heading,,,,,,,,,Description of the population that can potentially be captured in the resource,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,number of participants,int,,,,,,,,,Total number of individuals for which data is collected,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,number of participants with samples,int,,,,,,,,,Number of individuals for which samples are collected,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,countries,ontology_array,,,CatalogueOntologies,Countries,,,,dcterms:spatial,Countries where data from this resource largely originate from,"['Cohort', 'Databank', 'Data source', 'Model', 'Network', 'Study'].includes(collectionType?.name)"
Collections,,regions,ontology_array,,,CatalogueOntologies,Regions,,,,dcterms:spatial,Geographical regions where data from this resource largely originate from,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population age groups,ontology_array,,,CatalogueOntologies,Age groups,,,,,Which population age groups are captured in this resource? Select all that are relevant.,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,inclusion criteria,ontology_array,,,CatalogueOntologies,Inclusion criteria,,,,,Inclusion criteria applied to the participants of this resource,['Cohort'].includes(collectionType?.name)
Collections,,other inclusion criteria,text,,,,,,,,,Other inclusion criteria applied to the participants of this resource,['Cohort'].includes(collectionType?.name)
Collections,,start year,int,,,,,,,,,Year when first data was collected,['Cohort'].includes(collectionType?.name)
Collections,,end year,int,,,,,,,,,Year when last data was collected. Leave empty if collection is ongoing,['Cohort'].includes(collectionType?.name)
Collections,,population disease,ontology_array,,,CatalogueOntologies,Diseases,,,,,"Does the resource collect information on a specific disease subpopulation (e.g., as in a disease-specific registry)?","['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population oncology topology,ontology_array,,,CatalogueOntologies,ICDO topologies,,,,,"Does the resource collect information on specific cancer subtype(s)? If yes, select topology specifications.","['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,population oncology morphology,ontology_array,,,CatalogueOntologies,ICDO morphologies,,,,,"Does the resource collect information on specific cancer subtype(s)? If yes, select morphology specifications.","['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,contents,heading,,,,,,,,,Data model and contents,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,prelinked,bool,,,,,,,,,Is the data from this data source linked to other data sources?,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,linkage possibility description,text,,,,,,,,,Can the data from this data source be linked to other data sources?,"['Cohort', 'Databank', 'Data source'].includes(collectionType?.name)"
Collections,,release type,ontology,,,CatalogueOntologies,Release types,,,,,Select whether this resource is a closed dataset or whether new data is released continuously or at a termly basis,['Cohort'].includes(collectionType?.name)
