tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,label
Collections,,,,,,,,,,,dcat:Resource,Collections of multiple data banks covering the same population,Data sources
Collections,,overview,heading,,,,,,,,,General information,
Collections,,id,,1,true,,,,,,dcterms:identifier,Internal identifier,
Collections,,pid,,2,,,,,,,dcterms:identifier,Persistent identifier,
Collections,,acronym,,,,,,,,,dcterms:identifier,Acronym if applicable,
Collections,,name,text,3,true,,,,,,"dcterms:title,foaf:name",Name used in European projects,
Collections,,website,hyperlink,,,,,,,,dcat:landingPage,Link to the website or homepage,
Collections,,description,text,,,,,,,,dcterms:description,Short description,
Collections,,contacts,refback,,,,Contacts,,resource,,dcat:contactPoint,Contact person(s),
Contacts,,,,,,,,,,,vcard:Individual,Listing of contact persons per resource,
Contacts,,resource,ref,1,true,,Collections,,,,,Resource the contact is affiliated with,
Contacts,,role,ontology_array,,,CatalogueOntologies,Contribution types,,,,vcard:hasRole,Type(s) of contribution or role in the resource,
Contacts,,role description,text,,,,,,,,,Description of the role,
Contacts,,first name,,1,true,,,,,,,First name of the contact person,
Contacts,,last name,,1,true,,,,,,,Last name of the contact person,
Contacts,,prefix,,,,,,,,,,"Surname prefix, if applicable",
Contacts,,initials,,,,,,,,,,Initials of the contact person,
Contacts,,title,ontology,,,CatalogueOntologies,Titles,,,,,Title of the contact person,
Contacts,,organisation,ref,,,,Organisations,,,,,Affiliated organisation of the contact person,
Contacts,,organisation,ref,,,SharedStaging,Organisations,,,,,Affiliated organisation of the contact person,
Contacts,,email,,,,,,,,,vcard:hasEmail,Contact's email address,
Contacts,,orcid,,,,,,,,,,Orcid of the contact person,
Contacts,,homepage,,,,,,,,,,Link to contact's homepage,
Contacts,,photo,file,,,,,,,,,Contact's photograph,
Contacts,,expertise,,,,,,,,,,Description of contact's expertise,
