tableName,tableExtends,columnName,columnType,key,required,refSchema,refTable,refLink,refBack,validation,semantics,description,label
Collections,,,,,,,,,,,dcat:Resource,"Generic listing of all resources. Should not be used directly, instead use specific types such as Databanks and Studies",
Collections,,overview,heading,,,,,,,,,General information,
Collections,,id,,1,true,,,,,,dcterms:identifier,Internal identifier,
Collections,,pid,,2,,,,,,,dcterms:identifier,Persistent identifier,
Collections,,acronym,,,,,,,,,dcterms:identifier,Acronym if applicable,
Collections,,name,text,3,true,,,,,,"dcterms:title,foaf:name",Name used in European projects,
Collections,,type,ontology_array,,,CatalogueOntologies,Datasource types,,,,dcterms:type,Which of the following families of databanks best describe this data source,
Collections,,type other,text,,,,,,,,,"If other, describe the type of datasource",
Collections,,website,hyperlink,,,,,,,,dcat:landingPage,Link to the website or homepage,
Collections,,description,text,,,,,,,,dcterms:description,Short description,
Collections,,data collection description,text,,,,,,,,,Describe the process of collection and recording of data.,
Collections,,date established,date,,,,,,,,,"Date when the data source was first established. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",
Collections,,start data collection,date,,,,,,,,dcat:startDate,"The date when data started to be collected or extracted. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",
Collections,,end data collection,date,,,,,,,,dcat:endDate,"If data collection in the data source has ceased, on what date did new records last enter the data source?. If the exact day of the month is not known, please enter 15. If the exact month is not known then please enter 15/06",
Collections,,time span description,text,,,,,,,,,Description of time span,
Collections,,contacts,refback,,,,Contacts,,resource,,dcat:contactPoint,Contact person(s),
Collections,,population entry,ontology_array,,,CatalogueOntologies,Population entry,,,,,Select the possible causes / events that trigger the registration of a person in the data source,
Collections,,population entry other,text,,,,,,,,,"If other, specify the causes of entry to the underlying population",
Collections,,population exit,ontology_array,,,CatalogueOntologies,Population exit,,,,,Select the possible causes / events that trigger the de-registration of a person in the data source,
Collections,,population exit other,text,,,,,,,,,"If other, specify the causes of exit from the underlying population",
Collections,,population coverage,text,,,,,,,,,Estimated percentage of the population covered by the data source in the catchment area. Please describe the denominator.,
Collections,,population not covered,text,,,,,,,,,"Description of the population covered by the data source in the catchment area whose data are not collected, where applicable (e.g.: people who are registered only for private care) ",
Collections,,quantantitative information,refback,,,,Quantitative information,,resource,,,Numerical summaries describing data bank population,
Collections,,mappings to data models,refback,,,,Dataset mappings,,source,,,overview of dataset mappings available,
Collections,,areas of information,ontology_array,,,CatalogueOntologies,Areas of information ds,,,,,Areas of information that were collected,
Collections,,quality of life other,text,,,,,,,,,"If other, specify additional quality of life measures",
Collections,,cause of death code other,text,,,,,,,,,"If 'other,' what cause of death vocabulary is used?",
Collections,,indication vocabulary other,text,,,,,,,,,"If 'other,' what indication for use vocabulary is used?",
Collections,,genetic data vocabulary other,text,,,,,,,,,"If 'other,' what genetic data vocabulary is used?",
Collections,,care setting other,text,,,,,,,,,"If 'other,' description of the setting of care",
Collections,,medicinal product vocabulary other,text,,,,,,,,,"If 'other,' description of the medicinal product vocabulary",
Collections,,prescriptions vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",
Collections,,dispensings vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",
Collections,,procedures vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",
Collections,,biomarker data vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",
Collections,,diagnosis medical event vocabulary other,text,,,,,,,,,"If 'other,' what vocabulary is used?",
Collections,,disease details,ontology_array,,,CatalogueOntologies,MedDRA,,,,,"If data on a specific disease is collected, which diseases does the data source collect information on",
Collections,,disease details other,text,,,,,,,,,Specify disease details if not present in MedDRA,
Collections,,biospecimen collected,ontology_array,,,CatalogueOntologies,Biospecimens,,,,,"If the data bank contains biospecimens, what types of specimen",
Collections,,languages,ontology_array,,,CatalogueOntologies,Languages,,,,,"Languages in which that the records are recorded (in ISO 639, https://en.wikipedia.org/wiki/List_of_ISO_639-1_codes)",
Collections,,record trigger,text,,,,,,,,,"What triggers the creation of a record in the data bank? e.g., hospital discharge, specialist encounter, dispensation of a medicinal product, recording of a congenital anomaly",
Collections,,linkage,heading,,,,,,,,,Data linkage,
