name,code,order,definition,comments,parent,ontologyTermURI
Socio-demographic and economic characteristics,Sociodemographic_economic_characteristics,1,,,,
Age/birthdate,Age,2,,,Socio-demographic and economic characteristics,
Sex/gender,Sex,3,,,Socio-demographic and economic characteristics,
Twin,Twin,4,,,Socio-demographic and economic characteristics,
Marital/partner status,Marital_status,5,,,Socio-demographic and economic characteristics,
Family and household structure,Family_hh_struct,6,,,Socio-demographic and economic characteristics,
Education,Education,7,,,Socio-demographic and economic characteristics,
Residence,Residence,8,,,Socio-demographic and economic characteristics,
Birthplace,Birth_place,9,,,Socio-demographic and economic characteristics,
Citizenship and immigrant status,Citizenship,10,,,Socio-demographic and economic characteristics,
"Ethnicity, race and religion",Ethnic_race_religion,11,,,Socio-demographic and economic characteristics,
Language,Language,12,,,Socio-demographic and economic characteristics,
Labour force and retirement,Labour_retirement,13,,,Socio-demographic and economic characteristics,
"Income, possessions, and benefits",Income,14,,,Socio-demographic and economic characteristics,
Other socio-demographic and economic characteristics,Other_sociodemogr_chars,15,,,Socio-demographic and economic characteristics,
Lifestyle and behaviours,Lifestyle_behaviours,16,,,,
Tobacco,Tobacco,17,,,Lifestyle and behaviours,
Alcohol,Alcohol,18,,,Lifestyle and behaviours,
Drugs,Drugs,19,,,Lifestyle and behaviours,
Nutrition,Nutrition,20,,,Lifestyle and behaviours,
Breastfeeding,Breastfeeding,21,,,Lifestyle and behaviours,
Physical activity,Phys_act,22,,,Lifestyle and behaviours,
Transportation,Transportation,23,,,Lifestyle and behaviours,
Personal hygiene,Pers_hygiene,24,,,Lifestyle and behaviours,
Sleep,Sleep,25,,,Lifestyle and behaviours,
Sexual behaviours and orientation,Sex_behav,26,,,Lifestyle and behaviours,
Leisure activities,Leisure_act,27,,,Lifestyle and behaviours,
Technological devices,Tech_devices,28,,,Lifestyle and behaviours,
Misbehaviour and criminality,Misbehav_crim,29,,,Lifestyle and behaviours,
