order,name,label,parent,codesystem,code,ontologyTermURI,definition
1,bladder,Bladder,,,,,
2,dental,Dental,,,,,
3,ears,Ears,,,,,
4,esophagus,Esophagus,,,,,
5,eyes,Eyes,,,,,
6,gastrointestinal,Gastrointestinal,,,,,
7,genital,Genital,,,,,
8,gynaecological,Gynaecological,,,,,
9,heart,Heart,,,,,
10,intestine,Intestine,,,,,
11,kidney,Kidney,,,,,
12,larynx,Larynx,,,,,
13,lower airways,Lower airways,,,,,
14,lung,Lung,,,,,
15,neurological,Neurological,,,,,
16,osteoarthritis,Osteoarthritis,,,,,
17,osteoarticular,Osteoarticular,,,,,
18,pharynx,Pharynx,,,,,
19,psychology,Psychology,,,,,
20,psychiatry,Psychiatry,,,,,
21,trachea,Trachea,,,,,
22,urology,Urology,,,,,
