order,name,label,parent,codesystem,code,ontologyTermURI,definition
1,hp_0000958,Skin xerosis,,,,,
2,hp_0001009,Telangiectasia,,,,,
3,hp_0001029,Poikiloderma,,,,,
4,hp_0002671,Basocellular carcinoma,,,,,
5,hp_0002860,Squamous cell carcinoma,,,,,
6,hp_0002861,Melanoma,,,,,
7,hp_0004334,Skin atrophy,,,,,
8,hp_0007441,Hypopigmented macules,,,,,
9,hp_0010798,Lentigo,,,,,
10,hp_0025127,Actinic keratosis,,,,,
11,hp_0100678,Wrinkles,,,,,
12,otherCancer,Other types of cancers,,,,,
13,reducedSkin,Reduced skin elasticity,,,,,
14,skinCancer,Skin cancers,,,,,
15,solarElastosis,Solar elastosis,,,,,
