order,name,label,parent,codesystem,code,ontologyTermURI,definition
,Assistive products and technology for the practice of religion or spirituality,e1451. Assistive products and technology for the practice of religion or spirituality,,ICF,e1451,http://who.int/icf#e1451,Assistive products and technology for the practice of religion or spirituality
,General products and technology for the practice of religion or spirituality,e1450. General products and technology for the practice of religion or spirituality,,ICF,e1450,http://who.int/icf#e1450,General products and technology for the practice of religion or spirituality
,Changing and maintaining body position  other specified and unspecified,"d429. Changing and maintaining body position, other specified and unspecified",,ICF,d429,http://who.int/icf#d429,"Changing and maintaining body position, other specified and unspecified"
,Digestive functions  other specified,"b5158. Digestive functions, other specified",,ICF,b5158,http://who.int/icf#b5158,"Digestive functions, other specified"
,Digestive functions  unspecified,"b5159. Digestive functions, unspecified",,ICF,b5159,http://who.int/icf#b5159,"Digestive functions, unspecified"
,Caring for household objects and assisting others  other specified and unspecified,"d669. Caring for household objects and assisting others, other specified and unspecified",,ICF,d669,http://who.int/icf#d669,"Caring for household objects and assisting others, other specified and unspecified"
,Products and technology for the practice of religion or spirituality  unspecified,"e1459. Products and technology for the practice of religion or spirituality, unspecified",,ICF,e1459,http://who.int/icf#e1459,"Products and technology for the practice of religion or spirituality, unspecified"
,Products and technology for the practice of religion or spirituality  other specified,"e1458. Products and technology for the practice of religion or spirituality, other specified",,ICF,e1458,http://who.int/icf#e1458,"Products and technology for the practice of religion or spirituality, other specified"
,Hearing and vestibular functions  other specified and unspecified,"b249. Hearing and vestibular functions, other specified and unspecified",,ICF,b249,http://who.int/icf#b249,"Hearing and vestibular functions, other specified and unspecified"
,Transport of food through stomach and intestines,b5150. Transport of food through stomach and intestines,,ICF,b5150,http://who.int/icf#b5150,Transport of food through stomach and intestines
,Breakdown of food,b5151. Breakdown of food,,ICF,b5151,http://who.int/icf#b5151,Breakdown of food
,Assisting others,d660. Assisting others,,ICF,d660,http://who.int/icf#d660,Assisting others
,Absorption of nutrients,b5152. Absorption of nutrients,,ICF,b5152,http://who.int/icf#b5152,Absorption of nutrients
,Tolerance to food,b5153. Tolerance to food,,ICF,b5153,http://who.int/icf#b5153,Tolerance to food
,Transferring oneself,d420. Transferring oneself,,ICF,d420,http://who.int/icf#d420,Transferring oneself
,Sensations associated with hearing and vestibular function,b240. Sensations associated with hearing and vestibular function,,ICF,b240,http://who.int/icf#b240,Sensations associated with hearing and vestibular function
,Experience of time,b1802. Experience of time,,ICF,b1802,http://who.int/icf#b1802,Experience of time
,Experience of self,b1800. Experience of self,,ICF,b1800,http://who.int/icf#b1800,Experience of self
,unk,Unknown,,,,,
,Body image,b1801. Body image,,ICF,b1801,http://who.int/icf#b1801,Body image
,Experience of self and time functions  other specified,"b1808. Experience of self and time functions, other specified",,ICF,b1808,http://who.int/icf#b1808,"Experience of self and time functions, other specified"
,Sound detection,b2300. Sound detection,,ICF,b2300,http://who.int/icf#b2300,Sound detection
,Experience of self and time functions  unspecified,"b1809. Experience of self and time functions, unspecified",,ICF,b1809,http://who.int/icf#b1809,"Experience of self and time functions, unspecified"
,Functions of the cardiovascular  haematological  immunological and respiratory systems  unspecified,"b499. Functions of the cardiovascular, haematological, immunological and respiratory systems, unspecified",,ICF,b499,http://who.int/icf#b499,"Functions of the cardiovascular, haematological, immunological and respiratory systems, unspecified"
,Functions of the cardiovascular  haematological  immunological and respiratory systems  other specified,"b498. Functions of the cardiovascular, haematological, immunological and respiratory systems, other specified",,ICF,b498,http://who.int/icf#b498,"Functions of the cardiovascular, haematological, immunological and respiratory systems, other specified"
,Smell function,b255. Smell function,,ICF,b255,http://who.int/icf#b255,Smell function
,Mobility of joint functions  other specified,"b7108. Mobility of joint functions, other specified",,ICF,b7108,http://who.int/icf#b7108,"Mobility of joint functions, other specified"
,Mobility of joint functions  unspecified,"b7109. Mobility of joint functions, unspecified",,ICF,b7109,http://who.int/icf#b7109,"Mobility of joint functions, unspecified"
