directory_table,directory_id,directory_name,catalogue_table,catalogue_id,mapping_rule,disposition,flag_reason,from_UMCG,notes,data_quality_error,data_quality_reason,collections_fold_review,name_coherence,part_of_possible_facts_fold
Biobanks,bbmri-eric:ID:EXT_168562,National Laboratory for the Genetics of Israeli Populations,Collections,bbmri-eric:ID:EXT_168562:collection:MainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:EXT_168694,NEUROMUSCULAR TISSUE BANK UNIVERSITY OF LJUBLJANA,Collections,bbmri-eric:ID:EXT_168694:collection:MainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:EXT_ACU,Acibadem University Biobank,Collections,bbmri-eric:ID:EXT_ACU:collection:covid19,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:EXT_PCRC,Post Covid Recovery Clinic Biobank,Collections,bbmri-eric:ID:EXT_PCRC:collection:covid19,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:EXT_168144,MRC Centre for Neuromuscular Diseases BioBank London,Collections,bbmri-eric:ID:EXT_168144:collection:MainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:EXT_BB-iMM,Biobanco-iMM CAML,Biobanks,bbmri-eric:ID:EXT_BB-iMM,biobank 2+coll -> Biobanks holding 2,auto,,False,part of legal entity 'Instituto de Medicina Molecular',False,,mixed,1.0,
Biobanks,bbmri-eric:ID:EXT_VTB,Vinmec Tissue Bank,Collections,bbmri-eric:ID:EXT_VTB:collection:COVID19PROSPECTIVE,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:EXT_168284,Muscle Tissue Culture Collection,Collections,bbmri-eric:ID:EXT_168284:collection:MainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:EXT_NASBIO,"Biobank, Institute for Regenerative Medicine, Sechenov First Moscow State Medical University (Sechenov University)",Collections,bbmri-eric:ID:EXT_NASBIO:collection:COVID19PROSPECTIVE,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:EXT_SCBBC,Scripps Clinic Bio-Repository & Bio-Informatics Core,Collections,bbmri-eric:ID:EXT_SCBBC:collection:covid9,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,True,[SuspiciousContent] description: suspiciously short (<3 words): 'Hospital Integrated',,,
Biobanks,bbmri-eric:ID:EXT_iSpec,iSpecimen,Collections,bbmri-eric:ID:EXT_iSpec:collection:COVID19PROSPECTIVE,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00050,CRB institutionnel Centre Leon Berard,Collections,bbmri-eric:ID:FR_BB-0033-00050:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:EXT_POB,Precision Ocular Biobank,Collections,bbmri-eric:ID:EXT_POB:collection:COVID19PROSPECTIVE,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
Biobanks,bbmri-eric:ID:EXT_QBB,Qatar Biobank,Biobanks,bbmri-eric:ID:EXT_QBB,biobank 1:1 real-org -> Biobanks holding 1 (has quality/services),needs_curation,is-it-a-real-org? (1:1 triage),False,part of legal entity 'Hamad Medical City',False,,,,
Biobanks,bbmri-eric:ID:FR_BB-0033-00010,Banque ADN et de cellules - Genethon,Collections,bbmri-eric:ID:FR_BB-0033-00010:collection:mainCollection,biobank 1:1 attribute-poor -> collapsed into Collection (no Biobanks row),needs_curation,is-it-a-real-org? (1:1 triage),False,,False,,,,
