name,label,order,definition,parent,ontologyTermURI
Unique identifier,,1,Is there a unique identifier for a person in the data source?,,
Geographic regions,,2,Are data on geographic region available?,,
Family linkage,,3,Is any linkage available in the data bank between any of the following persons?,,
Family linkage routinely,,4,Is familial linkage created routinely?,Family linkage,
Family linkage permanently,,5,Is familial linkage created permanently?,Family linkage,
Family linkage ad-hoc,,6,Can familial linkage can linkage be performed on an ad-hoc basis?,Family linkage,
Sibling,,7,,Family linkage permanently,https://spor.ema.europa.eu/rmswi/#/lists/200000029937/terms/200000029945
Household,,8,,Family linkage permanently,https://spor.ema.europa.eu/rmswi/#/lists/200000029937/terms/200000029974
Mother-child,,9,,Family linkage permanently,https://spor.ema.europa.eu/rmswi/#/lists/200000029937/terms/200000029975
Father-child,,10,,Family linkage permanently,https://spor.ema.europa.eu/rmswi/#/lists/200000029937/terms/200000029976
Sociodemographics,,11,Which of the following sociodemographic information is included? Select all that apply,,
Age,,12,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030247
Sex,,13,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030248
Gender,,14,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030249
Ethnicity,,15,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030250
Country of origin,,16,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030251
Socioeconomic status,,17,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030252
Marital status,,18,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030253
Education level,,19,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030254
Type of residency,,20,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030255
Living in rural area,,21,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030256
Health area,,22,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030257
Deprivation index,,23,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030258
Pharmaceutical copayment,,24,,Sociodemographics,https://spor.ema.europa.eu/rmswi/#/lists/200000030233/terms/200000030259
