name,parent,codesystem,code,ontologyTermURI,definition
Biology,,edam,EDAM_3070,http://edamontology.org/topic_3070,"The study of life and living organisms, including their morphology, biochemistry, physiology, development, evolution, and so on."
Synthetic biology,Biology,edam,EDAM_3895,http://edamontology.org/topic_3895,The application of multi-disciplinary science and technology for the construction of artificial biological systems for diverse applications.
Agricultural science,Biology,edam,EDAM_3810,http://edamontology.org/topic_3810,"Multidisciplinary study, research and development within the field of agriculture."
Freshwater biology,Biology,edam,EDAM_3573,http://edamontology.org/topic_3573,The study of organisms in freshwater ecosystems.
Zoology,Biology,edam,EDAM_3500,http://edamontology.org/topic_3500,"Animals, e.g. information on a specific animal genome including molecular sequences, genes and annotation.; The study of the animal kingdom."
Developmental biology,Biology,edam,EDAM_3064,http://edamontology.org/topic_3064,How organisms grow and develop.
Embryology,Developmental biology,edam,EDAM_3065,http://edamontology.org/topic_3065,The development of organisms between the one-cell stage (typically the zygote) and the end of the embryonic stage.
Genetics,Biology,edam,EDAM_3053,http://edamontology.org/topic_3053,"The study of genes, genetic variation and heredity in living organisms."
Human genetics,Genetics,edam,EDAM_3574,http://edamontology.org/topic_3574,The study of inheritance in human beings.
Population genetics,Genetics,edam,EDAM_3056,http://edamontology.org/topic_3056,"The distribution of allele frequencies in a population of organisms and its change subject to evolutionary processes including natural selection, genetic drift, mutation and gene flow."
Molecular genetics,Genetics,edam,EDAM_3321,http://edamontology.org/topic_3321,The structure and function of genes at a molecular level.
Gene expression,Molecular genetics,edam,EDAM_0203,http://edamontology.org/topic_0203,"The analysis of levels and patterns of synthesis of gene products (proteins and functional RNA) including interpretation in functional terms of gene expression data.; Gene expression levels are analysed by identifying, quantifying or comparing mRNA transcripts, for example using microarrays, RNA-seq, northern blots, gene-indexed expression profiles etc.; This includes the study of codon usage in nucleotide sequence(s), genetic codes and so on."
Gene regulation,Gene expression,edam,EDAM_0204,http://edamontology.org/topic_0204,The regulation of gene expression.
RNA splicing,Gene expression,edam,EDAM_3320,http://edamontology.org/topic_3320,"RNA splicing; post-transcription RNA modification involving the removal of introns and joining of exons.; This includes the study of splice sites, splicing patterns, alternative splicing events and variants, isoforms, etc.."
Transcriptomics,Gene expression,edam,EDAM_3308,http://edamontology.org/topic_3308,"The analysis of transcriptomes, or a set of all the RNA molecules in a specific cell, tissue etc."
Ribosome Profiling,Transcriptomics,edam,EDAM_4027,http://edamontology.org/topic_4027,"With ribosome profiling, ribosome-protected mRNA fragments are analyzed with RNA-seq techniques leading to a genome-wide measurement of the translation landscape."
Metatranscriptomics,Transcriptomics,edam,EDAM_3941,http://edamontology.org/topic_3941,The study of microbe gene expression within natural environments (i.e. the metatranscriptome).; Metatranscriptomics methods can be used for whole gene expression profiling of complex microbial communities.
Metatranscriptomics,Gene expression,edam,EDAM_3941,http://edamontology.org/topic_3941,The study of microbe gene expression within natural environments (i.e. the metatranscriptome).; Metatranscriptomics methods can be used for whole gene expression profiling of complex microbial communities.
