tableName,tableType,semantics,description
Age groups at onset,ONTOLOGIES,obo:NCIT_C20587,
Age groups,ONTOLOGIES,obo:NCIT_C20587,
AgeGroups,ONTOLOGIES,obo:NCIT_C20587,
Allow recontacting,ONTOLOGIES,obo:NCIT_C176244,
Analyses performed,ONTOLOGIES,edam:topic_0003,
Anatomical location,ONTOLOGIES,obo:NCIT_C103264,
Ancestry,ONTOLOGIES,obo:HANCESTRO_0004,
Biospecimen type,ONTOLOGIES,"obo:NCIT_C70699,obo:NCIT_C70713",
Consent document types,ONTOLOGIES,obo:ICO_0000001,
Consent representative,ONTOLOGIES,obo:BFO_0000023,
Countries,ONTOLOGIES,"obo:GENEPIO_0001830,obo:NCIT_C25464",
Data use modifiers,ONTOLOGIES,obo:DUO_0000017,
Data use permissions,ONTOLOGIES,obo:DUO_0000001,
DCMITypes,ONTOLOGIES,dcterms:DCMIType,
Diseases,ONTOLOGIES,"edam:data_2800,obo:NCIT_C15607",
Disease stage,ONTOLOGIES,obo:OBI_0000278,
Family relations,ONTOLOGIES,obo:NCIT_C71384,
File formats,ONTOLOGIES,"edam:format_1915,obo:NCIT_C171252",
Gender at birth,ONTOLOGIES,obo:GSSO_009418,
Gender identity,ONTOLOGIES,mesh:D005783,
Genes,ONTOLOGIES,edam:data_2298,
Genotypic sex,ONTOLOGIES,obo:NCIT_C168871,
InclusionCriteria,ONTOLOGIES,obo:OBI_0500027,
Individual status,ONTOLOGIES,obo:NCIT_C19332,
Languages,ONTOLOGIES,http://lexvo.org/ontology#Language,
Library layout,ONTOLOGIES,,
Library source,ONTOLOGIES,obo:GENEPIO_0001965,
Medical history,ONTOLOGIES,http://scdontology.h3abionet.org/ontology/SCDO_1000093,
Medication,ONTOLOGIES,edam:data_3103,
Metabolomic analysis type,ONTOLOGIES,obo:IAO_0000030,
Metabolomic assay type,ONTOLOGIES,obo:OBI_0000070,
Metabolomic processing type,ONTOLOGIES,obo:OBI_0000094,
Organisations,ONTOLOGIES,"sio:SIO_000688,obo:NCIT_C25412",
Pathological state,ONTOLOGIES,"obo:NCIT_C164617,obo:GO_0001894",
Phenotypes,ONTOLOGIES,"https://www.wikidata.org/wiki/Property:P3841,obo:NCIT_C16977","The Human Phenotype Ontology (HPO); Human Phenotype Ontology Consortium; v2026-02-16"
Sequencing enrichment kits,ONTOLOGIES,obo:GENEPIO_0000081,
Sequencing instrument models,ONTOLOGIES,obo:GENEPIO_0001921,
Sequencing methods,ONTOLOGIES,"obo:NCIT_C17565,obo:FIX_0000704",
Sequencing platforms,ONTOLOGIES,obo:GENEPIO_0000071,
Severity,ONTOLOGIES,obo:HP_0012824,
Storage conditions,ONTOLOGIES,obo:NCIT_C96145,
StudyDesign,ONTOLOGIES,obo:OBI_0500000,
Units,ONTOLOGIES,obo:NCIT_C25709,
Variation category,ONTOLOGIES,obo:NCIT_C25372,
Variation clinical relevance,ONTOLOGIES,edam:operation_3225,
