name,parent,codesystem,code,ontologyTermURI,definition
Biomedical science,,edam,EDAM_3344,http://edamontology.org/topic_3344,Topic concerning biological science that is (typically) performed in the context of medicine.
Biology,,edam,EDAM_3070,http://edamontology.org/topic_3070,"The study of life and living organisms, including their morphology, biochemistry, physiology, development, evolution, and so on."
Agricultural science,Biology,edam,EDAM_3810,http://edamontology.org/topic_3810,"Multidisciplinary study, research and development within the field of agriculture."
Medicine,,edam,EDAM_3303,http://edamontology.org/topic_3303,"Research in support of healing by diagnosis, treatment, and prevention of disease."
"Allergy, clinical immunology and immunotherapeutics",Medicine,edam,EDAM_3400,http://edamontology.org/topic_3400,"Health issues related to the immune system and their prevention, diagnosis and management."
Anaesthesiology,Medicine,edam,EDAM_3402,http://edamontology.org/topic_3402,Anaesthesia and anaesthetics.
Anatomy,Biomedical science,edam,EDAM_3067,http://edamontology.org/topic_3067,The form and function of the structures of living organisms.
Laboratory animal science,Biomedical science,edam,EDAM_3386,http://edamontology.org/topic_3386,The use of animals and alternatives in experimental research.
Animal study,Laboratory animal science,edam,EDAM_3679,http://edamontology.org/topic_3679,The design of an experiment involving non-human animals.
Antimicrobial resistance,,edam,EDAM_4013,http://edamontology.org/topic_4013,Microbial mechanisms for protecting microorganisms against antimicrobial agents.
Sample collections,Biomedical science,edam,EDAM_3277,http://edamontology.org/topic_3277,Biological samples and specimens.
Biobank,Sample collections,edam,EDAM_3337,http://edamontology.org/topic_3337,"Repositories of biological samples, typically human, for basic biological and clinical research."
Biochemistry,Biology,edam,EDAM_3292,http://edamontology.org/topic_3292,Chemical substances and physico-chemical processes and that occur within living organisms.
Biodiversity,Ecology,edam,EDAM_3050,http://edamontology.org/topic_3050,"The degree of variation of life forms within a given ecosystem, biome or an entire planet."
Biotechnology,Biology,edam,EDAM_3297,http://edamontology.org/topic_3297,"The exploitation of biological process, structure and function for industrial purposes, for example the genetic manipulation of microorganisms for the antibody production."
Bioengineering,Biotechnology,edam,EDAM_3398,http://edamontology.org/topic_3398,The application of biological concepts and methods to the analytical and synthetic methodologies of engineering.
Biomarkers,Biology,edam,EDAM_3360,http://edamontology.org/topic_3360,"Objective indicators of biological state often used to assess health, and determinate treatment."
Biomaterials,Biotechnology,edam,EDAM_3368,http://edamontology.org/topic_3368,"Any matter, surface or construct that interacts with a biological system."
Biomolecular simulation,Computational biology,edam,EDAM_3892,http://edamontology.org/topic_3892,"The study and simulation of molecular conformations using a computational model and computer simulations.; This includes methods such as Molecular Dynamics, Coarse-grained dynamics, metadynamics, Quantum Mechanics, QM/MM, Markov State Models, etc."
Biophysics,Biology,edam,EDAM_3306,http://edamontology.org/topic_3306,The use of physics to study biological system.
Medicines research and development,Biomedical science,edam,EDAM_3376,http://edamontology.org/topic_3376,"The discovery, development and approval of medicines."
Biotherapeutics,Medicines research and development,edam,EDAM_3374,http://edamontology.org/topic_3374,The process of formulating and administering a pharmaceutical compound to achieve a therapeutic effect.
Computational biology,,edam,EDAM_3307,http://edamontology.org/topic_3307,"The development and application of theory, analytical methods, mathematical models and computational simulation of biological systems.; This includes the modeling and treatment of biological processes and systems in mathematical terms (theoretical biology)."
Structure analysis,Computational biology,edam,EDAM_0081,http://edamontology.org/topic_0081,"The curation, processing, analysis and prediction of data about the structure of biological molecules, typically proteins and nucleic acids and other macromolecules.; This includes related concepts such as structural properties, alignments and structural motifs."
Carbohydrates,Structure analysis,edam,EDAM_0152,http://edamontology.org/topic_0152,"Carbohydrates, typically including structural information."
Ecology,,edam,EDAM_0610,http://edamontology.org/topic_0610,The ecological and environmental sciences and especially the application of information technology (ecoinformatics).
Carbon cycle,Ecology,edam,EDAM_4020,http://edamontology.org/topic_4020,"The carbon cycle is the biogeochemical pathway of carbon moving through the different parts of the Earth (such as ocean, atmosphere, soil), or eventually another planet.; Note that the carbon-nitrogen-oxygen (CNO) cycle (https://en.wikipedia.org/wiki/CNO_cycle) is a completely different, thermonuclear reaction in stars."
Cardiology,Medicine,edam,EDAM_3335,http://edamontology.org/topic_3335,The diseases and abnormalities of the heart and circulatory system.
Cell biology,Biology,edam,EDAM_2229,http://edamontology.org/topic_2229,"Cells, such as key genes and proteins involved in the cell cycle."
Cell culture collection,Sample collections,edam,EDAM_3340,http://edamontology.org/topic_3340,"Collections of cells grown under laboratory conditions, specifically, cells from multi-cellular eukaryotes and especially animal cells."
Chemical biology,Biology,edam,EDAM_3369,http://edamontology.org/topic_3369,The use of synthetic chemistry to study and manipulate biological systems.
Cladistics,,edam,EDAM_3944,http://edamontology.org/topic_3944,"The biological classification of organisms by categorizing them in groups (""clades"") based on their most recent common ancestor."
Clone library,Sample collections,edam,EDAM_3341,http://edamontology.org/topic_3341,"Collections of DNA, including both collections of cloned molecules, and populations of micro-organisms that store and propagate cloned DNA."
Genomics,Omics,edam,EDAM_0622,http://edamontology.org/topic_0622,"Whole genomes of one or more organisms, or genomes in general, such as meta-information on genomes, genome projects, gene names etc."
