order,name,parent,codesystem,code,ontologyTermURI,definition
1,1,,NCIT,NCIT_C13204,http://purl.obolibrary.org/obo/NCIT_C13204,The designation for each member of the largest human autosomal chromosome pair. Chromosome 1 spans about 247 million nucleotide base pairs and represents about 8% of the total DNA in normal diploid cells.
2,2,,NCIT,NCIT_C13215,http://purl.obolibrary.org/obo/NCIT_C13215,The designation for each member of the second largest human autosomal chromosome pair. Chromosome 2 spans more than 237 million base pairs and represents almost 8% of the total DNA in normal diploid cells.
3,3,,NCIT,NCIT_C13219,http://purl.obolibrary.org/obo/NCIT_C13219,The designation for each member of the third largest human autosomal chromosome pair. Chromosome 3 spans almost 200 million base pairs and represents about 6.5% of the total DNA in normal diploid cells.
4,4,,NCIT,NCIT_C13220,http://purl.obolibrary.org/obo/NCIT_C13220,The designation for each member of the fourth largest human autosomal chromosome pair. Chromosome 4 spans more than 186 million base pairs and represents between 6 and 6.5% of the total DNA in normal diploid cells.
5,5,,NCIT,NCIT_C13221,http://purl.obolibrary.org/obo/NCIT_C13221,The designation for each member of the fifth largest human autosomal chromosome pair. Chromosome 5 spans about 181 million base pairs and represents almost 6% of the total DNA in normal diploid cells.
6,6,,NCIT,NCIT_C13222,http://purl.obolibrary.org/obo/NCIT_C13222,The designation for each member of the sixth largest human autosomal chromosome pair. Chromosome 6 spans more than 170 million base pairs and represents between 5.5 and 6% of the total DNA in normal diploid cells.
7,7,,NCIT,NCIT_C13223,http://purl.obolibrary.org/obo/NCIT_C13223,The designation for each member of the seventh largest human autosomal chromosome pair. Chromosome 7 spans more than 158 million base pairs and represents between 5 and 5.5% of the total DNA in normal diploid cells.
8,8,,NCIT,NCIT_C13224,http://purl.obolibrary.org/obo/NCIT_C13224,The designation for each member of the eighth largest human autosomal chromosome pair. Chromosome 8 spans about 145 million base pairs and represents between 4.5 and 5.0% of the total DNA in normal diploid cells.
9,9,,NCIT,NCIT_C13225,http://purl.obolibrary.org/obo/NCIT_C13225,The designation for each member of the ninth largest human autosomal chromosome pair. Chromosome 9 spans about 145 million base pairs of nucleic acids and represents between 4 and 4.5% of the total DNA in normal diploid cells.
10,10,,NCIT,NCIT_C13205,http://purl.obolibrary.org/obo/NCIT_C13205,The designation for each member of the tenth largest human autosomal chromosome pair. Chromosome 10 spans about 135 million base pairs and represents between 4 and 4.5% of the total DNA in normal diploid cells.
11,11,,NCIT,NCIT_C13206,http://purl.obolibrary.org/obo/NCIT_C13206,The designation for each member of the eleventh largest human autosomal chromosome pair. Chromosome 11 spans about 134.5 million base pairs and represents between 4 and 4.5% of the total DNA in normal diploid cells.
12,12,,NCIT,NCIT_C13207,http://purl.obolibrary.org/obo/NCIT_C13207,The designation for each member of the twelfth largest human autosomal chromosome pair. Chromosome 12 spans about 143 million base pairs and represents between 4 and 4.5% of the total DNA in normal diploid cells.
13,13,,NCIT,NCIT_C13208,http://purl.obolibrary.org/obo/NCIT_C13208,The designation for each member of the thirteenth largest human autosomal chromosome pair. Chromosome 13 spans about 113 million base pairs and represents between 3.5 and 4% of the total DNA in normal diploid cells.
14,14,,NCIT,NCIT_C13209,http://purl.obolibrary.org/obo/NCIT_C13209,The designation for each member of the fourteenth largest human autosomal chromosome pair. Chromosome 14 spans about 105 million base pairs and represents between 3 and 3.5% of the total DNA in normal diploid cells.
