name,definition,codesystem,code,ontologyTermURI
"Fractionated Stereotactic Radiation Therapy","Fractionated Stereotactic Radiation Therapy","NCIT","C156862","http://purl.obolibrary.org/obo/NCIT_C156862"
"masculinizing thoracic surgery","masculinizing thoracic surgery","GSSO","000110","http://purl.obolibrary.org/obo/GSSO_000110"
"masculinizing mastectomy","masculinizing mastectomy","GSSO","000126","http://purl.obolibrary.org/obo/GSSO_000126"
"gender affirming surgery","gender affirming surgery","GSSO","001608","http://purl.obolibrary.org/obo/GSSO_001608"
"intersex surgery","intersex surgery","GSSO","001609","http://purl.obolibrary.org/obo/GSSO_001609"
"feminizing gender confirmation surgery","feminizing gender confirmation surgery","GSSO","001610","http://purl.obolibrary.org/obo/GSSO_001610"
"masculinizing gender confirmation surgery","masculinizing gender confirmation surgery","GSSO","001611","http://purl.obolibrary.org/obo/GSSO_001611"
"facial feminization surgery","facial feminization surgery","GSSO","001612","http://purl.obolibrary.org/obo/GSSO_001612"
"facial masculinization surgery","facial masculinization surgery","GSSO","001613","http://purl.obolibrary.org/obo/GSSO_001613"
"genital masculinization surgery","genital masculinization surgery","GSSO","001614","http://purl.obolibrary.org/obo/GSSO_001614"
"genital feminization surgery","genital feminization surgery","GSSO","001615","http://purl.obolibrary.org/obo/GSSO_001615"
"excision of ovotestis","excision of ovotestis","GSSO","001618","http://purl.obolibrary.org/obo/GSSO_001618"
"genital gender confirmation surgery","genital gender confirmation surgery","GSSO","001619","http://purl.obolibrary.org/obo/GSSO_001619"
"thoracic gender confirmation surgery","thoracic gender confirmation surgery","GSSO","001620","http://purl.obolibrary.org/obo/GSSO_001620"
"masculinizing intersex surgery","masculinizing intersex surgery","GSSO","001633","http://purl.obolibrary.org/obo/GSSO_001633"
"feminizing intersex surgery","feminizing intersex surgery","GSSO","001634","http://purl.obolibrary.org/obo/GSSO_001634"
"genital intersex surgery","genital intersex surgery","GSSO","001635","http://purl.obolibrary.org/obo/GSSO_001635"
"andrological surgical procedure","andrological surgical procedure","GSSO","001636","http://purl.obolibrary.org/obo/GSSO_001636"
"testicular surgical procedure","testicular surgical procedure","GSSO","001637","http://purl.obolibrary.org/obo/GSSO_001637"
"penile surgical procedure","penile surgical procedure","GSSO","001638","http://purl.obolibrary.org/obo/GSSO_001638"
"orchiopexy","orchiopexy","GSSO","001639","http://purl.obolibrary.org/obo/GSSO_001639"
"urethral surgical procedure","urethral surgical procedure","GSSO","001640","http://purl.obolibrary.org/obo/GSSO_001640"
"repair of urethra","repair of urethra","GSSO","001641","http://purl.obolibrary.org/obo/GSSO_001641"
"repair of hypospadias","repair of hypospadias","GSSO","001642","http://purl.obolibrary.org/obo/GSSO_001642"
"repair of epispadias","repair of epispadias","GSSO","001643","http://purl.obolibrary.org/obo/GSSO_001643"
"reconstruction of penis","reconstruction of penis","GSSO","001644","http://purl.obolibrary.org/obo/GSSO_001644"
