name,label,codesystem,code,ontologyTermURI
106004,Structure of posterior carpal region,SNOMED CT,106004,http://purl.bioontology.org/ontology/SNOMEDCT/106004
110001,"Structure of visceral layer of Bowman's capsule",SNOMED CT,110001,http://purl.bioontology.org/ontology/SNOMEDCT/110001
111002,Parathyroid structure,SNOMED CT,111002,http://purl.bioontology.org/ontology/SNOMEDCT/111002
116007,Subcutaneous tissue structure of medial surface of index finger,SNOMED CT,116007,http://purl.bioontology.org/ontology/SNOMEDCT/116007
124002,Structure of coronoid process of mandible,SNOMED CT,124002,http://purl.bioontology.org/ontology/SNOMEDCT/124002
155008,Structure of deep circumflex iliac artery,SNOMED CT,155008,http://purl.bioontology.org/ontology/SNOMEDCT/155008
167005,Structure of supraclavicular part of brachial plexus,SNOMED CT,167005,http://purl.bioontology.org/ontology/SNOMEDCT/167005
202009,Structure of anterior division of renal artery,SNOMED CT,202009,http://purl.bioontology.org/ontology/SNOMEDCT/202009
205006,Entire left commissure of aortic valve,SNOMED CT,205006,http://purl.bioontology.org/ontology/SNOMEDCT/205006
206007,Structure of gluteus maximus muscle,SNOMED CT,206007,http://purl.bioontology.org/ontology/SNOMEDCT/206007
221001,"Structure of articular surface, phalanges, of fourth metacarpal bone",SNOMED CT,221001,http://purl.bioontology.org/ontology/SNOMEDCT/221001
227002,Canal of Hering,SNOMED CT,227002,http://purl.bioontology.org/ontology/SNOMEDCT/227002
233006,Structure of hepatocolic ligament,SNOMED CT,233006,http://purl.bioontology.org/ontology/SNOMEDCT/233006
235004,Structure of superior labial artery,SNOMED CT,235004,http://purl.bioontology.org/ontology/SNOMEDCT/235004
246001,Structure of lateral vestibular nucleus,SNOMED CT,246001,http://purl.bioontology.org/ontology/SNOMEDCT/246001
247005,Structure of mesotympanum,SNOMED CT,247005,http://purl.bioontology.org/ontology/SNOMEDCT/247005
251007,Pectoral region structure,SNOMED CT,251007,http://purl.bioontology.org/ontology/SNOMEDCT/251007
263002,Structure of thoracic spinal nerve,SNOMED CT,263002,http://purl.bioontology.org/ontology/SNOMEDCT/263002
266005,Structure of right lower lobe of lung,SNOMED CT,266005,http://purl.bioontology.org/ontology/SNOMEDCT/266005
272005,Structure of superior articular process of lumbar vertebra,SNOMED CT,272005,http://purl.bioontology.org/ontology/SNOMEDCT/272005
273000,Structure of lateral myocardium,SNOMED CT,273000,http://purl.bioontology.org/ontology/SNOMEDCT/273000
283001,Structure of central axillary lymph node,SNOMED CT,283001,http://purl.bioontology.org/ontology/SNOMEDCT/283001
284007,Entire flexor tendon and tendon sheath of fourth toe,SNOMED CT,284007,http://purl.bioontology.org/ontology/SNOMEDCT/284007
289002,Metacarpophalangeal joint structure of index finger,SNOMED CT,289002,http://purl.bioontology.org/ontology/SNOMEDCT/289002
301000,Fifth metatarsal structure,SNOMED CT,301000,http://purl.bioontology.org/ontology/SNOMEDCT/301000
311007,Structure of plantar surface of great toe,SNOMED CT,311007,http://purl.bioontology.org/ontology/SNOMEDCT/311007
315003,Skin structure of umbilicus,SNOMED CT,315003,http://purl.bioontology.org/ontology/SNOMEDCT/315003
318001,Structure of cardiac impression of liver,SNOMED CT,318001,http://purl.bioontology.org/ontology/SNOMEDCT/318001
344001,Ankle region structure,SNOMED CT,344001,http://purl.bioontology.org/ontology/SNOMEDCT/344001
345000,Atrioventricular bundle structure,SNOMED CT,345000,http://purl.bioontology.org/ontology/SNOMEDCT/345000
356000,Reticular corium,SNOMED CT,356000,http://purl.bioontology.org/ontology/SNOMEDCT/356000
373003,Dorsal border of seventeenth rib,SNOMED CT,373003,http://purl.bioontology.org/ontology/SNOMEDCT/373003
393006,Structure of wall of urinary bladder,SNOMED CT,393006,http://purl.bioontology.org/ontology/SNOMEDCT/393006
402006,Structure of dental branch of inferior alveolar artery,SNOMED CT,402006,http://purl.bioontology.org/ontology/SNOMEDCT/402006
414003,Gastric fundus structure,SNOMED CT,414003,http://purl.bioontology.org/ontology/SNOMEDCT/414003
422005,Structure of inferior surface of tongue,SNOMED CT,422005,http://purl.bioontology.org/ontology/SNOMEDCT/422005
441008,Interdigital gland,SNOMED CT,441008,http://purl.bioontology.org/ontology/SNOMEDCT/441008
446003,Structure of trochanteric bursa,SNOMED CT,446003,http://purl.bioontology.org/ontology/SNOMEDCT/446003
457008,Structure of collateral ligament,SNOMED CT,457008,http://purl.bioontology.org/ontology/SNOMEDCT/457008
461002,Structure of lateral corticospinal tract,SNOMED CT,461002,http://purl.bioontology.org/ontology/SNOMEDCT/461002
465006,Structure of ascending frontal gyrus,SNOMED CT,465006,http://purl.bioontology.org/ontology/SNOMEDCT/465006
471000,Flexor hallucis longus muscle structure,SNOMED CT,471000,http://purl.bioontology.org/ontology/SNOMEDCT/471000
480000,Cardiopulmonary circulatory system structure,SNOMED CT,480000,http://purl.bioontology.org/ontology/SNOMEDCT/480000
485005,Transverse colon structure,SNOMED CT,485005,http://purl.bioontology.org/ontology/SNOMEDCT/485005
528006,Structure of costal surface of lung,SNOMED CT,528006,http://purl.bioontology.org/ontology/SNOMEDCT/528006
532000,Caudal frontal sinus,SNOMED CT,532000,http://purl.bioontology.org/ontology/SNOMEDCT/532000
552004,Entire vagus nerve parasympathetic fibers to cardiac plexus,SNOMED CT,552004,http://purl.bioontology.org/ontology/SNOMEDCT/552004
565008,Structure of intervertebral disc space of fifth lumbar vertebra,SNOMED CT,565008,http://purl.bioontology.org/ontology/SNOMEDCT/565008
582005,Structure of head of phalanx of great toe,SNOMED CT,582005,http://purl.bioontology.org/ontology/SNOMEDCT/582005
587004,Structure of capsule of proximal interphalangeal joint of third toe,SNOMED CT,587004,http://purl.bioontology.org/ontology/SNOMEDCT/587004
589001,Interventricular septum structure,SNOMED CT,589001,http://purl.bioontology.org/ontology/SNOMEDCT/589001
595000,Structure of palpebral fissure,SNOMED CT,595000,http://purl.bioontology.org/ontology/SNOMEDCT/595000
608002,Subcutaneous tissue structure of philtrum,SNOMED CT,608002,http://purl.bioontology.org/ontology/SNOMEDCT/608002
630001,Shaft of thirteenth rib,SNOMED CT,630001,http://purl.bioontology.org/ontology/SNOMEDCT/630001
635006,Structure of tuberosity of distal phalanx of little toe,SNOMED CT,635006,http://purl.bioontology.org/ontology/SNOMEDCT/635006
650002,Structure of superior articular process of seventh thoracic vertebra,SNOMED CT,650002,http://purl.bioontology.org/ontology/SNOMEDCT/650002
660006,Tracheal mucous membrane,SNOMED CT,660006,http://purl.bioontology.org/ontology/SNOMEDCT/660006
661005,Jaw region structure,SNOMED CT,661005,http://purl.bioontology.org/ontology/SNOMEDCT/661005
691000,Small intestine submucosa,SNOMED CT,691000,http://purl.bioontology.org/ontology/SNOMEDCT/691000
692007,Structure of body of ischium,SNOMED CT,692007,http://purl.bioontology.org/ontology/SNOMEDCT/692007
774007,Head and neck structure,SNOMED CT,774007,http://purl.bioontology.org/ontology/SNOMEDCT/774007
790007,Structure of visceral aspect of liver,SNOMED CT,790007,http://purl.bioontology.org/ontology/SNOMEDCT/790007
808000,Structure of posterior intercostal artery,SNOMED CT,808000,http://purl.bioontology.org/ontology/SNOMEDCT/808000
823005,Structure of posterior cervical spinal cord nerve root,SNOMED CT,823005,http://purl.bioontology.org/ontology/SNOMEDCT/823005
830004,Structure of spinous process of fifth thoracic vertebra,SNOMED CT,830004,http://purl.bioontology.org/ontology/SNOMEDCT/830004
836005,Structure of oral region of face,SNOMED CT,836005,http://purl.bioontology.org/ontology/SNOMEDCT/836005
885000,Lamina muscularis of colonic mucous membrane,SNOMED CT,885000,http://purl.bioontology.org/ontology/SNOMEDCT/885000
895007,Structure of anterior cruciate ligament of knee joint,SNOMED CT,895007,http://purl.bioontology.org/ontology/SNOMEDCT/895007
917004,Superior laryngeal aperture structure,SNOMED CT,917004,http://purl.bioontology.org/ontology/SNOMEDCT/917004
921006,Structure of thyrohyoid branch of ansa cervicalis,SNOMED CT,921006,http://purl.bioontology.org/ontology/SNOMEDCT/921006
947002,Structure of crus of diaphragm,SNOMED CT,947002,http://purl.bioontology.org/ontology/SNOMEDCT/947002
955009,Bronchial structure,SNOMED CT,955009,http://purl.bioontology.org/ontology/SNOMEDCT/955009
996007,Structure of meningeal branch of occipital artery,SNOMED CT,996007,http://purl.bioontology.org/ontology/SNOMEDCT/996007
1012000,Structure of fibrous portion of pericardium,SNOMED CT,1012000,http://purl.bioontology.org/ontology/SNOMEDCT/1012000
1015003,Structure of peritonsillar tissue,SNOMED CT,1015003,http://purl.bioontology.org/ontology/SNOMEDCT/1015003
1016002,Lamina of seventeenth thoracic vertebra,SNOMED CT,1016002,http://purl.bioontology.org/ontology/SNOMEDCT/1016002
1028005,Sebaceous gland structure,SNOMED CT,1028005,http://purl.bioontology.org/ontology/SNOMEDCT/1028005
1030007,Structure of vesicular bursa of sternohyoid muscle,SNOMED CT,1030007,http://purl.bioontology.org/ontology/SNOMEDCT/1030007
1063000,Structure of frontozygomatic suture of skull,SNOMED CT,1063000,http://purl.bioontology.org/ontology/SNOMEDCT/1063000
1087003,Structure of sternothyroid muscle,SNOMED CT,1087003,http://purl.bioontology.org/ontology/SNOMEDCT/1087003
1092001,Structure of superior occipital gyrus,SNOMED CT,1092001,http://purl.bioontology.org/ontology/SNOMEDCT/1092001
1099005,Structure of thymic cortex,SNOMED CT,1099005,http://purl.bioontology.org/ontology/SNOMEDCT/1099005
1101003,Cranial cavity structure,SNOMED CT,1101003,http://purl.bioontology.org/ontology/SNOMEDCT/1101003
1106008,Entire major calyx,SNOMED CT,1106008,http://purl.bioontology.org/ontology/SNOMEDCT/1106008
1110006,Structure of meibomian gland,SNOMED CT,1110006,http://purl.bioontology.org/ontology/SNOMEDCT/1110006
1122009,Structure of inferior longitudinal muscle of tongue,SNOMED CT,1122009,http://purl.bioontology.org/ontology/SNOMEDCT/1122009
1159005,Structure of frenulum linguae,SNOMED CT,1159005,http://purl.bioontology.org/ontology/SNOMEDCT/1159005
1172006,Structure of odontoid process of axis,SNOMED CT,1172006,http://purl.bioontology.org/ontology/SNOMEDCT/1172006
1173001,Structure of mandibular nerve,SNOMED CT,1173001,http://purl.bioontology.org/ontology/SNOMEDCT/1173001
1193009,Structure of teres major muscle,SNOMED CT,1193009,http://purl.bioontology.org/ontology/SNOMEDCT/1193009
1216008,Synostosis,SNOMED CT,1216008,http://purl.bioontology.org/ontology/SNOMEDCT/1216008
1231004,Meninges structure,SNOMED CT,1231004,http://purl.bioontology.org/ontology/SNOMEDCT/1231004
1236009,Duodenal serosa,SNOMED CT,1236009,http://purl.bioontology.org/ontology/SNOMEDCT/1236009
1243003,Structure of inferior articular process of sixth cervical vertebra,SNOMED CT,1243003,http://purl.bioontology.org/ontology/SNOMEDCT/1243003
1246006,Structure of dorsal digital nerves of radial nerve,SNOMED CT,1246006,http://purl.bioontology.org/ontology/SNOMEDCT/1246006
1277008,Structure of vertebral nerve,SNOMED CT,1277008,http://purl.bioontology.org/ontology/SNOMEDCT/1277008
1307006,Glottis structure,SNOMED CT,1307006,http://purl.bioontology.org/ontology/SNOMEDCT/1307006
1311000,Telogen hair,SNOMED CT,1311000,http://purl.bioontology.org/ontology/SNOMEDCT/1311000
1350001,Structure of deep flexor tendon of index finger,SNOMED CT,1350001,http://purl.bioontology.org/ontology/SNOMEDCT/1350001
1353004,Gastric serosa,SNOMED CT,1353004,http://purl.bioontology.org/ontology/SNOMEDCT/1353004
1403006,Structure of vastus lateralis muscle,SNOMED CT,1403006,http://purl.bioontology.org/ontology/SNOMEDCT/1403006
1425000,Structure of posterior limb of stapes,SNOMED CT,1425000,http://purl.bioontology.org/ontology/SNOMEDCT/1425000
1439000,Structure of paravesicular lymph node,SNOMED CT,1439000,http://purl.bioontology.org/ontology/SNOMEDCT/1439000
1441004,Structure of ventricle of larynx,SNOMED CT,1441004,http://purl.bioontology.org/ontology/SNOMEDCT/1441004
1456008,Yellow fibrocartilage,SNOMED CT,1456008,http://purl.bioontology.org/ontology/SNOMEDCT/1456008
1467009,Structure of parietal branch of superficial temporal artery,SNOMED CT,1467009,http://purl.bioontology.org/ontology/SNOMEDCT/1467009
1484003,Structure of metatarsal region of foot,SNOMED CT,1484003,http://purl.bioontology.org/ontology/SNOMEDCT/1484003
1490004,Structure of soft tissues of trunk,SNOMED CT,1490004,http://purl.bioontology.org/ontology/SNOMEDCT/1490004
1502004,Structure of anterior cecal artery,SNOMED CT,1502004,http://purl.bioontology.org/ontology/SNOMEDCT/1502004
1527006,Structure of lamina of fourth thoracic vertebra,SNOMED CT,1527006,http://purl.bioontology.org/ontology/SNOMEDCT/1527006
1537001,Intervertebral disc structure of eleventh thoracic vertebra,SNOMED CT,1537001,http://purl.bioontology.org/ontology/SNOMEDCT/1537001
1541002,Structure of coccygeal plexus,SNOMED CT,1541002,http://purl.bioontology.org/ontology/SNOMEDCT/1541002
1562001,Structure of nucleus pulposus of intervertebral disc of third lumbar vertebra,SNOMED CT,1562001,http://purl.bioontology.org/ontology/SNOMEDCT/1562001
1569005,Structure of nail of third toe,SNOMED CT,1569005,http://purl.bioontology.org/ontology/SNOMEDCT/1569005
1570006,Skin structure of palmar area of hand and finger,SNOMED CT,1570006,http://purl.bioontology.org/ontology/SNOMEDCT/1570006
1580005,Structure of ventral lateral nucleus of thalamus,SNOMED CT,1580005,http://purl.bioontology.org/ontology/SNOMEDCT/1580005
1581009,Structure of ileal artery,SNOMED CT,1581009,http://purl.bioontology.org/ontology/SNOMEDCT/1581009
1600003,Structure of splenius capitis muscle,SNOMED CT,1600003,http://purl.bioontology.org/ontology/SNOMEDCT/1600003
1610007,Structure of otoconia,SNOMED CT,1610007,http://purl.bioontology.org/ontology/SNOMEDCT/1610007
1617005,Structure of intrinsic larynx,SNOMED CT,1617005,http://purl.bioontology.org/ontology/SNOMEDCT/1617005
