name,parent,codesystem,code,ontologyTermURI,definition
Variant of Unknown Significance,,ncit,NCIT_C94187,http://purl.obolibrary.org/obo/NCIT_C94187,""
Sequence Rearrangement,,ncit,NCIT_C189439,http://purl.obolibrary.org/obo/NCIT_C189439,"Any product of a process affecting a nucleic acid sequence that results in the gain, loss, inversion, or translocation of nucleic acid."
ADME Variant Profile,,ncit,NCIT_C189438,http://purl.obolibrary.org/obo/NCIT_C189438,"Unique pattern of nucleotide variation of genes that are involved in drug absorption, distribution, metabolism, and excretion (ADME)."
Oncomine Variant Type,,ncit,NCIT_C172250,http://purl.obolibrary.org/obo/NCIT_C172250,The variant type assigned by the proprietary Oncomine assay.
Genetic Polymorphism,,ncit,NCIT_C17004,http://purl.obolibrary.org/obo/NCIT_C17004,The regular and simultaneous occurrence of alternative nucleotide sequences at equivalent locations of the genetic material among individuals of a single interbreeding population that are not maintained by recurrent mutation. Polymorphisms may range in size from single nucleotide to large nucleotide sequence variation visible at the chromosomal level.
Copy Number Polymorphism,Genetic Polymorphism,ncit,NCIT_C40207,http://purl.obolibrary.org/obo/NCIT_C40207,Variation in the number of copies of a particular sequence within the genetic material of an individual. Large-scale copy number polymorphisms are common and widely distributed in the human genome.
Short Tandem Repeat Polymorphism,Genetic Polymorphism,ncit,NCIT_C18505,http://purl.obolibrary.org/obo/NCIT_C18505,Short Tandem Repeat Polymorphism consists of variation between individuals in the number of repeat units of Simple Tandem Repeats at a specific location in the genome. These are used extensively as markers in gene mapping and linkage analysis.
Single Nucleotide Polymorphism,Genetic Polymorphism,ncit,NCIT_C18279,http://purl.obolibrary.org/obo/NCIT_C18279,"A variation of a single nucleotide at a specific location of the genome due to base substitution, present at an appreciable frequency between individuals of a single interbreeding population."
Tagging SNP,Single Nucleotide Polymorphism,ncit,NCIT_C93236,http://purl.obolibrary.org/obo/NCIT_C93236,""
Untranslated Region SNP,Single Nucleotide Polymorphism,ncit,NCIT_C45392,http://purl.obolibrary.org/obo/NCIT_C45392,"Single Nucleotide Polymorphism in UTR Sequences consists of a variation at an appreciable frequency between individuals of a single interbreeding population of a single nucleotide, due to base substitution, at an equivalent location within the sequence region at the 5' end (preceding the initiation codon) or at the 3' end (following the stop codon) of a messenger RNA that are not translated into protein and may contain transcription and translation regulating sequences."
"3' Untranslated Region SNP",Untranslated Region SNP,ncit,NCIT_C45394,http://purl.obolibrary.org/obo/NCIT_C45394,"A 3' Untranslated Region SNP consists of a variation at an appreciable frequency between individuals of a single interbreeding population of a single nucleotide, due to base substitution, at an equivalent location within the sequence region at the 3' end of a messenger RNA (following the stop codon) that is not translated into protein and may contain transcription and translation regulating sequences."
