name,definition,codesystem,code,ontologyTermURI
.csv,.csv,SWO,SWO_3000082,http://www.ebi.ac.uk/swo/data/SWO_3000082
.fastq,.fastq,EDAM,format_1930,http://edamontology.org/format_1930
.maf,.maf,EDAM,format_3008,http://edamontology.org/format_3008
.mgf,.mgf,SWO,SWO_3000083,http://www.ebi.ac.uk/swo/data/SWO_3000083
.mysql,.mysql,SWO,SWO_3000084,http://www.ebi.ac.uk/swo/data/SWO_3000084
.nib,.nib,EDAM,format_3010,http://edamontology.org/format_3010
.raw files,".raw files",SWO,SWO_0000682,http://www.ebi.ac.uk/swo/SWO_0000682
.sam,.sam,EDAM,format_2573,http://edamontology.org/format_2573
.sql,.sql,SWO,SWO_3000085,http://www.ebi.ac.uk/swo/data/SWO_3000085
.wig,.wig,EDAM,format_3005,http://edamontology.org/format_3005
2bit,2bit,EDAM,format_3009,http://edamontology.org/format_3009
3D-1D scoring matrix format,3D-1D scoring matrix format,EDAM,format_2064,http://edamontology.org/format_2064
A2M,A2M,EDAM,format_3281,http://edamontology.org/format_3281
aaindex,aaindex,EDAM,format_1504,http://edamontology.org/format_1504
AB1,AB1,EDAM,format_3000,http://edamontology.org/format_3000
ABCD format,ABCD format,EDAM,format_3708,http://edamontology.org/format_3708
ABI,ABI,EDAM,format_1628,http://edamontology.org/format_1628
ACE,ACE,EDAM,format_3001,http://edamontology.org/format_3001
acedb,acedb,EDAM,format_1923,http://edamontology.org/format_1923
affymetrix,affymetrix,EDAM,format_1639,http://edamontology.org/format_1639
affymetrix-exp,affymetrix-exp,EDAM,format_1641,http://edamontology.org/format_1641
afg,afg,EDAM,format_3582,http://edamontology.org/format_3582
AGP,AGP,EDAM,format_3693,http://edamontology.org/format_3693
Alignment format,Alignment format,EDAM,format_1921,http://edamontology.org/format_1921
Alignment format (pair only),Alignment format (pair only),EDAM,format_2920,http://edamontology.org/format_2920
Alignment format (text),Alignment format (text),EDAM,format_2554,http://edamontology.org/format_2554
Alignment format (XML),Alignment format (XML),EDAM,format_2555,http://edamontology.org/format_2555
ambiguous,ambiguous,EDAM,format_2097,http://edamontology.org/format_2097
Amino acid index format,Amino acid index format,EDAM,format_2017,http://edamontology.org/format_2017
Annotated text format,Annotated text format,EDAM,format_3780,http://edamontology.org/format_3780
ARB,ARB,EDAM,format_3830,http://edamontology.org/format_3830
arff,arff,EDAM,format_3581,http://edamontology.org/format_3581
ARR,ARR,SWO,SWO_1100014,http://www.ebi.ac.uk/swo/SWO_1100014
Article format,Article format,EDAM,format_2020,http://edamontology.org/format_2020
ASCII format,ASCII format,SWO,SWO_3000042,http://www.ebi.ac.uk/swo/data/SWO_3000042
ASN.1 sequence format,ASN.1 sequence format,EDAM,format_1966,http://edamontology.org/format_1966
axt,axt,EDAM,format_3013,http://edamontology.org/format_3013
BAI,BAM indexing format,EDAM,format_3327,http://edamontology.org/format_3327
BAM,"BAM format, the binary, BGZF-formatted compressed version of SAM format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s). May contain base-call and alignment qualities and other data.",EDAM,format_2572,http://edamontology.org/format_2572
BAR,BAR,SWO,SWO_3000058,http://www.ebi.ac.uk/swo/data/SWO_3000058
BCF,BCF,EDAM,format_3020,http://edamontology.org/format_3020
BCML,BCML,EDAM,format_3689,http://edamontology.org/format_3689
BDML,BDML,EDAM,format_3690,http://edamontology.org/format_3690
BED,"Browser Extensible Data (BED) format of sequence annotation track, typically to be displayed in a genome browser.",EDAM,format_3003,http://edamontology.org/format_3003
BED format,BED format,EDAM,format_3003,http://edamontology.org/format_3003
bed12,bed12,EDAM,format_3586,http://edamontology.org/format_3586
bed6,bed6,EDAM,format_3585,http://edamontology.org/format_3585
bedgraph,bedgraph,EDAM,format_3583,http://edamontology.org/format_3583
BedGraph,BedGraph,SWO,SWO_3000072,http://www.ebi.ac.uk/swo/data/SWO_3000072
bedstrict,bedstrict,EDAM,format_3584,http://edamontology.org/format_3584
BEL,BEL,EDAM,format_3691,http://edamontology.org/format_3691
bgzip,bgzip,EDAM,format_3615,http://edamontology.org/format_3615
Bibliographic reference format,Bibliographic reference format,EDAM,format_2848,http://edamontology.org/format_2848
bigBed,bigBed,EDAM,format_3004,http://edamontology.org/format_3004
bigWig,bigWig,EDAM,format_3006,http://edamontology.org/format_3006
