name,order,code,parent,ontologyTermURI,definition,codesystem
No main medical condition,1,,,,,ICD10
I Certain infectious and parasitic diseases,2,I,,,,ICD10
A00-A09 Intestinal infectious diseases,3,A00-A09,I Certain infectious and parasitic diseases,,,ICD10
A00 Cholera,4,A00,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00,,ICD10
"A00.0 Cholera due to Vibrio cholerae 01, biovar cholerae",5,A00.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00.0,,ICD10
"A00.1 Cholera due to Vibrio cholerae 01, biovar eltor",6,A00.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00.1,ORPHAcode: 173 Cholera,ICD10
"A00.9 Cholera, unspecified",7,A00.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A00.9,,ICD10
A01 Typhoid and paratyphoid fevers,8,A01,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01,,ICD10
A01.0 Typhoid fever,9,A01.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.0,ORPHAcode: 99745 Typhoid,ICD10
A01.1 Paratyphoid fever A,10,A01.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.1,ORPHAcode: 443227 Paratyphoid fever,ICD10
A01.2 Paratyphoid fever B,11,A01.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.2,,ICD10
A01.3 Paratyphoid fever C,12,A01.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.3,,ICD10
"A01.4 Paratyphoid fever, unspecified",13,A01.4,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A01.4,,ICD10
A02 Other salmonella infections,14,A02,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02,,ICD10
A02.0 Salmonella enteritis,15,A02.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.0,,ICD10
A02.1 Salmonella sepsis,16,A02.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.1,,ICD10
A02.2 Localized salmonella infections,17,A02.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.2,ORPHAcode: 324648 Invasive non-typhoidal salmonellosis,ICD10
A02.8 Other specified salmonella infections,18,A02.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.8,,ICD10
"A02.9 Salmonella infection, unspecified",19,A02.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A02.9,,ICD10
A03 Shigellosis,20,A03,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03,,ICD10
A03.0 Shigellosis due to Shigella dysenteriae,21,A03.0,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.0,,ICD10
A03.1 Shigellosis due to Shigella flexneri,22,A03.1,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.1,,ICD10
A03.2 Shigellosis due to Shigella boydii,23,A03.2,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.2,,ICD10
A03.3 Shigellosis due to Shigella sonnei,24,A03.3,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.3,,ICD10
A03.8 Other shigellosis,25,A03.8,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.8,ORPHAcode: 810 Shigellosis,ICD10
"A03.9 Shigellosis, unspecified",26,A03.9,A00-A09 Intestinal infectious diseases,http://identifiers.org/icd/A03.9,,ICD10
