name,label,parent,codesystem,code,ontologyTermURI,definition
Biobank,,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030056,
Observational study,,,,,,
Cohort study,,Observational study,,,,
Case-control,,Observational study,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030941/terms/200000030950,
Case-only,,Observational study,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030941/terms/200000030951,
Cross-sectional,,Observational study,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030941/terms/200000030952,
Population based,,Observational study,,,,Study done at the population level or among the population groups
Disease specific,,,,,,A study or biobank for which material and information is collected from subjects that have already developed a particular disease.
Rare disease,,,,,,A collection that is focusing on rare diseases
Birth cohort,,Observational study,,,,A cohort study for which the subjects are followed from the time of birth usually including information about gestation and follow up.
Twin-study,,Observational study,,,,Twin studies measure the contribution of genetics (as opposed to environment) to a given trait or condition of interest.
Retrospective,,Observational study,,,,Retrospective data collection
Prospective,,Observational study,,,,Prospective data collection
Longitudinal,,Observational study,,,,repeated observations at different time-points
Ecological,,Observational study,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030941/terms/200000030953,
Cluster design,,Observational study,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030941/terms/200000030954,
Systematic review and meta-analysis,,Observational study,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030941/terms/200000030955,
Disease state design,,,OBI,1293,http://purl.obolibrary.org/obo/OBI_0001293,"A study design in which the pathological condition of a part, organ, or system of an organism is studied. The etiology may be from infection, genetic defect, or environmental stress."
Quality control,,,OMIABIS,1023,http://purl.obolibrary.org/obo/OMIABIS_0001023,A study design where some aspect of the experiment is quality controlled for the purposes of quality assurance.
Other,Non-interventional design,,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030941/terms/200000031049,
Registry,,,,,,
Birth registry,,Registry,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030041,
Induced terminations registry,,Registry,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030042,
Congenital anomaly registry,,Registry,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030043,
Population registry,,Registry,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030044,
Death registry,,Registry,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030051,
Cancer registry,,Registry,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030052,
Disease registry,,Registry,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030053,
Vaccination registry,,Registry,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030054,
Drug registry,,Registry,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030055,
Health records,,,,,,
Hospital discharge records,,Secondary use,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030038,
Primary care medical records,,Secondary use,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030039,
Pharmacy dispensing records,,Secondary use,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030040,
Registration with healthcare system,,Health records,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030045,
Hospital outpatient visit records,,Health records,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030046,
Hospital inpatient records,,Health records,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030047,
Emergency care discharge records,,Health records,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030048,
Exemptions from co-payment,,Health records,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030049,
Diagnostic tests or procedures reimbursement,,Health records,,,https://spor.ema.europa.eu/rmswi/#/lists/200000030015/terms/200000030050,
