order,name,label,parent,codesystem,code,ontologyTermURI,definition
,Blood,,,,,http://id.nlm.nih.gov/mesh/D001769,
,Feces,,,,,http://purl.obolibrary.org/obo/OBI_0002503,
,FFPE Tissue,,,,,http://purl.obolibrary.org/obo/OBI_0000950,
,Freeze Tissue,,,,,http://purl.obolibrary.org/obo/OBI_0000922,
,Urine,,,,,http://purl.obolibrary.org/obo/OBI_0000651,
,Buffy coat,,,,,,
,Cancer cell lines,,,,,,
,Digital sample,,,,,,
,DNA,,,,,,
,Entire body organ,,,,,,
,Faeces,,,,,,
,Embryo or fetal tissue,,,,,,
,Immortalized cell lines,,,,,,
,Isolated microbes,,,,,,
,Other body fluid,,,,,,
,Plasma,,,,,,
,Primary cells,,,,,,
,Post-mortem tissue,,,,,,
,RNA,,,,,,
,Saliva,,,,,,
,Serum,,,,,,
,Specimen from environment or food,,,,,,
,Swab,,,,,,
,Tissue (Frozen),,,,,,
,Tissue (FFPE),,,,,,
,Other,,,,,,
,*,,,,,,Any sample type
