name,definition
Case-control,"A case-control study design compares two groups of subjects: those with the disease or condition under study (cases) and a very similar group of subjects who do not have the disease or condition (controls)."
Cohort,"A form of longitudinal study for the analysis of risk factors following a group of people who do not have a disease, and uses correlations to determine the absolute risk of subject contraction."
Cross-sectional,"A type of observational study that involves data collection from a population, or a representative subset, at one specific point in time."
Longitudinal,"Research studies involving repeated observations of the same entity over time. In the biobank context, longitudinal studies sample a group of people in a given time period, and study them at intervals by the acquisition and analyses of data and/or samples over time."
Twin-study,"Twin studies measure the contribution of genetics (as opposed to environment) to a given trait or condition of interest."
Quality control,"A quality control testing study design type is where some aspect of the experiment is quality controlled for the purposes of quality assurance."
Population-based,"Study done at the population level or among the population groups, generally to find the cause, incidence or spread of the disease or to see the response to the treatment, nutrition or environment."
Disease specific,"A study or biobank for which material and information is collected from subjects that have already developed a particular disease."
Birth cohort,"A cohort study for which the subjects are followed from the time of birth usually including information about gestation and follow up."
Other,""
