name,label,definition,parent
Required by regulator,,Was the study requested by a regulatory body?,
Yes,,,Required by regulator
No,,,Required by regulator
Don't know,,,Required by regulator
Required by RMP,,Was the study required by a Risk Management Plan (RMP)?,
Not applicable,,,Required by RMP
EU RMP category 1 (imposed as condition of marketing authorisation),,,Required by RMP
EU RMP category 2 (specific obligation of marketing authorisation),,,Required by RMP
EU RMP category 3 (required),,,Required by RMP
Non-EU RMP only,,,Required by RMP
