name,parent,codesystem,code,ontologyTermURI
Initial evaluation and management of healthy individual,,snomed,SNOMED_90526000,http://snomed.info/id/90526000
Periodic reevaluation and management of healthy individual,,snomed,SNOMED_86013001,http://snomed.info/id/86013001
Encounter for fitness for duty exam,,snomed,SNOMED_711458003,http://snomed.info/id/711458003
Home visit,,snomed,SNOMED_439708006,http://snomed.info/id/439708006
Home visit for anticoagulant drug monitoring,Home visit,snomed,SNOMED_704126008,http://snomed.info/id/704126008
Home visit for rheumatology service,Home visit,snomed,SNOMED_698704008,http://snomed.info/id/698704008
Evaluation and management of patient at home,Home visit,snomed,SNOMED_50357006,http://snomed.info/id/50357006
"Hemodialysis, supervision at home (procedure)",Evaluation and management of patient at home,snomed,SNOMED_68341005,http://snomed.info/id/68341005
Visit by health visitor,Evaluation and management of patient at home,snomed,SNOMED_310588009,http://snomed.info/id/310588009
Health visitor follow up,Visit by health visitor,snomed,SNOMED_408487007,http://snomed.info/id/408487007
Joint home visit,Evaluation and management of patient at home,snomed,SNOMED_225929007,http://snomed.info/id/225929007
Home visit elderly assessment,Evaluation and management of patient at home,snomed,SNOMED_185470005,http://snomed.info/id/185470005
District nurse visit,Evaluation and management of patient at home,snomed,SNOMED_185469009,http://snomed.info/id/185469009
District nurse initial visit,District nurse visit,snomed,SNOMED_408483006,http://snomed.info/id/408483006
District nurse follow up,District nurse visit,snomed,SNOMED_408482001,http://snomed.info/id/408482001
First annual visit by district nurse,District nurse visit,snomed,SNOMED_310587004,http://snomed.info/id/310587004
Home visit request by relative,Evaluation and management of patient at home,snomed,SNOMED_185462000,http://snomed.info/id/185462000
Home visit for intramuscular injection,Home visit,snomed,SNOMED_440696002,http://snomed.info/id/440696002
Home visit for marriage counseling (procedure),Home visit,snomed,SNOMED_440611006,http://snomed.info/id/440611006
Home visit for postpartum care and assessment,Home visit,snomed,SNOMED_440085006,http://snomed.info/id/440085006
Home visit for newborn care and assessment,Home visit,snomed,SNOMED_440068009,http://snomed.info/id/440068009
Home visit for care and maintenance of colostomy,Home visit,snomed,SNOMED_440146002,http://snomed.info/id/440146002
Home visit for mechanical ventilation care,Home visit,snomed,SNOMED_439887005,http://snomed.info/id/439887005
Home visit for care and maintenance of urinary catheter,Home visit,snomed,SNOMED_439058005,http://snomed.info/id/439058005
Home visit for cystostomy care and maintenance,Home visit,snomed,SNOMED_441244001,http://snomed.info/id/441244001
Domiciliary or rest home patient evaluation and management,Home visit,snomed,SNOMED_210098006,http://snomed.info/id/210098006
Home visit for chronic condition,Home visit,snomed,SNOMED_185468001,http://snomed.info/id/185468001
Home visit for acute condition,Home visit,snomed,SNOMED_185467006,http://snomed.info/id/185467006
Home visit for urgent condition,Home visit,snomed,SNOMED_185466002,http://snomed.info/id/185466002
Visit with nurse at next appointment requested,,snomed,SNOMED_440568002,http://snomed.info/id/440568002
Provision of continuity of care,,snomed,SNOMED_423215004,http://snomed.info/id/423215004
Follow-up encounter,,snomed,SNOMED_390906007,http://snomed.info/id/390906007
Case management follow up,Follow-up encounter,snomed,SNOMED_425604002,http://snomed.info/id/425604002
Urgent follow-up,Follow-up encounter,snomed,SNOMED_406547006,http://snomed.info/id/406547006
Follow-up consultation,Follow-up encounter,snomed,SNOMED_281036007,http://snomed.info/id/281036007
