"name","definition","codesystem","code","ontologyTermURI"
"Alive","Showing characteristics of life; displaying signs of life.","NCIT","C37987","http://purl.obolibrary.org/obo/NCIT_C37987"
"Dead","The cessation of life.","NCIT","C28554","http://purl.obolibrary.org/obo/NCIT_C28554"
"Opted-out","A grantor's dissent to the terms of agreement offered by a grantee without an opportunity for to assent to any terms.","HL7","C3858493","http://purl.bioontology.org/ontology/HL7/C3858493"
"Follow-Up Completed","The follow-up protocols were completed.","NCIT","NCIT:C178071","http://purl.obolibrary.org/obo/NCIT_C178071"
"Lost To Follow-Up","The loss or lack of continuation of subject participation after a study has officially closed.","NCIT","NCIT:C48227","http://purl.obolibrary.org/obo/NCIT_C48227"
"Never Dosed","An indication that a subject has not ever been dosed with the study treatment or investigational product.","NCIT","NCIT:C172572","http://purl.obolibrary.org/obo/NCIT_C172572"
"Permanent Intervention Discontinuation due to Adverse Event, Subject Continues Follow Up",,"NCIT","NCIT:C70738","http://purl.obolibrary.org/obo/NCIT_C70738"
"Permanent Intervention Discontinuation, No Subject Follow Up",,"NCIT","NCIT:C70739","http://purl.obolibrary.org/obo/NCIT_C70739"
"Permanent Intervention Discontinuation, Subject Continues Follow Up",,"NCIT","NCIT:C70737","http://purl.obolibrary.org/obo/NCIT_C70737"
"Screening Not Completed","An indication that recruitment was closed before the subject could be randomized.","NCIT","NCIT:C166074","http://purl.obolibrary.org/obo/NCIT_C166074"
"Subject Completed Participation in Study",,"NCIT","NCIT:C70735","http://purl.obolibrary.org/obo/NCIT_C70735"
"Study Subject Not Enrolled","The study subject is/was not enrolled.","NCIT","NCIT:C168929","http://purl.obolibrary.org/obo/NCIT_C168929"
"Subject Entered Additional Research Study","The study subject has been enrolled in an additional research study.","NCIT","NCIT:C204692","http://purl.obolibrary.org/obo/NCIT_C204692"
"Subject Lost to Follow Up","The subject was not available for follow-up procedures.","NCIT","NCIT:C70740","http://purl.obolibrary.org/obo/NCIT_C70740"
"Subject Not Assigned to Arm","The subject, who met eligibility criteria, was not assigned to an arm and was not treated.","NCIT","NCIT:C142239","http://purl.obolibrary.org/obo/NCIT_C142239"
"Subject Off Trial due to Death","A status indicating that a clinical trial subject is currently off the trial because they are deceased.","NCIT","NCIT:C173184","http://purl.obolibrary.org/obo/NCIT_C173184"
"Subject Off Trial due to Expired Biopsy","A status indicating that a clinical trial subject is currently off the trial because of an expired biopsy.","NCIT","NCIT:C173183","http://purl.obolibrary.org/obo/NCIT_C173183"
"Subject Off Trial due to Lack of Consent","A status indicating that a clinical trial subject is currently off the trial because they have not granted or received consent.","NCIT","NCIT:C173185","http://purl.obolibrary.org/obo/NCIT_C173185"
"Subject Off Trial due to No Available Treatment Arm","A status indicating that a clinical trial subject is currently off the trial because they do not fill the criteria for inclusion into an existing treatment arm.","NCIT","NCIT:C173186","http://purl.obolibrary.org/obo/NCIT_C173186"
"Subject Off Trial due to Registration Error","A status indicating that a clinical trial subject is currently off the trial because of an error that occurred during the registration process.","NCIT","NCIT:C173187","http://purl.obolibrary.org/obo/NCIT_C173187"
"Subject Off Trial Following Assignment to Protocol Treatment Arm due to Death","A status indicating that a clinical trial subject that was assigned to a protocol treatment arm is currently off the trial because they are deceased.","NCIT","NCIT:C173573","http://purl.obolibrary.org/obo/NCIT_C173573"
"Subject Off Trial Following Assignment to Protocol Treatment Arm due to Disease Progression","A status indicating that a clinical trial subject that was assigned to a protocol treatment arm is currently off the trial because they have experienced disease progression.","NCIT","NCIT:C173574","http://purl.obolibrary.org/obo/NCIT_C173574"
"Subject Participation Terminated",,"NCIT","NCIT:C70736","http://purl.obolibrary.org/obo/NCIT_C70736"
"Subject Received Unplanned Treatment","The subject, who met eligibility criteria, was assigned to an arm but received treatment not associated with any of the planned arms.","NCIT","NCIT:C142240","http://purl.obolibrary.org/obo/NCIT_C142240"
"Subject Removed at Sponsor Request","An indication that the study subject was removed from the study at the sponsor's request.","NCIT","NCIT:C161410","http://purl.obolibrary.org/obo/NCIT_C161410"
