order,name,parent,codesystem,code,ontologyTermURI,definition
22,Postmenopausal onset,,hp,HP_6000315,http://purl.obolibrary.org/obo/HP_6000315,Onset of signs or symptoms of disease during the period of a woman's life after the occurrence of the menopause.
21,Perimenopausal onset,,hp,HP_6000314,http://purl.obolibrary.org/obo/HP_6000314,Onset of signs or symptoms of disease during the period of a woman's life shortly before the occurrence of the menopause.
20,Puerpural onset,,hp,HP_4000040,http://purl.obolibrary.org/obo/HP_4000040,Onset of a phenotypic abnormality or a disease during childbirth or in the period immediately following.
9,Pediatric onset,,hp,HP_0410280,http://purl.obolibrary.org/obo/HP_0410280,"Onset of disease manifestations before adulthood, defined here as before the age of 16 years, but excluding neonatal or congenital onset."
11,Childhood onset,Pediatric onset,hp,HP_0011463,http://purl.obolibrary.org/obo/HP_0011463,Onset of disease at the age of between 1 and 5 years.; This term refers to ages up to but not including the fifth birthday (see Juvenile onset).
12,Juvenile onset,Pediatric onset,hp,HP_0003621,http://purl.obolibrary.org/obo/HP_0003621,Onset of signs or symptoms of disease between the age of 5 and 15 years.
10,Infantile onset,Pediatric onset,hp,HP_0003593,http://purl.obolibrary.org/obo/HP_0003593,Onset of signs or symptoms of disease between 28 days to one year of life.; Onset of signs or symptoms of disease within the first 12 months of life.
1,Antenatal onset,,hp,HP_0030674,http://purl.obolibrary.org/obo/HP_0030674,Onset prior to birth.
3,Fetal onset,Antenatal onset,hp,HP_0011461,http://purl.obolibrary.org/obo/HP_0011461,"Onset prior to birth but after 8 weeks of embryonic development (corresponding to a gestational age of 10 weeks).; The time interval of a gestation is called the gestation period. In human obstetrics, gestational age refers to the fertilization age plus two weeks. This is approximately the duration since the woman's last menstrual period began."
4,Late first trimester onset,Fetal onset,hp,HP_0034199,http://purl.obolibrary.org/obo/HP_0034199,"This term refers to a phenotypic feature that was first observed prior to birth in the first trimester during the early fetal period, which is defined as 11 0/7 to 13 6/7 weeks of gestation (inclusive)."
5,Second trimester onset,Fetal onset,hp,HP_0034198,http://purl.obolibrary.org/obo/HP_0034198,"This term refers to a phenotypic feature that was first observed prior to birth during the second trimester, which comprises the range of gestational ages from 14 0/7 weeks to 27 6/7 (inclusive)."
6,Third trimester onset,Fetal onset,hp,HP_0034197,http://purl.obolibrary.org/obo/HP_0034197,"This term refers to a phenotypic feature that was first observed prior to birth during the third trimester, which is defined as 28 weeks and zero days (28+0) of gestation and beyond."
2,Embryonal onset,Antenatal onset,hp,HP_0011460,http://purl.obolibrary.org/obo/HP_0011460,"Onset of disease at up to 8 weeks following fertilization (corresponding to 10 weeks of gestation).; The time interval of a gestation is called the gestation period. In human obstetrics, gestational age refers to the fertilization age plus two weeks. This is approximately the duration since the woman's last menstrual period began."
8,Neonatal onset,,hp,HP_0003623,http://purl.obolibrary.org/obo/HP_0003623,Onset of signs or symptoms of disease within the first 28 days of life.
13,Adult onset,,hp,HP_0003581,http://purl.obolibrary.org/obo/HP_0003581,"Onset of disease manifestations in adulthood, defined here as at the age of 16 years or later."
14,Young adult onset,Adult onset,hp,HP_0011462,http://purl.obolibrary.org/obo/HP_0011462,Onset of disease at the age of between 16 and 40 years.
17,Late young adult onset,Young adult onset,hp,HP_0025710,http://purl.obolibrary.org/obo/HP_0025710,"Onset of disease at an age of greater than or equal to 25 to under 40 years.; This term includes the full 25th year of age up to the completed 40th year of age (i.e., less than the 40th birthday)."
16,Intermediate young adult onset,Young adult onset,hp,HP_0025709,http://purl.obolibrary.org/obo/HP_0025709,"Onset of disease at an age of greater than or equal to 19 to under 25 years.; This term includes the full 19th year of age up to the completed 25th year of age (i.e., less than the 25th birthday)."
15,Early young adult onset,Young adult onset,hp,HP_0025708,http://purl.obolibrary.org/obo/HP_0025708,"Onset of disease at an age of greater than or equal to 16 to under 19 years.; This term includes the full 16th year of age up to the completed 18th year of age (i.e., less than the 19th birthday)."
18,Middle age onset,Adult onset,hp,HP_0003596,http://purl.obolibrary.org/obo/HP_0003596,A type of adult onset with onset of symptoms at the age of 40 to 60 years.; Middle age is of course not amenable to precise definitions. We suggest using this term for onset of disease symptoms between the age of 40 and 60 years.
19,Late onset,Adult onset,hp,HP_0003584,http://purl.obolibrary.org/obo/HP_0003584,A type of adult onset with onset of symptoms after the age of 60 years.
7,Congenital onset,,hp,HP_0003577,http://purl.obolibrary.org/obo/HP_0003577,"A phenotypic abnormality that is present at birth.; Congenital onset literally means present at birth. Congenital abnormalities are thus generally acquired during fetal development. Congenital abnormalities are often but not always hereditary in nature. Whether a disease manifestation is diagnosed to be intrauterine or congenital may depend on the time at which diagnostic procedures are performed. Thus, most congenital abnormalities are also intrauterine. This term should be used for phenotypic abnormalities or diseases initially observed at the time of birth. For abnormalities observed prior to (e.g., by fetal ultrasound), use the term Antenatal onset (HP:0030674)."
