order,name,label,parent,codesystem,code,ontologyTermURI,definition
,sample-collection,Sample Collection,,,,,
,sample-processing,Sample Processing,,,,,
,sample-storage,Sample Storage,,,,,
,sample-quality-control,Sample Quality Control,,,,,
,sample-data-management,Sample Data Management,,,,,
,nucleic-acid-extraction,Nucleic Acid Extraction,,,,,
,informed-consent-management,Informed Consent Management,,,,,
,ethics-proposal-review,Ethics Proposal Review,,,,,
,otherBiobankingElsiServices,Other Biobanking & ELSI Services,,biobankingElsiServices,,,,
,sequencing,Sequencing,,,,,
,genomic-annotation,Genomic Annotation,,,,,
,tissue-culture,Tissue Culture,,,,,
,animal-model-development,Animal Model Development,,,,,
,cell-line-development,Cell Line Development,,,,,
,biostatistic-services,Biostatistic Services,,,,,
,peptide-carbohydrate-lipid-analytics,Peptide Carbohydrate Lipid Analytics,,,,,
,assay-development,Assay Development,,,,,
,microbiome-analysis,Microbiome Analysis,,,,,
,biomarker-discovery,Biomarker Discovery,,,,,
,toxicology-testing,Toxicology Testing,,,,,
,protein-analytics,Protein Analytics,,,,,
,functional-and-system-analytics,Functional and System Analytics,,,,,
,protein-purification,Protein Purification,,,,,
,clinical-chemistry-services,Clinical Chemistry Services,,,,,
,pharmacokinetic-pharmacodynamic-services,Pharmacokinetic & Pharmacodynamic Services,,,,,
,otherSampleBioanalyticalServices,Other Sample & Bioanalytical Services,,sampleBioanalyticServices,,,,
,MRI-CT-Imaging,MRI & CT Imaging,,,,,
,PET-Scans,PET Scans,,,,,
,Microscopy-Techniques,Microscopy Techniques,,,,,
,Live-Cell-Imaging,Live Cell Imaging,,,,,
,Histology-Tissue-Analysis,Histology & Tissue Analysis,,,,,
,Diagnostic-Imaging-Service,Diagnostic Imaging Service,,,,,
,otherPathologyImagingServices,Other Pathology & Imaging Services,,imagingServices,,,,
,data-analysis,Data analysis,,,,,
,software-development,Software development,,,,,
,algorithm-design,Algorithm Design,,,,,
,genomics-analysis,Genomics Analysis,,,,,
,proteomics-analysis,Proteomics Analysis,,,,,
,transcriptomics-analysis,Transcriptomics Analysis,,,,,
,metabolomics-analysis,Metabolomics Analysis,,,,,
,lipidomics-analysis,Lipidomics Analysis,,,,,
,ai-consulting,AI Consulting,,,,,
,Bioimage-analysis,Bioimage analysis,,,,,
,BigDataManagement,Big Data Management,,,,,
,ComputingServices,Computing Services,,,,,
,otherBioinformaticsDataScienceServices,Other Bioinformatics & Data Science Services,,bioinformaticsDataScienceServices,,,,
,CertificationPrograms,Certification Programs,,,,,
,StrategicPlanningforClinicalStudies,Strategic Planning for Clinical Studies,,,,,
,CollaborationNetworkingMulticentricStudies,Collaboration and Networking for multicentric studies,,,,,
,ScientificAdvisoryClinicalStudies,Scientific Advisory for Clinical Studies,,,,,
,TrainingResourceLabProtocols,Training Resource for Lab Protocols,,,,,
,ConsultationProtocolDevelopment,Consultation for Protocol Development,,,,,
,otherConsultingTrainingEducationServices,Other Consulting & Training & Education Services,,consultingTrainingEducationServices,,,,
,BehavioralScience,Behavioral Science,,,,,
,BrainNeurologicalResearch,Brain and Neurological Research,,,,,
,CancerResearch,Cancer Research,,,,,
,EpidemiologyInfectiousDiseaseResearch,Epidemiology & Infectious Disease Research,,,,,
,MicrobiomeStudies,Microbiome Studies,,,,,
,PediatricResearch,Pediatric Research,,,,,
,RareDiseaseResearch,Rare Disease Research,,,,,
,PathologySupport,Pathology Support,,,,,
,OtherResearchDomains,Other Research Domains,,,,,
