name,code,order,parent,ontologyTermURI
A (ALIMENTARY TRACT AND METABOLISM),A,1,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093554
B (BLOOD AND BLOOD FORMING ORGANS),B,2,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093929
C (CARDIOVASCULAR SYSTEM),C,3,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094240
D (DERMATOLOGICALS),D,4,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000094519
G (GENITO URINARY SYSTEM AND SEX HORMONES),G,5,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095219
"H (SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS)",H,6,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095667
J (ANTIINFECTIVES FOR SYSTEMIC USE),J,7,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000095974
L (ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS),L,8,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000096613
M (MUSCULO-SKELETAL SYSTEM),M,9,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000096652
N (NERVOUS SYSTEM),N,10,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000096886
"P (ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS)",P,11,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000097788
R (RESPIRATORY SYSTEM),R,12,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000097796
S (SENSORY ORGANS),S,13,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000097968
V (VARIOUS),V,14,,https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000098358
A01AD (Other agents for local oral treatment),A01AD,15,A01A (STOMATOLOGICAL PREPARATIONS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093534
A01AD01 (epinephrine),A01AD01,16,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093535
A01AD02 (benzydamine),A01AD02,17,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093536
A01AD05 (acetylsalicylic acid),A01AD05,18,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093537
A01AD06 (adrenalone),A01AD06,19,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093538
A01AD07 (amlexanox),A01AD07,20,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093539
A01AD11 (various),A01AD11,21,A01AD (Other agents for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093540
A02 (DRUGS FOR ACID RELATED DISORDERS),A02,22,A (ALIMENTARY TRACT AND METABOLISM),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093541
A02A (ANTACIDS),A02A,23,A02 (DRUGS FOR ACID RELATED DISORDERS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093542
A02AA (Magnesium compounds),A02AA,24,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093543
A02AA01 (magnesium carbonate),A02AA01,25,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093544
A02AA02 (magnesium oxide),A02AA02,26,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093545
A02AA03 (magnesium peroxide),A02AA03,27,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093546
A02AA04 (magnesium hydroxide),A02AA04,28,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093547
A02AA05 (magnesium silicate),A02AA05,29,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093548
A02AA10 (combinations),A02AA10,30,A02AA (Magnesium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093549
A02AB (Aluminium compounds),A02AB,31,A02A (ANTACIDS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093550
A02AB01 (aluminium hydroxide),A02AB01,32,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093551
A02AB02 (algeldrate),A02AB02,33,A02AB (Aluminium compounds),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093552
A01 (STOMATOLOGICAL PREPARATIONS),A01,34,A (ALIMENTARY TRACT AND METABOLISM),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093555
A01A (STOMATOLOGICAL PREPARATIONS),A01A,35,A01 (STOMATOLOGICAL PREPARATIONS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093556
A01AA (Caries prophylactic agents),A01AA,36,A01A (STOMATOLOGICAL PREPARATIONS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093557
A01AA01 (sodium fluoride),A01AA01,37,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093558
A01AA02 (sodium monofluorophosphate),A01AA02,38,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093559
A01AA03 (olaflur),A01AA03,39,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093560
A01AA04 (stannous fluoride),A01AA04,40,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093561
A01AA30 (combinations),A01AA30,41,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093562
"A01AA51 (sodium fluoride, combinations)",A01AA51,42,A01AA (Caries prophylactic agents),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093563
A01AB (Antiinfectives and antiseptics for local oral treatment),A01AB,43,A01A (STOMATOLOGICAL PREPARATIONS),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093564
A01AB02 (hydrogen peroxide),A01AB02,44,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093565
A01AB03 (chlorhexidine),A01AB03,45,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093566
A01AB04 (amphotericin B),A01AB04,46,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093567
A01AB05 (polynoxylin),A01AB05,47,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093568
A01AB06 (domiphen),A01AB06,48,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093569
A01AB07 (oxyquinoline),A01AB07,49,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093570
A01AB08 (neomycin),A01AB08,50,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093571
A01AB09 (miconazole),A01AB09,51,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093572
A01AB10 (natamycin),A01AB10,52,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093573
A01AB11 (various),A01AB11,53,A01AB (Antiinfectives and antiseptics for local oral treatment),https://spor.ema.europa.eu/rmswi/#/lists/100000093533/terms/100000093574
