name,code,ontologyTermURI
AAV5 DetectCDx,5600000992035,
AAVELI,5600000038536,
ACOMPLIA,5600000001587,
ADCETRIS,5600000000303,
ADYNOVI,5600000000053,
AGAMREE,5600000992282,
AJOVY,5600000003812,
AMGEVITA,5600000003498,
AQUIPTA,5600000985916,
AREXVY,5600000984802,
ARIKAYCE liposomal,5600000002660,
ATryn,5600000002343,
AUBAGIO,5600000002931,
AYVAKYT,5600000000008,
AZILECT,5600000000682,
Abasaglar,5600000001169,
Abecma,5600000004629,
Abevmy,5600000002115,
Abilify,5600000000448,
Abiraterone,5600000001310,
Ablavar,5600000002890,
Abraxane,5600000003061,
Abrysvo,5600000986288,
Abseamed,5600000000057,
Accofil,5600000001968,
Aclasta,5600000000410,
Actelsar HCT,5600000003558,
Actos,5600000000547,
Actraphane,5600000001988,
Actrapid,5600000002934,
Adakveo,5600000002021,
Adasuve,5600000003890,
Adcirca,5600000003400,
Adempas,5600000000505,
Adenuric,5600000002529,
Adjupanrix,5600000000854,
Adrovance,5600000002285,
Adtralza,5600000002112,
Advagraf,5600000001124,
Advate,5600000000377,
Aerinaze,5600000002196,
Aerius,5600000003707,
Aerivio Spiromax,5600000000486,
Afinitor,5600000001113,
Aflunov,5600000000475,
Afstyla,5600000000286,
Agenerase,5600000004003,
Aimovig,5600000000652,
Airexar Spiromax,5600000001051,
Akeega,5600000984840,
Akynzeo,5600000000523,
Aldara,5600000002372,
Alecensa,5600000001830,
Alimta,5600000003252,
Alisade,5600000003379,
Alkindi,5600000000161,
Allex,5600000002720,
Alofisel,5600000003852,
Aloxi,5600000003222,
Alpivab,5600000000259,
Alprolix,5600000001055,
Altargo,5600000002283,
Alunbrig,5600000000577,
Aluvia,5600000001190,
Alymsys,5600000001347,
Alzyme,5600000004272,
Ambirix,5600000003517,
Ambrisentan,5600000000040,
Ameluz,5600000001749,
Amglidia,5600000003452,
Amifampridine,5600000093757,
Amlodipine-Valsartan,5600000001054,
Ammonaps,5600000000706,
Amsparity,5600000002117,
Amversio,5600000092812,
Amvuttra,5600000100202,
Amyvid,5600000004052,
Anagrelide,5600000000810,
Angiox,5600000001011,
Anoro,5600000001889,
Apealea,5600000000439,
Apexxnar,5600000083780,
Apidra,5600000002321,
