order,name,label,codesystem,code,definition,ontologyTermURI
,all genes,all genes,HGNC,HGNC:00001,,https://identifiers.org/hgnc:00001
,protein-coding gene,protein-coding gene,HGNC,HGNC:00003,,https://identifiers.org/hgnc:00003
,gene with protein product,gene with protein product,HGNC,HGNC:00004,,https://identifiers.org/hgnc:00004
,gene by locus group,gene by locus group,HGNC,HGNC:00002,,https://identifiers.org/hgnc:00002
,A1BG,A1BG,HGNC,HGNC:5,alpha-1-B glycoprotein,https://identifiers.org/hgnc:5
,non-coding RNA,non-coding RNA,HGNC,HGNC:00005,,https://identifiers.org/hgnc:00005
,"RNA, long non-coding","RNA, long non-coding",HGNC,HGNC:00006,,https://identifiers.org/hgnc:00006
,A1BG-AS1,A1BG-AS1,HGNC,HGNC:37133,A1BG antisense RNA 1,https://identifiers.org/hgnc:37133
,A1CF,A1CF,HGNC,HGNC:24086,APOBEC1 complementation factor,https://identifiers.org/hgnc:24086
,A2M,A2M,HGNC,HGNC:7,alpha-2-macroglobulin,https://identifiers.org/hgnc:7
,A2M-AS1,A2M-AS1,HGNC,HGNC:27057,A2M antisense RNA 1,https://identifiers.org/hgnc:27057
,A2ML1,A2ML1,HGNC,HGNC:23336,alpha-2-macroglobulin like 1,https://identifiers.org/hgnc:23336
,A2ML1-AS1,A2ML1-AS1,HGNC,HGNC:41022,A2ML1 antisense RNA 1,https://identifiers.org/hgnc:41022
,A2ML1-AS2,A2ML1-AS2,HGNC,HGNC:41523,A2ML1 antisense RNA 2,https://identifiers.org/hgnc:41523
,A3GALT2,A3GALT2,HGNC,HGNC:30005,"alpha 1,3-galactosyltransferase 2",https://identifiers.org/hgnc:30005
,A4GALT,A4GALT,HGNC,HGNC:18149,"alpha 1,4-galactosyltransferase (P1PK blood group)",https://identifiers.org/hgnc:18149
,A4GNT,A4GNT,HGNC,HGNC:17968,"alpha-1,4-N-acetylglucosaminyltransferase",https://identifiers.org/hgnc:17968
,AAAS,AAAS,HGNC,HGNC:13666,aladin WD repeat nucleoporin,https://identifiers.org/hgnc:13666
,AACS,AACS,HGNC,HGNC:21298,acetoacetyl-CoA synthetase,https://identifiers.org/hgnc:21298
,pseudogene,pseudogene,HGNC,HGNC:00007,,https://identifiers.org/hgnc:00007
,AACSP1,AACSP1,HGNC,HGNC:18226,acetoacetyl-CoA synthetase pseudogene 1,https://identifiers.org/hgnc:18226
,AADAC,AADAC,HGNC,HGNC:17,arylacetamide deacetylase,https://identifiers.org/hgnc:17
,AADACL2,AADACL2,HGNC,HGNC:24427,arylacetamide deacetylase like 2,https://identifiers.org/hgnc:24427
,AADACL2-AS1,AADACL2-AS1,HGNC,HGNC:50301,AADACL2 antisense RNA 1,https://identifiers.org/hgnc:50301
,AADACL3,AADACL3,HGNC,HGNC:32037,arylacetamide deacetylase like 3,https://identifiers.org/hgnc:32037
,AADACL4,AADACL4,HGNC,HGNC:32038,arylacetamide deacetylase like 4,https://identifiers.org/hgnc:32038
,AADACP1,AADACP1,HGNC,HGNC:50305,arylacetamide deacetylase pseudogene 1,https://identifiers.org/hgnc:50305
,AADAT,AADAT,HGNC,HGNC:17929,aminoadipate aminotransferase,https://identifiers.org/hgnc:17929
,AAGAB,AAGAB,HGNC,HGNC:25662,alpha and gamma adaptin binding protein,https://identifiers.org/hgnc:25662
,AAK1,AAK1,HGNC,HGNC:19679,AP2 associated kinase 1,https://identifiers.org/hgnc:19679
,AAMDC,AAMDC,HGNC,HGNC:30205,adipogenesis associated Mth938 domain containing,https://identifiers.org/hgnc:30205
,AAMP,AAMP,HGNC,HGNC:18,angio associated migratory cell protein,https://identifiers.org/hgnc:18
,AANAT,AANAT,HGNC,HGNC:19,aralkylamine N-acetyltransferase,https://identifiers.org/hgnc:19
,AAR2,AAR2,HGNC,HGNC:15886,AAR2 splicing factor,https://identifiers.org/hgnc:15886
,AARD,AARD,HGNC,HGNC:33842,alanine and arginine rich domain containing protein,https://identifiers.org/hgnc:33842
,AARS1,AARS1,HGNC,HGNC:20,alanyl-tRNA synthetase 1,https://identifiers.org/hgnc:20
,AARS1P1,AARS1P1,HGNC,HGNC:49894,alanyl-tRNA synthetase 1 pseudogene 1,https://identifiers.org/hgnc:49894
,AARS2,AARS2,HGNC,HGNC:21022,"alanyl-tRNA synthetase 2, mitochondrial",https://identifiers.org/hgnc:21022
,AARSD1,AARSD1,HGNC,HGNC:28417,alanyl-tRNA synthetase domain containing 1,https://identifiers.org/hgnc:28417
,AARSD1P1,AARSD1P1,HGNC,HGNC:54994,AARSD1 pseudogene 1,https://identifiers.org/hgnc:54994
,AASDH,AASDH,HGNC,HGNC:23993,aminoadipate-semialdehyde dehydrogenase,https://identifiers.org/hgnc:23993
,AASDH-DT,AASDH-DT,HGNC,HGNC:58795,AASDH divergent transcript,https://identifiers.org/hgnc:58795
,AASDHPPT,AASDHPPT,HGNC,HGNC:14235,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,https://identifiers.org/hgnc:14235
,AASDHPPT-AS1,AASDHPPT-AS1,HGNC,HGNC:58262,AASDHPPT antisense RNA 1,https://identifiers.org/hgnc:58262
,AASS,AASS,HGNC,HGNC:17366,aminoadipate-semialdehyde synthase,https://identifiers.org/hgnc:17366
,AATBC,AATBC,HGNC,HGNC:51526,apoptosis associated transcript in bladder cancer,https://identifiers.org/hgnc:51526
,AATF,AATF,HGNC,HGNC:19235,apoptosis antagonizing transcription factor,https://identifiers.org/hgnc:19235
,other,other,HGNC,HGNC:00008,,https://identifiers.org/hgnc:00008
,virus integration site,virus integration site,HGNC,HGNC:00009,,https://identifiers.org/hgnc:00009
,AAVS1,AAVS1,HGNC,HGNC:22,adeno-associated virus integration site 1,https://identifiers.org/hgnc:22
,ABAT,ABAT,HGNC,HGNC:23,4-aminobutyrate aminotransferase,https://identifiers.org/hgnc:23
,ABCA1,ABCA1,HGNC,HGNC:29,ATP binding cassette subfamily A member 1,https://identifiers.org/hgnc:29
,ABCA2,ABCA2,HGNC,HGNC:32,ATP binding cassette subfamily A member 2,https://identifiers.org/hgnc:32
,ABCA3,ABCA3,HGNC,HGNC:33,ATP binding cassette subfamily A member 3,https://identifiers.org/hgnc:33
,ABCA4,ABCA4,HGNC,HGNC:34,ATP binding cassette subfamily A member 4,https://identifiers.org/hgnc:34
,ABCA5,ABCA5,HGNC,HGNC:35,ATP binding cassette subfamily A member 5,https://identifiers.org/hgnc:35
,ABCA6,ABCA6,HGNC,HGNC:36,ATP binding cassette subfamily A member 6,https://identifiers.org/hgnc:36
,ABCA7,ABCA7,HGNC,HGNC:37,ATP binding cassette subfamily A member 7,https://identifiers.org/hgnc:37
,ABCA8,ABCA8,HGNC,HGNC:38,ATP binding cassette subfamily A member 8,https://identifiers.org/hgnc:38
,ABCA9,ABCA9,HGNC,HGNC:39,ATP binding cassette subfamily A member 9,https://identifiers.org/hgnc:39
,ABCA9-AS1,ABCA9-AS1,HGNC,HGNC:39983,ABCA9 antisense RNA 1,https://identifiers.org/hgnc:39983
,ABCA10,ABCA10,HGNC,HGNC:30,ATP binding cassette subfamily A member 10,https://identifiers.org/hgnc:30
,ABCA11P,ABCA11P,HGNC,HGNC:31,"ATP binding cassette subfamily A member 11, pseudogene",https://identifiers.org/hgnc:31
,ABCA12,ABCA12,HGNC,HGNC:14637,ATP binding cassette subfamily A member 12,https://identifiers.org/hgnc:14637
,ABCA13,ABCA13,HGNC,HGNC:14638,ATP binding cassette subfamily A member 13,https://identifiers.org/hgnc:14638
