order,name,label,parent,codesystem,code,ontologyTermURI,definition
1,Neoplasms,,,,800,,
2,"Neoplasm, benign",,Neoplasms,,8000/0,,
3,"Tumor, benign",,Neoplasms,,8000/0,,
4,"Unclassified tumor, benign",,Neoplasms,,8000/0,,
5,"Neoplasm, uncertain whether benign or malignant",,Neoplasms,,8000/1,,
6,"Neoplasm, NOS",,Neoplasms,,8000/1,,
7,"Tumor, NOS",,Neoplasms,,8000/1,,
8,"Unclassified tumor, borderline malignancy",,Neoplasms,,8000/1,,
9,"Unclassified tumor, uncertain whether benign or malignant",,Neoplasms,,8000/1,,
10,"Neoplasm, malignant",,Neoplasms,,8000/3,,
11,"Blastoma, NOS",,Neoplasms,,8000/3,,
12,"Tumor, malignant, NOS",,Neoplasms,,8000/3,,
13,Cancer,,Neoplasms,,8000/3,,
14,Malignancy,,Neoplasms,,8000/3,,
15,"Unclassified tumor, malignant",,Neoplasms,,8000/3,,
16,"Neoplasm, metastatic",,Neoplasms,,8000/6,,
17,"Neoplasm, secondary",,Neoplasms,,8000/6,,
18,Tumor embolus,,Neoplasms,,8000/6,,
19,"Tumor, metastatic",,Neoplasms,,8000/6,,
20,"Tumor, secondary",,Neoplasms,,8000/6,,
21,"Neoplasm, malignant, uncertain whether primary or metastatic",,Neoplasms,,8000/9,,
22,"Unclassified tumor, malignant, uncertain whether primary or metastatic",,Neoplasms,,8000/9,,
23,"Tumor cells, benign",,Neoplasms,,8001/0,,
24,"Tumor cells, uncertain whether benign or malignant",,Neoplasms,,8001/1,,
25,"Tumor cells, NOS",,Neoplasms,,8001/1,,
26,"Tumor cells, malignant",,Neoplasms,,8001/3,,
27,"Malignant tumor, small cell type",,Neoplasms,,8002/3,,
28,"Malignant tumor, giant cell type",,Neoplasms,,8003/3,,
29,"Malignant tumor, spindle cell type",,Neoplasms,,8004/3,,
30,"Malignant tumor, fusiform cell type",,Neoplasms,,8004/3,,
31,"Clear cell tumor, NOS",,Neoplasms,,8005/0,,
32,"Malignant tumor, clear cell type",,Neoplasms,,8005/3,,
33,"Epithelial neoplasms, NOS",,,,801-804,,
34,"Epithelial tumor, benign",,"Epithelial neoplasms, NOS",,8010/0,,
35,"Carcinoma in situ, NOS",,"Epithelial neoplasms, NOS",,8010/2,,
36,"Intraepithelial carcinoma, NOS",,"Epithelial neoplasms, NOS",,8010/2,,
37,"Carcinoma, NOS",,"Epithelial neoplasms, NOS",,8010/3,,
38,"Epithelial tumor, malignant",,"Epithelial neoplasms, NOS",,8010/3,,
39,Heterotopia-associated carcinoma,,"Epithelial neoplasms, NOS",,8010/3,,
40,"Carcinoma, metastatic, NOS",,"Epithelial neoplasms, NOS",,8010/6,,
41,Secondary carcinoma,,"Epithelial neoplasms, NOS",,8010/6,,
42,Carcinomatosis,,"Epithelial neoplasms, NOS",,8010/9,,
43,"Epithelioma, benign",,"Epithelial neoplasms, NOS",,8011/0,,
44,"Epithelioma, malignant",,"Epithelial neoplasms, NOS",,8011/3,,
45,"Epithelioma, NOS",,"Epithelial neoplasms, NOS",,8011/3,,
46,"Large cell carcinoma, NOS",,"Epithelial neoplasms, NOS",,8012/3,,
47,Large cell neuroendocrine carcinoma,,"Epithelial neoplasms, NOS",,8013/3,,
48,Combined large cell neuroendocrine carcinoma,,"Epithelial neoplasms, NOS",,8013/3,,
49,Large cell carcinoma with rhabdoid phenotype,,"Epithelial neoplasms, NOS",,8014/3,,
50,Glassy cell carcinoma,,"Epithelial neoplasms, NOS",,8015/3,,
51,"Carcinoma, undifferentiated, NOS",,"Epithelial neoplasms, NOS",,8020/3,,
52,"Carcinoma, poorly differentiated, NOS",,"Epithelial neoplasms, NOS",,8020/3,,
53,Anaplastic undifferentiated carcinoma,,"Epithelial neoplasms, NOS",,8020/3,,
54,Dedifferentiated carcinoma,,"Epithelial neoplasms, NOS",,8020/3,,
55,"Carcinoma, anaplastic, NOS",,"Epithelial neoplasms, NOS",,8021/3,,
56,Pleomorphic carcinoma,,"Epithelial neoplasms, NOS",,8022/3,,
57,Nuclear protein in testis (NUT)-associated carcinoma,,"Epithelial neoplasms, NOS",,8023/3,,
58,NUT carcinoma,,"Epithelial neoplasms, NOS",,8023/3,,
59,NUT midline carcinoma,,"Epithelial neoplasms, NOS",,8023/3,,
60,Giant cell and spindle cell carcinoma,,"Epithelial neoplasms, NOS",,8030/3,,
61,Giant cell carcinoma,,"Epithelial neoplasms, NOS",,8031/3,,
62,"Spindle cell carcinoma, NOS",,"Epithelial neoplasms, NOS",,8032/3,,
63,Pseudosarcomatous carcinoma,,"Epithelial neoplasms, NOS",,8033/3,,
64,Sarcomatoid carcinoma,,"Epithelial neoplasms, NOS",,8033/3,,
65,Polygonal cell carcinoma,,"Epithelial neoplasms, NOS",,8034/3,,
66,Carcinoma with osteoclast-like giant cells,,"Epithelial neoplasms, NOS",,8035/3,,
67,Squamous carcinoma with osteoclast-like giant cells,,"Epithelial neoplasms, NOS",,8035/3,,
68,Undifferentiated carcinoma with osteoclast-like giant cells,,"Epithelial neoplasms, NOS",,8035/3,,
69,"Tumorlet, benign",,"Epithelial neoplasms, NOS",,8040/0,,
70,Diffuse idiopathic neuroendocrine cell hyperplasia,,"Epithelial neoplasms, NOS",,8040/0,,
71,"Tumorlet, NOS",,"Epithelial neoplasms, NOS",,8040/1,,
72,"Small cell carcinoma, NOS",,"Epithelial neoplasms, NOS",,8041/3,,
73,Reserve cell carcinoma,,"Epithelial neoplasms, NOS",,8041/3,,
74,Round cell carcinoma,,"Epithelial neoplasms, NOS",,8041/3,,
75,Small cell neuroendocrine carcinoma,,"Epithelial neoplasms, NOS",,8041/3,,
76,"Small cell carcinoma, pulmonary type",,"Epithelial neoplasms, NOS",,8041/3,,
77,Oat cell carcinoma,,"Epithelial neoplasms, NOS",,8042/3,,
78,"Small cell carcinoma, fusiform cell",,"Epithelial neoplasms, NOS",,8043/3,,
79,"Small cell carcinoma, intermediate cell",,"Epithelial neoplasms, NOS",,8044/3,,
80,"Small cell carcinoma, hypercalcemic type",,"Epithelial neoplasms, NOS",,8044/3,,
81,Combined small cell carcinoma,,"Epithelial neoplasms, NOS",,8045/3,,
82,Mixed small cell carcinoma,,"Epithelial neoplasms, NOS",,8045/3,,
83,Combined small cell-adenocarcinoma,,"Epithelial neoplasms, NOS",,8045/3,,
84,Combined small cell-large cell carcinoma,,"Epithelial neoplasms, NOS",,8045/3,,
85,Combined small cell-squamous cell carcinoma,,"Epithelial neoplasms, NOS",,8045/3,,
86,Non-small cell carcinoma,,"Epithelial neoplasms, NOS",,8046/3,,
87,Squamous cell neoplasms,,,,805-808,,
88,"Papilloma, NOS",,Squamous cell neoplasms,,8050/0,,
89,"Papillary carcinoma in situ, NOS",,Squamous cell neoplasms,,8050/2,,
90,"Papillary carcinoma, NOS",,Squamous cell neoplasms,,8050/3,,
91,Verrucous papilloma,,Squamous cell neoplasms,,8051/0,,
92,"Verrucous carcinoma, NOS",,Squamous cell neoplasms,,8051/3,,
93,Verrucous epidermoid carcinoma,,Squamous cell neoplasms,,8051/3,,
94,Verrucous squamous cell carcinoma,,Squamous cell neoplasms,,8051/3,,
95,"Squamous cell papilloma, NOS",,Squamous cell neoplasms,,8052/0,,
96,Keratotic papilloma,,Squamous cell neoplasms,,8052/0,,
97,Squamous papilloma,,Squamous cell neoplasms,,8052/0,,
98,"Benign keratosis, NOS",,Squamous cell neoplasms,,8052/0,,
99,Seborrhoeic keratosis,,Squamous cell neoplasms,,8052/0,,
100,Solar lentigo,,Squamous cell neoplasms,,8052/0,,
101,Lichen planus-like keratosis,,Squamous cell neoplasms,,8052/0,,
102,"Papillary squamous cell carcinoma, non-invasive",,Squamous cell neoplasms,,8052/2,,
103,Papillary squamous cell carcinoma in situ,,Squamous cell neoplasms,,8052/2,,
104,Papillary squamous cell carcinoma,,Squamous cell neoplasms,,8052/3,,
105,Papillary epidermoid carcinoma,,Squamous cell neoplasms,,8052/3,,
106,"Squamous cell papilloma, inverted",,Squamous cell neoplasms,,8053/0,,
107,Warty dyskeratoma,,Squamous cell neoplasms,,8054/0,,
108,Warty carcinoma,,Squamous cell neoplasms,,8054/3,,
