order,name,codesystem,code,ontologyTermURI,definition
0,All,HP,HP:0000001,http://purl.obolibrary.org/obo/HP_0000001,
1,Abnormality of body height,HP,HP:0000002,http://purl.obolibrary.org/obo/HP_0000002,Deviation from the norm of height with respect to that which is expected according to age and gender norms.
2,Multicystic kidney dysplasia,HP,HP:0000003,http://purl.obolibrary.org/obo/HP_0000003,"Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional."
3,Mode of inheritance,HP,HP:0000005,http://purl.obolibrary.org/obo/HP_0000005,The pattern in which a particular genetic trait or disorder is passed from one generation to the next.
4,Autosomal dominant inheritance,HP,HP:0000006,http://purl.obolibrary.org/obo/HP_0000006,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele."
5,Autosomal recessive inheritance,HP,HP:0000007,http://purl.obolibrary.org/obo/HP_0000007,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele)."
6,Abnormal morphology of female internal genitalia,HP,HP:0000008,http://purl.obolibrary.org/obo/HP_0000008,An abnormality of the female internal genitalia.
7,Functional abnormality of the bladder,HP,HP:0000009,http://purl.obolibrary.org/obo/HP_0000009,Dysfunction of the urinary bladder.
8,Recurrent urinary tract infections,HP,HP:0000010,http://purl.obolibrary.org/obo/HP_0000010,Repeated infections of the urinary tract.
9,Neurogenic bladder,HP,HP:0000011,http://purl.obolibrary.org/obo/HP_0000011,"A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention."
10,Urinary urgency,HP,HP:0000012,http://purl.obolibrary.org/obo/HP_0000012,"Urge incontinence is the strong, sudden need to urinate."
11,Hypoplasia of the uterus,HP,HP:0000013,http://purl.obolibrary.org/obo/HP_0000013,Underdevelopment of the uterus.
12,Abnormality of the bladder,HP,HP:0000014,http://purl.obolibrary.org/obo/HP_0000014,An abnormality of the urinary bladder.
13,Bladder diverticulum,HP,HP:0000015,http://purl.obolibrary.org/obo/HP_0000015,Diverticulum (sac or pouch) in the wall of the urinary bladder.
14,Urinary retention,HP,HP:0000016,http://purl.obolibrary.org/obo/HP_0000016,Inability to completely empty the urinary bladder during the process of urination.
15,Nocturia,HP,HP:0000017,http://purl.obolibrary.org/obo/HP_0000017,Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.
16,Urinary hesitancy,HP,HP:0000019,http://purl.obolibrary.org/obo/HP_0000019,Difficulty in beginning the process of urination.
17,Urinary incontinence,HP,HP:0000020,http://purl.obolibrary.org/obo/HP_0000020,Loss of the ability to control the urinary bladder leading to involuntary urination.
18,Megacystis,HP,HP:0000021,http://purl.obolibrary.org/obo/HP_0000021,Dilatation of the bladder postnatally.
19,Abnormal male internal genitalia morphology,HP,HP:0000022,http://purl.obolibrary.org/obo/HP_0000022,An abnormality of the male internal genitalia.
20,Inguinal hernia,HP,HP:0000023,http://purl.obolibrary.org/obo/HP_0000023,Protrusion of the contents of the abdominal cavity through the inguinal canal.
21,Prostatitis,HP,HP:0000024,http://purl.obolibrary.org/obo/HP_0000024,The presence of inflammation of the prostate.
22,Functional abnormality of male internal genitalia,HP,HP:0000025,http://purl.obolibrary.org/obo/HP_0000025,
23,Male hypogonadism,HP,HP:0000026,http://purl.obolibrary.org/obo/HP_0000026,"Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis."
24,Azoospermia,HP,HP:0000027,http://purl.obolibrary.org/obo/HP_0000027,"Absence of any measurable level of sperm,whereby spermatozoa cannot be observed even after centrifugation of the semen pellet."
25,Cryptorchidism,HP,HP:0000028,http://purl.obolibrary.org/obo/HP_0000028,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum."
26,Testicular atrophy,HP,HP:0000029,http://purl.obolibrary.org/obo/HP_0000029,Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.
