name,definition,order,codesystem,code,ontologyTermURI
GRCh37,Genome Reference Consortium Human Build 37 (GRCh37),1,GCF,000001405.13,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.13
GRCh37.p1,Genome Reference Consortium Human Build 37 patch release 1 (GRCh37.p1),2,GCA,000001405.2,https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.2
GRCh37.p2,Genome Reference Consortium Human Build 37 patch release 2 (GRCh37.p2),3,GCF,000001405.14,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.14
GRCh37.p3,Genome Reference Consortium Human Build 37 patch release 3 (GRCh37.p3),4,GCA,000001405.4,https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.4
GRCh37.p4,Genome Reference Consortium Human Build 37 patch release 4 (GRCh37.p4),5,GCA,000001405.5,https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.5
GRCh37.p5,Genome Reference Consortium Human Build 37 patch release 5 (GRCh37.p5),6,GCF,000001405.17,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.17
GRCh37.p6,Genome Reference Consortium Human Build 37 patch release 6 (GRCh37.p6),7,GCA,000001405.7,https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.7
GRCh37.p7,Genome Reference Consortium Human Build 37 patch release 7 (GRCh37.p7),8,GCA,000001405.8,https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.8
GRCh37.p8,Genome Reference Consortium Human Build 37 patch release 8 (GRCh37.p8),9,GCA,000001405.9,https://www.ncbi.nlm.nih.gov/assembly/GCA_000001405.9
GRCh37.p9,Genome Reference Consortium Human Build 37 patch release 9 (GRCh37.p9),10,GCF,000001405.21,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.21
GRCh37.p10,Genome Reference Consortium Human Build 37 patch release 10 (GRCh37.p10),11,GCF,000001405.22,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.22
GRCh37.p11,Genome Reference Consortium Human Build 37 patch release 11 (GRCh37.p11),12,GCF,000001405.23,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.23
GRCh37.p12,Genome Reference Consortium Human Build 37 patch release 12 (GRCh37.p12),13,GCF,000001405.24,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.24
GRCh37.p13,Genome Reference Consortium Human Build 37 patch release 13 (GRCh37.p13),14,GCF,000001405.25,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.25
hs38d1,Decoy version 1 for GRCh38,15,GCA,000786075.2,https://www.ncbi.nlm.nih.gov/assembly/GCA_000786075.2
GRCh38,Genome Reference Consortium Human Build 38,16,GCF,000001405.26,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.26
GRCh38.p1,Genome Reference Consortium Human Build 38 patch release 1 (GRCh38.p1),17,GCF,000001405.27,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.27
GRCh38.p2,Genome Reference Consortium Human Build 38 patch release 3 (GRCh38.p2),18,GCF,000001405.28,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.28
GRCh38.p3,Genome Reference Consortium Human Build 38 patch release 3 (GRCh38.p3),19,GCF,000001405.29,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.29
GRCh38.p4,Genome Reference Consortium Human Build 38 patch release 4 (GRCh38.p4),20,GCF,000001405.30,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.30
GRCh38.p5,Genome Reference Consortium Human Build 38 patch release 5 (GRCh38.p5),21,GCF,000001405.31,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.31
GRCh38.p6,Genome Reference Consortium Human Build 38 patch release 6 (GRCh38.p6),22,GCF,1405.32,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.32
GRCh38.p7,Genome Reference Consortium Human Build 38 patch release 7 (GRCh38.p7),23,GCF,000001405.33,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.33
GRCh38.p8,Genome Reference Consortium Human Build 38 patch release 8 (GRCh38.p8),24,GCF,000001405.34,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.34
GRCh38.p9,Genome Reference Consortium Human Build 38 patch release 9 (GRCh38.p9),25,GCF,000001405.35,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.35
GRCh38.p10,Genome Reference Consortium Human Build 38 patch release 10 (GRCh38.p10),26,GCF,000001405.36,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.36
GRCh38.p11,Genome Reference Consortium Human Build 38 patch release 11 (GRCh38.p11),27,GCF,000001405.37,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.37
GRCh38.p12,Genome Reference Consortium Human Build 38 patch release 12 (GRCh38.p12),28,GCF,000001405.38,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.38
GRCh38.p13,Genome Reference Consortium Human Build 38 patch release 13 (GRCh38.p13),29,GCF,000001405.39,https://www.ncbi.nlm.nih.gov/assembly/GCF_000001405.39
GRCh38.p14,Genome Reference Consortium Human Build 38 patch release 14 (GRCh38.p14),30,GCF,000001405.40,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000001405.40
