name,definition,codesystem,code,ontologyTermURI
"Peripheral Blood","Peripheral Blood","NCIT","C173496","http://purl.obolibrary.org/obo/NCIT_C173496"
"Prostatic Fluid","Prostatic Fluid","NCIT","C100896","http://purl.obolibrary.org/obo/NCIT_C100896"
"Centrifuged Smear Slide","Centrifuged Smear Slide","NCIT","C115350","http://purl.obolibrary.org/obo/NCIT_C115350"
"CCRF-CEM","CCRF-CEM","NCIT","C117114","http://purl.obolibrary.org/obo/NCIT_C117114"
"MOLT-4","MOLT-4","NCIT","C117119","http://purl.obolibrary.org/obo/NCIT_C117119"
"RPMI-8226","RPMI-8226","NCIT","C117122","http://purl.obolibrary.org/obo/NCIT_C117122"
"SR","SR","NCIT","C117126","http://purl.obolibrary.org/obo/NCIT_C117126"
"A549/ATCC","A549/ATCC","NCIT","C117127","http://purl.obolibrary.org/obo/NCIT_C117127"
"EKVX","EKVX","NCIT","C117131","http://purl.obolibrary.org/obo/NCIT_C117131"
"HOP-62","HOP-62","NCIT","C117134","http://purl.obolibrary.org/obo/NCIT_C117134"
"HOP-92","HOP-92","NCIT","C117136","http://purl.obolibrary.org/obo/NCIT_C117136"
"NCI-H226","NCI-H226","NCIT","C117137","http://purl.obolibrary.org/obo/NCIT_C117137"
"NCI-H23","NCI-H23","NCIT","C117141","http://purl.obolibrary.org/obo/NCIT_C117141"
"NCI-H322M","NCI-H322M","NCIT","C117155","http://purl.obolibrary.org/obo/NCIT_C117155"
"NCI-H460","NCI-H460","NCIT","C117157","http://purl.obolibrary.org/obo/NCIT_C117157"
"NCI-H522","NCI-H522","NCIT","C117158","http://purl.obolibrary.org/obo/NCIT_C117158"
"COLO 205","COLO 205","NCIT","C117159","http://purl.obolibrary.org/obo/NCIT_C117159"
"HCC-2998","HCC-2998","NCIT","C117160","http://purl.obolibrary.org/obo/NCIT_C117160"
"HCT-116","HCT-116","NCIT","C117161","http://purl.obolibrary.org/obo/NCIT_C117161"
"HCT-15","HCT-15","NCIT","C117163","http://purl.obolibrary.org/obo/NCIT_C117163"
"KM12","KM12","NCIT","C117165","http://purl.obolibrary.org/obo/NCIT_C117165"
"SW-620","SW-620","NCIT","C117166","http://purl.obolibrary.org/obo/NCIT_C117166"
"SF-268","SF-268","NCIT","C117169","http://purl.obolibrary.org/obo/NCIT_C117169"
"SF-295","SF-295","NCIT","C117170","http://purl.obolibrary.org/obo/NCIT_C117170"
"SF-539","SF-539","NCIT","C117174","http://purl.obolibrary.org/obo/NCIT_C117174"
"SNB-19","SNB-19","NCIT","C117176","http://purl.obolibrary.org/obo/NCIT_C117176"
"SNB-75","SNB-75","NCIT","C117178","http://purl.obolibrary.org/obo/NCIT_C117178"
"U251","U251","NCIT","C117179","http://purl.obolibrary.org/obo/NCIT_C117179"
"LOX IMVI","LOX IMVI","NCIT","C117181","http://purl.obolibrary.org/obo/NCIT_C117181"
"MALME-3M","MALME-3M","NCIT","C117182","http://purl.obolibrary.org/obo/NCIT_C117182"
"M14","M14","NCIT","C117183","http://purl.obolibrary.org/obo/NCIT_C117183"
"MDA-MB-435","MDA-MB-435","NCIT","C117184","http://purl.obolibrary.org/obo/NCIT_C117184"
"SK-MEL-2","SK-MEL-2","NCIT","C117188","http://purl.obolibrary.org/obo/NCIT_C117188"
"SK-MEL-28","SK-MEL-28","NCIT","C117189","http://purl.obolibrary.org/obo/NCIT_C117189"
"SK-MEL-5","SK-MEL-5","NCIT","C117190","http://purl.obolibrary.org/obo/NCIT_C117190"
"UACC-257","UACC-257","NCIT","C117191","http://purl.obolibrary.org/obo/NCIT_C117191"
"UACC-62","UACC-62","NCIT","C117192","http://purl.obolibrary.org/obo/NCIT_C117192"
"IGR-OV1","IGR-OV1","NCIT","C117204","http://purl.obolibrary.org/obo/NCIT_C117204"
"OVCAR-3","OVCAR-3","NCIT","C117205","http://purl.obolibrary.org/obo/NCIT_C117205"
"OVCAR-4","OVCAR-4","NCIT","C117206","http://purl.obolibrary.org/obo/NCIT_C117206"
"OVCAR-5","OVCAR-5","NCIT","C117207","http://purl.obolibrary.org/obo/NCIT_C117207"
"OVCAR-8","OVCAR-8","NCIT","C117208","http://purl.obolibrary.org/obo/NCIT_C117208"
"NCI/ADR-RES","NCI/ADR-RES","NCIT","C117209","http://purl.obolibrary.org/obo/NCIT_C117209"
"SK-OV-3","SK-OV-3","NCIT","C117210","http://purl.obolibrary.org/obo/NCIT_C117210"
"786-0","786-0","NCIT","C117211","http://purl.obolibrary.org/obo/NCIT_C117211"
"A498","A498","NCIT","C117212","http://purl.obolibrary.org/obo/NCIT_C117212"
"ACHN","ACHN","NCIT","C117213","http://purl.obolibrary.org/obo/NCIT_C117213"
"CAKI-1","CAKI-1","NCIT","C117214","http://purl.obolibrary.org/obo/NCIT_C117214"
"RXF 393","RXF 393","NCIT","C117215","http://purl.obolibrary.org/obo/NCIT_C117215"
"SN12C","SN12C","NCIT","C117216","http://purl.obolibrary.org/obo/NCIT_C117216"
"TK-10","TK-10","NCIT","C117217","http://purl.obolibrary.org/obo/NCIT_C117217"
"UO-31","UO-31","NCIT","C117218","http://purl.obolibrary.org/obo/NCIT_C117218"
"PC-3","PC-3","NCIT","C117219","http://purl.obolibrary.org/obo/NCIT_C117219"
"DU-145","DU-145","NCIT","C117220","http://purl.obolibrary.org/obo/NCIT_C117220"
"MDA-MB-231/ATCC","MDA-MB-231/ATCC","NCIT","C117223","http://purl.obolibrary.org/obo/NCIT_C117223"
"MDA-MB-468","MDA-MB-468","NCIT","C117224","http://purl.obolibrary.org/obo/NCIT_C117224"
"HS 578T","HS 578T","NCIT","C117225","http://purl.obolibrary.org/obo/NCIT_C117225"
"MDA-N","MDA-N","NCIT","C117226","http://purl.obolibrary.org/obo/NCIT_C117226"
"BT-549","BT-549","NCIT","C117227","http://purl.obolibrary.org/obo/NCIT_C117227"
"T-47D","T-47D","NCIT","C117228","http://purl.obolibrary.org/obo/NCIT_C117228"
"Preputial Gland/Clitoral Gland","Preputial Gland/Clitoral Gland","NCIT","C117978","http://purl.obolibrary.org/obo/NCIT_C117978"
"Tumor Cell Line","Tumor Cell Line","NCIT","C20313","http://purl.obolibrary.org/obo/NCIT_C20313"
"Smear Specimen","Smear Specimen","NCIT","C85501","http://purl.obolibrary.org/obo/NCIT_C85501"
"Bronchoalveolar Lavage Fluid","Bronchoalveolar Lavage Fluid","NCIT","C13195","http://purl.obolibrary.org/obo/NCIT_C13195"
"Exudate","Exudate","NCIT","C13233","http://purl.obolibrary.org/obo/NCIT_C13233"
"Bone Marrow Aspirate","Bone Marrow Aspirate","NCIT","C133261","http://purl.obolibrary.org/obo/NCIT_C133261"
"Hematopoietic Progenitor Cells from Apheresis","Hematopoietic Progenitor Cells from Apheresis","NCIT","C133328","http://purl.obolibrary.org/obo/NCIT_C133328"
"Hematopoietic Progenitor Cells from Cord Blood","Hematopoietic Progenitor Cells from Cord Blood","NCIT","C133329","http://purl.obolibrary.org/obo/NCIT_C133329"
"Aspirate","Aspirate","NCIT","C13347","http://purl.obolibrary.org/obo/NCIT_C13347"
"Colony","Colony","NCIT","C61515","http://purl.obolibrary.org/obo/NCIT_C61515"
"Sequencing Library","Sequencing Library","NCIT","C148073","http://purl.obolibrary.org/obo/NCIT_C148073"
