order,collection,research center,primary tumor site,metastasis,year of diagnosis,sex,n
1,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,2021-2025,Male,12
2,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,2021-2025,Female,18
3,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,2016-2020,Male,10
4,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,2016-2020,Female,19
5,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,2011-2015,Male,7
6,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,2011-2015,Female,20
7,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,2006-2010,Male,18
8,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,2006-2010,Female,14
9,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,2001-2005,Male,0
10,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,2001-2005,Female,4
11,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,1991-2000,Male,4
12,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,1991-2000,Female,6
13,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,<1991,Male,20
14,FORCE-NEN collections,AvL,ESOPHAGUS,Yes,<1991,Female,15
15,FORCE-NEN collections,AvL,ESOPHAGUS,No,2021-2025,Male,10
16,FORCE-NEN collections,AvL,ESOPHAGUS,No,2021-2025,Female,1
17,FORCE-NEN collections,AvL,ESOPHAGUS,No,2016-2020,Male,13
18,FORCE-NEN collections,AvL,ESOPHAGUS,No,2016-2020,Female,12
19,FORCE-NEN collections,AvL,ESOPHAGUS,No,2011-2015,Male,18
20,FORCE-NEN collections,AvL,ESOPHAGUS,No,2011-2015,Female,18
21,FORCE-NEN collections,AvL,ESOPHAGUS,No,2006-2010,Male,6
22,FORCE-NEN collections,AvL,ESOPHAGUS,No,2006-2010,Female,15
23,FORCE-NEN collections,AvL,ESOPHAGUS,No,2001-2005,Male,6
24,FORCE-NEN collections,AvL,ESOPHAGUS,No,2001-2005,Female,4
25,FORCE-NEN collections,AvL,ESOPHAGUS,No,1991-2000,Male,10
26,FORCE-NEN collections,AvL,ESOPHAGUS,No,1991-2000,Female,14
27,FORCE-NEN collections,AvL,ESOPHAGUS,No,<1991,Male,13
28,FORCE-NEN collections,AvL,ESOPHAGUS,No,<1991,Female,7
29,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,2021-2025,Male,2
30,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,2021-2025,Female,16
31,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,2016-2020,Male,2
32,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,2016-2020,Female,16
33,FORCE-NEN collections,AvL,ESOPHAGUS,Unknown,2011-2015,Male,11
