name,description,parent
Geographic regions,Are data on geographic region available?,
Family linkage,Is any linkage available in the data bank between any of the following persons?,
Family linkage routinely,Is familial linkage created routinely?
Family linkage ad-hoc,Can familial linkage can linkage be performed on an ad-hoc basis?
Household linkage,,Family linkage
Mother-child linkage,,Family linkage
Father-child linkage,,Family linkage
Sibling linkage,,Family linkage
Sociodemographics,"Which of the following sociodemographic information is included? Select all that apply"
Age,,Sociodemographics
Sex,,Sociodemographics
Gender,,Sociodemographics
Ethnicity,,Sociodemographics
Country of origin,,Sociodemographics
Socioeconomic status,,Sociodemographics
Marital status,,Sociodemographics
Education level,,Sociodemographics
Type of residency,,Sociodemographics
Living in rural area,,Sociodemographics
Health area,,Sociodemographics
Deprivation index,,Sociodemographics
Pharmaceutical copayment,,Sociodemographics
Other,,Sociodemographics
Lifestyle,,
Tobacco use,,Lifestyle
Alcohol use,,Lifestyle
Frequency of exercise,,Lifestyle
Lifestyle other,,Lifestyle
Population pregnancy and neonates,Does the data source collect information on pregnant women and/or neonatal subpopulation?,
Clinical data,,
Diagnoses codes included,Are diagnostic codes included?,Clinical data
Hospital admission,Is information on hospital admission available?,Clinical data
Hospital discharge,Is information on hospital discharge available?,Clinical data
ICU admission,Is information on intensive care unit admission available?,Clinical data
Cause of death,Is cause of death available?,Clinical data
Rare diseases,Are rare diseases (<1 in 2000 people) captured?,Clinical data
Prescriptions or dispensings included,Is information on prescriptions or dispensings of medications included?,Clinical data
ATC,,Prescriptions or dispensings included
RxNorm,,Prescriptions or dispensings included
EphMRA,,Prescriptions or dispensings included
ALT,,Prescriptions or dispensings included
DrugBank,,Prescriptions or dispensings included
Not coded (Free text),,Prescriptions or dispensings included
Dispensings other,,Prescriptions or dispensings included
Product information,Is product information available? Select all items that apply,Clinical data
Brand name,,Product information
Batch number,,Product information
Formulation,,Product information
Strength,,Product information
Package size,,Product information
Medicinal product information vocabulary,Is medicinal product information available? Select all items vocabularies that apply,Clinical data
ART 57,,Medicinal product information vocabulary
IFA GmbH,,Medicinal product information vocabulary
EQDM,,Medicinal product information vocabulary
SPN,,Medicinal product information vocabulary
MTHSPL,,Medicinal product information vocabulary
Product information not coded (Free text),,Medicinal product information vocabulary
ATMP,Is information on advanced therapy medicinal products included?,Clinical data
Contraception,Is information on contraceptives included?,
Indication for use,"If medicines information is captured,is the indication for use recorded? Select all items vocabularies that apply",Clinical data
ICPC,,Indication for use 
ICD9,,Indication for use
ICD10,,Indication for use
ICD1,,Indication for use
Read,,Indication for use
SNOMED,,Indication for use
SNOMED CT,,Indication for use
MedDRA,,Indication for use
OPCS,,Indication for use
CCS,,Indication for use
EDC,,Indication for use
Other,,Indication for use



Administration vaccines,Administration vaccines included,
Medical devices,Is information on medical devices included?,Clinical data
Procedures,"Is information on procedures (e.g., diagnostic tests, therapeutic, surgical) included?",Clinical data
Clinical measures,"Is information on clinical measures included (e.g., BMI, blood pressure)?",Clinical data
Healthcare centre,"Is information on the healthcare centre (e.g., pharmacy, general practice, hospital) available?",
Healthcare provider,"Is information on the person providing healthcare (e.g., physician, pharmacist, specialist) available?",
Genetic data,Is genotyping information available?,
OGG,,Genetic data
FG,,Genetic data
GO,,Genetic data
EGO,,Genetic data
SOPHARM,,Genetic data
PHARE,,Genetic data
Other genetic data,,Genetic data
Biomarker data,Is biomarker information available?,
BMO,,Biomarker data
SMASH,,Biomarker data
FOBI,,Biomarker data
Other biomarker data,,Biomarker data
Patient-generated data,"Is patient-generated information (e.g.,from wearable devices) available?",
Patient-reported data,"Are patient-reported outcomes (e.g quality of life) available?",
Quality of life,Are quality of life measures available? Select all that apply,
AQoL-8D,,Quality of life
QOLS,,Quality of life
MQOL,,Quality of life
MQOL-E,,Quality of life
HRQOL,,Quality of life
WHOQOL,,Quality of life
EQ5D,,Quality of life
15D,,Quality of life
SF-36,,Quality of life
SF-6D,,Quality of life
HUI,,Quality of life
QoL other,,Quality of life
Health care costs,Is information on costs of healthcare available?,
Free text,Is free text information available?,
