id,name,acronym,description,location,latitude,longitude,also_known,url,juridical_person,contact,parent_network,common_network_elements,national_node,withdrawn
bbmri-eric:networkID:AT_BBMRI_at,BBMRI.at,BBMRI.at,Austrian Node of the European Biobanking Research Infrastructure BBMRI-ERIC,,,,,http://www.bbmri.at,Med Uni Graz as coordinator,bbmri-eric:contactID:AT_MUG_0002,,,AT,false
bbmri-eric:networkID:AT_corefacilitynet,Core Facility Net,,"The inter-university core facility network ICoFNET has produced Austria’s largest platform for the exchange of life science technology services and expertise. The three Medical Universities of Graz, Innsbruck and Vienna, as well as the Austrian Institute of Technology (AIT) and the University of Veterinary Medicine Vienna are participating in the setup of this ‘shared technology space’. They are linking up existing technologies worth approximately 30 million EUR and the expert know-how of 80 specialists from the four core areas of OMICS-technologies, imaging techniques, biocomputing and functional biomodels.",,,,,https://corefacilitynet.org/,,bbmri-eric:contactID:AT_MUG_0021,,,AT,false
bbmri-eric:networkID:AT_oeppm,Austrian Platform for Personalized Medicine,ÖPPM,,,,,,http://www.personalized-medicine.at/index_en.html,,bbmri-eric:contactID:AT_MUW_0005,,,AT,false
bbmri-eric:networkID:SE_biobanksweden,Biobank Sweden,,"Biobank Sweden is a sustainable national biobank infrastructure propagating the utilization of biobanks for good health and new knowledge in collaboration with healthcare, academia and industry.",,,,,https://biobanksverige.se/,,bbmri-eric:contactID:SE_biobanksweden,,,SE,false
bbmri-eric:networkID:BE_BBMRIBE,BBMRI.be,BBMRI.be,"The Belgian National Node of BBMRI-ERIC (BBMRI.be) connects 15 Belgian biobanks that are linked to public institutions such as hospitals, universities and research centers.
The scientific participation of Belgium in BBMRI-ERIC was initiated by uniting the three existing Belgian network biobank initiatives i.e. Belgian Virtual Tumourbank project assigned to the Belgian Cancer Registry (BVT-BCR), Biothèque de la Fédération Wallonie-Bruxelles (BWB) and the Flemish Biobank Network (CMI). From 2013-2019,  BBMRI.be has matured into a solid partner network on biobanks in Belgium and has proven to reach out to a broader community beyond the founding partners.  From 2019 onwards, BBMRI.be invites all Belgian biobanks with translational research potential  as well as biobank users that are seeking structural research collaborations with the BBMRI.be network to join the BBMRI.be network.",,,,,http://www.bbmri.be,Belgian Cancer Registry,bbmri-eric:contactID:BE_BBMRIBE,,,BE,false
bbmri-eric:networkID:BE_BVT,Belgian Virtual Tumourbank,BVT,"The Belgian Virtual Tumourbank (BVT) is a nationwide biobank network initiative that launched a sample locator, namely the BVT catalogue, for tumour biospecimen localization by researchers at the 11 Belgian university hospital-associated biobanks in January 2012.",,50.85612,4.35888,,http://www.virtualtumourbank.be,Belgian Cancer Registry,bbmri-eric:contactID:BE_BVT,,,BE,false
bbmri-eric:networkID:BE_CMI,Flemish Biobank Initiative,,"The Flemish Biobank Initiative was initiated in 2013, with support of the Flemish Government. 
Through this initiative, a harmonized biobank infrastructure network was established by the five Universities and four University Hospitals in the Flemish region of Belgium. The final aim of the initiative was to guarantee access to high-quality biospecimen and data as a capability in order to support and stimulate biomedical translational research. 
From 2016 onwards, the management of these collections has been transferred to the University Hospitals participating in this initiative and the collections have been integrated into the BBMRI.be biobank network.",,,,,,,bbmri-eric:contactID:BE_B0383_RA,bbmri-eric:networkID:BE_BBMRIBE,,BE,false
bbmri-eric:networkID:BE_NBWB1,Biothèque Wallonie Bruxelles,BWB,Biothèque Wallonie Bruxelles,,50.81336,4.266531,,http://www.biotheque-wallonie-bruxelles.be/index.php,Université Libre de Bruxelles,bbmri-eric:contactID:BE_NBWB1,,,BE,false
bbmri-eric:networkID:CH_SBP,Swiss Biobanking Platform,SBP,SBP is the national coordination platform for human and non-human biobanks. It aims to respond to the increasing requests from biomedical researchers regarding quality and the interconnectedness of biobanks for research purposes.,,,,,https://swissbiobanking.ch/,Swiss Biobanking Platform,bbmri-eric:contactID:CH_Uldry,,"mta,url",CH,false
bbmri-eric:networkID:CZ_BBMRI-ERIC:networks:BBMRIcz,BBMRI.cz,BBMRI.cz,All Czech biobanks registered in BBMRI-ERIC Directory,,,,,,,bbmri-eric:contactID:CZ_MMCI,,,CZ,false
