id,collection,quality_standard,assess_level_col,certification_number,certification_report,certification_image_link,label
aaaac2jekq2fx6qwh2txm3qaae,bbmri-eric:ID:AT_VET:collection:AnimalTumorTissuesII,cen-ts-16827-2-2015,eric,,,,cen-ts-16827-2-2015
aaaac2jektsnr6qwh2txm3qaae,bbmri-eric:ID:AT_VET:collection:AnimalTumorTissuesII,cen-ts-16827-3-2015,eric,,,,cen-ts-16827-3-2015
aaaac2jekzdyj6qwh2txm3qaae,bbmri-eric:ID:AT_VET:collection:AnimalTumorTissuesII,cen-ts-16826-2-2015,eric,,,,cen-ts-16826-2-2015
aaaac2knnpddd6qwh2txm3qaae,bbmri-eric:ID:AT_VET:collection:AnimalTumorTissuesII,cen-ts-16826-1-2015,eric,,,,cen-ts-16826-1-2015
aaaac2mq77xkv6qwh2txm3qaae,bbmri-eric:ID:AT_MUG:collection:EPATHstudy,cen-ts-16945-2016,eric,,,,cen-ts-16945-2016
aaaac337m64yv6qwh2txm3qaae,bbmri-eric:ID:DE_LMB:collection:LIFE_CHILD,cen-ts-16945-2016,eric,,,,cen-ts-16945-2016
aaaac337moo5r6qwh2txm3qaae,bbmri-eric:ID:DE_LMB:collection:LIFE_ADULT,iso-20186-2,eric,,,,iso-20186-2
aaaac337mufuh6qwh2txm3qaae,bbmri-eric:ID:DE_LMB:collection:LIFE_CHILD,iso-20186-2,eric,,,,iso-20186-2
aaaac337mxedd6qwh2txm3qaai,bbmri-eric:ID:DE_LMB:collection:LIFE_ADULT,cen-ts-16945-2016,eric,,,,cen-ts-16945-2016
aaaac3px2yzdb6qwh2txm3qaae,bbmri-eric:ID:DE_LMB:collection:LIFE_ADULT,iso-20186-1,eric,,,,iso-20186-1
aaaac3px3lrc76qwh2txm3qaae,bbmri-eric:ID:DE_LMB:collection:LIFE_CHILD,iso-20186-1,eric,,,,iso-20186-1
aaaac3pyaukkd6qwh2txm3qaae,bbmri-eric:ID:FI_002:collection:FinHealth,iso-20186-2,eric,,,,iso-20186-2
aaaac46yl64u36qwhzgumuaaae,bbmri-eric:ID:AT_MUW:collection:BB9499,cen-ts-16835-1-2015,eric,,,,cen-ts-16835-1-2015
aaaac46ymax7n6qwhzgumuaaae,bbmri-eric:ID:AT_MUW:collection:BB9499,cen-ts-16835-3-2015,eric,,,,cen-ts-16835-3-2015
aaaac46yndu2p6qwhzgumuaaae,bbmri-eric:ID:AT_MUW:collection:BB9507,cen-ts-16835-1-2015,eric,,,,cen-ts-16835-1-2015
aaaac4v347cdz6qwhzgumuaaae,bbmri-eric:ID:AT_MUG:collection:PoCOsteoCohort,cen-ts-16945-2016,eric,,,,cen-ts-16945-2016
aaaac525ybztz6qwhzgumuaaae,bbmri-eric:ID:CZ_MMCI:collection:LTS:gDNA,iso-20186-2,eric,,,,iso-20186-2
aaaac5guapiq36qwhzgumuaaae,bbmri-eric:ID:AT_MUG:collection:COVID-19RecoveredPatients,cen-ts-16945-2016,eric,,,,cen-ts-16945-2016
aaaac5snlpk6j6qwhzgumuaaae,bbmri-eric:ID:AT_VET:collection:AnimalTumorTissuesII,cen-ts-16827-1-2015,eric,,,,cen-ts-16827-1-2015
aaaac5xxbzigv6qwhzgumuaaae,bbmri-eric:ID:NL_AAAACXPF2POVSACQK2ME25QAAI:collection:167,iso-20184-1,eric,,,,iso-20184-1
aaaac67dcqkbx6qwhzt4gfyaae,bbmri-eric:ID:PL_3THFK:collection:PL_3THFK_N76TV,iso-20186-2,eric,,,,iso-20186-2
aaaac7er3fbnr6qwhzt4gfyabe,bbmri-eric:ID:SE_1692:collection:dna,cen-ts-16835-2-2015,eric,,,,cen-ts-16835-2-2015
aaaaczxip5yvp6qwh2jo6paaae,bbmri-eric:ID:AT_MUG:collection:BioPersMedCohort,cen-ts-16945-2016,eric,,,,cen-ts-16945-2016
aaaaczxiszs636qwh2jo6paaae,bbmri-eric:ID:AT_MUG:collection:KIWICollection,cen-ts-16945-2016,eric,,,,cen-ts-16945-2016
aaaaczxiszs636qwh2jo6paaam,bbmri-eric:ID:AT_MUW:collection:MUVBB9236,cen-ts-16835-2-2015,eric,,,,cen-ts-16835-2-2015
aaaaczxiszs676qwh2jo6paaai,bbmri-eric:ID:DE_mtbio:collection:pancreatic-cancer,cen-ts-16826-1-2015,eric,,,,cen-ts-16826-1-2015
